iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,omega_Cl,omega_V
1,502.031,1,14.4207,31.6131,3.66948,0.298408,0.284253
2,505.374,1,14.1669,31.5664,3.83957,0.290852,0.277055
3,502.517,1,14.0325,32.0998,3.74235,0.283487,0.292824
4,499.102,1,14.4952,31.7951,3.68597,0.282597,0.28541
5,504.01,1,13.9683,31.83,3.82817,0.275442,0.278183
6,507.054,1,14.1288,31.3844,3.7858,0.293621,0.297659
7,504.732,1,14.2414,31.8107,3.73705,0.294064,0.297319
8,512.639,1,14.5706,31.6937,3.84312,0.318995,0.301596
9,510.506,1,14.3169,32.0593,3.90404,0.310918,0.29396
10,505.421,1,14.5315,31.2874,3.80518,0.303045,0.286517
11,502.685,1,14.627,31.4982,3.72869,0.295372,0.291033
12,501.78,1,14.4879,31.3915,3.73343,0.287893,0.283664
13,499.602,1,14.7325,31.8232,3.64038,0.283533,0.304156
14,499.357,1,14.5976,31.5238,3.69601,0.278763,0.296455
15,498.411,1,14.55,31.2283,3.66803,0.288565,0.288949
16,496.543,1,14.6001,31.4546,3.62924,0.294251,0.281632
17,503.083,1,14.632,31.6303,3.73016,0.294738,0.283909
18,499.467,1,14.5478,31.0084,3.69524,0.287275,0.277154
19,495.491,1,14.5378,31.3708,3.60168,0.290539,0.296205
20,496.693,1,14.6129,31.4019,3.60538,0.287865,0.288705
21,502.321,1,14.2902,31.4438,3.73772,0.297122,0.281395
22,501.986,1,14.5899,31.6419,3.73438,0.289599,0.279587
23,502.658,1,14.2703,31.4691,3.73543,0.293989,0.278258
24,504.933,1,14.5438,31.487,3.69981,0.32026,0.291866
25,501.326,1,14.4955,31.6051,3.66301,0.312151,0.287855
26,494.944,1,14.4593,31.4581,3.58744,0.304247,0.280566
27,497.646,1,14.557,31.0666,3.63391,0.301363,0.273462
28,491.239,1,14.5961,31.3634,3.5419,0.29865,0.282681
29,494.376,1,14.4832,31.707,3.58055,0.291088,0.280193
30,498.534,1,14.5251,31.3595,3.66851,0.301256,0.273098
31,500.266,1,14.3188,31.9856,3.64492,0.312456,0.280077
32,499.203,1,14.6187,31.3244,3.64317,0.305858,0.276952
33,506.384,1,14.5775,31.0241,3.77927,0.300625,0.287271
34,502.258,1,14.3776,31.7122,3.70772,0.293013,0.29608
35,501.96,1,14.3847,32.304,3.65468,0.296831,0.306979
36,498.996,1,14.2916,31.9313,3.67193,0.289315,0.299206
37,499.868,1,14.9204,31.2223,3.60409,0.317078,0.29163
38,502.639,1,14.6986,31.3227,3.73002,0.309549,0.284246
39,493.257,1,14.7429,31.5345,3.63557,0.301711,0.277048
40,500.937,1,14.8629,31.1966,3.7199,0.299217,0.270033
41,497.793,1,14.748,31.1523,3.62571,0.31926,0.284758
42,502.665,1,14.3113,31.1995,3.67135,0.313945,0.289145
43,504.205,1,15.0108,31.6058,3.68731,0.311614,0.298775
44,506.267,1,14.7015,31.2494,3.78656,0.31798,0.29121
45,509.476,1,14.6811,31.0755,3.80994,0.32546,0.283836
46,503.024,1,14.4537,31.5898,3.71347,0.317219,0.29335
47,501.816,1,14.1039,31.6364,3.66802,0.312911,0.285922
48,503.734,1,14.329,31.8871,3.67238,0.320065,0.29341
49,504.525,1,14.4996,32.0702,3.69082,0.322339,0.290266
50,507.357,1,14.2989,31.5485,3.84185,0.314178,0.282917
51,504.861,1,14.584,31.0826,3.78248,0.306222,0.275753
52,499.436,1,14.5548,31.1812,3.70926,0.298469,0.268771
53,496.419,1,14.5053,31.2378,3.61534,0.290911,0.280635
54,499.334,1,14.5002,31.1033,3.65998,0.303203,0.273529
55,496.458,1,14.4193,31.0061,3.65709,0.295525,0.266603
56,503.498,1,14.6768,30.937,3.73935,0.312492,0.267531
57,499.726,1,14.279,31.4657,3.67534,0.304579,0.277019
58,499.036,1,14.3183,31.7491,3.67492,0.296867,0.272632
59,497.408,1,14.758,30.9673,3.59639,0.296065,0.291233
60,494.816,1,14.4391,31.8061,3.55496,0.298363,0.284144
61,495.984,1,14.4131,31.9476,3.59437,0.290809,0.284553
62,501.417,1,14.5901,31.1135,3.7322,0.296034,0.277348
63,497.871,1,14.7114,31.2149,3.6377,0.305804,0.274543
64,498.43,1,14.4108,31.8164,3.63594,0.298061,0.281995
65,500.316,1,14.4976,31.5803,3.64405,0.309203,0.283902
66,502.497,1,14.4203,32.0821,3.70421,0.301374,0.292348
67,498.883,1,14.3736,31.9231,3.66925,0.293743,0.290587
68,504.731,1,14.2762,31.5818,3.73161,0.301445,0.292579
69,499.374,1,14.315,31.6366,3.69292,0.293813,0.285171
70,502.542,1,14.3098,31.7474,3.7309,0.286373,0.287473
71,500.623,1,14.4723,31.3535,3.7244,0.279122,0.280194
72,506.508,1,14.5119,31.8039,3.79605,0.301192,0.280364
73,499.729,1,14.2647,31.9024,3.69994,0.295693,0.286005
74,502.428,1,14.3696,31.5998,3.71475,0.299686,0.280056
75,506.853,1,14.3827,31.5217,3.77007,0.295617,0.301103
76,504.324,1,14.0095,31.4422,3.75775,0.288132,0.293479
77,505.411,1,14.1312,31.4621,3.72429,0.290812,0.313908
78,506.498,1,14.2629,31.8642,3.74369,0.293205,0.312929
79,506.492,1,14.4794,32.1114,3.77055,0.296125,0.305006
80,504.738,1,14.4575,31.78,3.727,0.302065,0.297283
81,508.047,1,14.3761,31.6206,3.78745,0.313118,0.289756
82,507.948,1,14.4827,31.61,3.78891,0.308405,0.290533
83,495.889,1,14.2669,31.5897,3.69298,0.300596,0.283176
84,497.355,1,14.3981,30.8717,3.64156,0.295007,0.276006
85,503.974,1,14.5025,31.1286,3.75548,0.291118,0.284327
86,496.164,1,14.6583,31.5688,3.66039,0.32496,0.301162
87,493.393,1,14.7269,31.206,3.56771,0.316732,0.293537
88,499.024,1,14.5209,31.0659,3.59691,0.31,0.293278
