parameter,value,se_sa,rse_sa
Cl_pop,22.3112733253151,3.77063480875135,16.9001327435358
beta_Cl_logtWTKG,1.07933716260732,0.437891608052136,40.5704188850809
beta_Cl_tSCRMGDL,-0.483210352715119,0.156994129868979,32.48981090468
V1_pop,24.5852516969113,1.99621511465017,8.11956346536393
Q_pop,23.4,,
beta_Q_logtWTKG,1.2527934118894,3.22416356278631,257.357959595573
V2_pop,13.0399850791375,3.86353569005103,29.6283750832832
beta_V2_logtWTKG,-3.61690165915119,2.44021820418587,67.4670874175366
omega_Cl,0.187618760186468,0.036387957316768,19.394626251982
omega_V1,0.239724068275385,0.0747693196606226,31.1897425229455
omega_Q,1.06633696684091,0.319018300242177,29.9172128663315
omega_V2,0.901065711053442,0.246715806953343,27.380445613107
a,1.42284589082521,0.255935157497732,17.9875529140613
b,0.0504424044047098,0.0155984452629089,30.9232786323178
