trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.60822,2.82177,0.481481,2.60822,2.82177,0.26,3.7566,3.02333,0.481481,3.7566,3.02333,0.26,3.30278,3.13105,0.481481,3.30278,3.13105,0.26,3.38149,2.8197,0.481481,3.38149,2.8197,All
0.267677,2.61585,2.81601,0.495698,2.61585,2.81601,0.267677,3.67196,3.02934,0.495698,3.67196,3.02934,0.267677,3.30236,3.13254,0.495698,3.30236,3.13254,0.267677,3.30028,2.811,0.495698,3.30028,2.811,All
0.275354,2.62347,2.81026,0.509914,2.62347,2.81026,0.275354,3.58733,3.03534,0.509914,3.58733,3.03534,0.275354,3.30194,3.13404,0.509914,3.30194,3.13404,0.275354,3.21908,2.8023,0.509914,3.21908,2.8023,All
0.28303,2.63109,2.8045,0.52413,2.63109,2.8045,0.28303,3.50269,3.04135,0.52413,3.50269,3.04135,0.28303,3.30152,3.13553,0.52413,3.30152,3.13553,0.28303,3.13787,2.7936,0.52413,3.13787,2.7936,All
0.290707,2.63871,2.79874,0.538346,2.63871,2.79874,0.290707,3.41806,3.04736,0.538346,3.41806,3.04736,0.290707,3.3011,3.13702,0.538346,3.3011,3.13702,0.290707,3.05667,2.7849,0.538346,3.05667,2.7849,All
0.298384,2.64633,2.79298,0.552563,2.64633,2.79298,0.298384,3.33342,3.05337,0.552563,3.33342,3.05337,0.298384,3.30068,3.13851,0.552563,3.30068,3.13851,0.298384,2.97546,2.7762,0.552563,2.97546,2.7762,All
0.306061,2.65395,2.78722,0.566779,2.65395,2.78722,0.306061,3.24879,3.05938,0.566779,3.24879,3.05938,0.306061,3.30026,3.14,0.566779,3.30026,3.14,0.306061,2.89426,2.7675,0.566779,2.89426,2.7675,All
0.313737,2.66157,2.78146,0.580995,2.66157,2.78146,0.313737,3.16415,3.06539,0.580995,3.16415,3.06539,0.313737,3.29984,3.1415,0.580995,3.29984,3.1415,0.313737,2.81305,2.75881,0.580995,2.81305,2.75881,All
0.321414,2.6692,2.77571,0.595211,2.6692,2.77571,0.321414,3.07952,3.0714,0.595211,3.07952,3.0714,0.321414,3.29942,3.14299,0.595211,3.29942,3.14299,0.321414,2.73185,2.75011,0.595211,2.73185,2.75011,All
0.329091,2.67682,2.76995,0.609428,2.67682,2.76995,0.329091,2.99488,3.0774,0.609428,2.99488,3.0774,0.329091,3.299,3.14448,0.609428,3.299,3.14448,0.329091,2.65064,2.74141,0.609428,2.65064,2.74141,All
