Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.68588,0.071425,15.5935,0.0350939,11.6557,0.023633,3.39771,0.0510578,All
9.69106,0.11428,18.8667,0.0504475,30.1869,0.0178216,8.60046,0.0510578,All
10.6962,0.121422,22.14,0.0833481,48.7182,0.0073611,13.8032,0.0331186,All
11.7014,0.135707,25.4133,0.0636077,67.2494,0.00464911,19.006,0.0124195,All
12.7066,0.05714,28.6865,0.0394807,85.7806,0.00193713,24.2087,0.00827965,All
13.7118,0.0499975,31.9598,0.0263204,104.312,0.000774852,29.4114,0.0124195,All
14.717,0.08571,35.2331,0.00877348,122.843,0.000387426,34.6142,0.00827965,All
15.7221,0.071425,38.5063,0.00438674,141.374,0.000387426,39.8169,0.00689971,All
16.7273,0.08571,41.7796,0.00219337,159.906,0.000387426,45.0197,0.00827965,All
17.7325,0.11428,45.0529,0.00438674,178.437,0,50.2224,0.00965959,All
18.7377,0.08571,48.3261,0.00658011,196.968,0,55.4252,0.00137994,All
19.7428,0.0499975,51.5994,0.00219337,215.499,0,60.6279,0.00137994,All
20.748,0.02857,54.8727,0.00219337,234.031,0.000774852,65.8307,0.00275988,All
