parameter,value,se_sa,rse_sa
Cl_pop,13.50055580092,0.92332790828852,6.8391844151009
V1_pop,22.1410466927328,2.47976566059471,11.1998574187038
Q_pop,34.9264344964278,18.223716496031,52.1774316754117
V2_pop,13.897939730051,3.896668006558,28.0377385587043
omega_Cl,0.260815563097765,0.0489626412836593,18.772898634621
omega_V1,0.205083476656741,0.145626679870001,71.0084899300514
omega_Q,1.08998450160389,0.37275908363434,34.1985673269513
omega_V2,0.845507708570897,0.225665318374035,26.6899185053512
a,1.58390872346366,0.270366225054126,17.069558431555
b,0.0409300160854411,0.0159102029836215,38.8717242387814
