iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,28.9403,1,13.5102,36.2175,21.7629,16.4821,1.55381,0.056628,0.01,0.258693,1.65506,3.51143e-08,0.721032
2,7.58403,1,13.4993,34.3733,21.7629,15.9222,0.000562211,2.09228,0.01,0.262459,1.60852,3.0547e-08,0.730219
3,15.4138,1,13.3954,33.6698,21.7629,16.8934,0.000578931,2.22432,0.01,0.271,1.56143,3.12651e-08,0.639515
4,15.4476,1,13.4019,36.7898,21.7629,16.1446,0.000569135,2.23521,0.01,0.26911,1.36188,3.15811e-08,0.711139
5,19.1151,1,13.425,39.0945,21.7629,16.1254,0.000566589,2.312,0.01,0.267632,1.39405,3.09482e-08,0.658046
6,25.1987,1,13.3194,33.6707,21.7629,17.8429,0.000571302,2.3871,0.01,0.264432,1.38142,3.1537e-08,0.665969
7,22.6212,1,13.5222,35.4169,21.7629,17.005,0.000545697,2.32593,0.01,0.269518,1.49858,3.33671e-08,0.610778
8,21.7562,1,13.5891,36.9743,21.7629,15.7392,0.00054202,2.37863,0.01,0.273297,1.51229,3.1323e-08,0.540782
9,27.2516,1,13.4532,42.0749,21.7629,15.9121,0.000535007,2.41597,0.01,0.26647,1.5284,3.04536e-08,0.617093
10,25.9554,1,13.4246,34.9087,21.7629,15.7446,0.000528173,2.39249,0.01,0.279873,1.46265,3.07312e-08,0.617355
11,20.3691,1,13.552,34.3176,21.7629,15.3975,0.000523172,2.37663,0.01,0.273717,1.46536,2.80723e-08,0.596702
12,24.6454,1,13.6462,37.0088,21.7629,15.4539,0.000523093,2.44372,0.01,0.268349,1.47414,2.72612e-08,0.608699
13,30.6723,1,13.6909,33.53,21.7629,15.9989,0.000521839,2.47627,0.01,0.272588,1.45651,2.79329e-08,0.668246
14,37.6009,1,13.3651,35.192,21.7629,14.8611,0.000532766,2.59965,0.01,0.257768,1.53219,2.74462e-08,0.642426
15,24.9193,1,13.5295,33.9339,21.7629,16.5669,0.000496951,2.4931,0.01,0.262121,1.48571,2.46473e-08,0.611391
16,28.2793,1,13.4961,33.5502,21.7629,16.7706,0.00049225,2.50456,0.01,0.26277,1.39174,2.74742e-08,0.635195
17,38.4427,1,13.5404,32.5689,21.7629,17.1821,0.000489123,2.53752,0.01,0.264014,1.50286,3.23115e-08,0.645618
18,26.0406,1,13.5013,31.9199,21.7629,17.4814,0.000468758,2.47535,0.01,0.261627,1.42861,2.61371e-08,0.649985
19,29.6747,1,13.4769,34.8212,21.7629,16.2215,0.000463267,2.49907,0.01,0.260605,1.35984,2.68899e-08,0.710897
20,31.6751,1,13.5321,37.7946,21.7629,15.84,0.000456877,2.52185,0.01,0.256987,1.33309,2.96127e-08,0.676199
21,29.3234,1,13.5513,36.8007,21.7629,15.9492,0.000456877,2.52185,0.01,0.245557,1.46721,2.72537e-08,0.692762
22,24.6896,1,13.4771,38.7119,21.7629,16.1615,0.000421436,2.41924,0.01,0.244665,1.59419,2.55254e-08,0.70002
23,25.0762,1,13.3092,40.2858,21.7629,17.1805,0.000399499,2.37074,0.01,0.259157,1.60763,2.67675e-08,0.714132
24,26.113,1,13.4248,35.8197,21.7629,17.5093,0.000394716,2.4154,0.01,0.249701,1.56269,2.61092e-08,0.723206
25,17.9032,1,13.4612,35.6107,21.7629,16.8443,0.000389943,2.39551,0.01,0.262077,1.41583,2.22303e-08,0.714286
26,16.2961,1,13.4961,36.9423,21.7629,15.5414,0.000384768,2.41491,0.01,0.256224,1.54268,1.98268e-08,0.680069
27,21.6423,1,13.5476,36.8442,21.7629,16.4581,0.000383313,2.41802,0.01,0.268663,1.54902,2.15726e-08,0.705637
28,26.3877,1,13.4555,45.3991,21.7629,15.976,0.000381243,2.42502,0.01,0.27474,1.58661,2.14513e-08,0.778543
29,21.1234,1,13.6128,40.0531,21.7629,15.9205,0.000374098,2.43012,0.01,0.262883,1.53444,2.02685e-08,0.738391
30,16.3558,1,13.5905,43.7469,21.7629,15.7512,0.000356685,2.39217,0.01,0.266925,1.49328,1.84983e-08,0.767491
31,18.3251,1,13.401,42.8495,21.7629,14.7077,0.000357027,2.45191,0.01,0.266229,1.48462,1.78744e-08,0.736745
32,17.328,1,13.7511,36.9044,21.7629,15.5527,0.000340278,2.38178,0.01,0.273836,1.45663,1.95287e-08,0.771049
33,32.3818,1,13.7747,43.0033,21.7629,15.8408,0.000344427,2.45421,0.01,0.289507,1.58678,2.2816e-08,0.790673
34,34.4566,1,13.6999,45.9225,21.7629,14.9535,0.000335296,2.44511,0.01,0.277315,1.58912,2.62232e-08,0.785318
35,27.3932,1,13.6077,36.3934,21.7629,15.8537,0.000330428,2.41727,0.01,0.279165,1.56274,2.56413e-08,0.684912
36,34.0018,1,13.6166,39.8508,21.7629,14.3874,0.000337156,2.53059,0.01,0.270481,1.55739,2.6294e-08,0.656461
37,35.974,1,13.568,43.0288,21.7629,14.8835,0.000331798,2.49863,0.01,0.270151,1.71096,2.53281e-08,0.714282
38,28.2582,1,13.5223,41.481,21.7629,15.1498,0.000317632,2.43599,0.01,0.265699,1.70696,2.42159e-08,0.686218
39,29.4556,1,13.3903,52.6552,21.7629,15.0334,0.000313816,2.41552,0.01,0.259936,1.83744,2.24058e-08,0.769972
40,24.877,1,13.6211,45.4241,21.7629,15.337,0.000294853,2.34074,0.01,0.276635,1.69821,2.30482e-08,0.791875
41,24.2034,1,13.4316,44.2084,21.7629,16.6929,0.000294853,2.34074,0.01,0.265207,1.6221,2.4288e-08,0.71134
42,37.5604,1,13.5496,45.6053,21.7629,15.1875,0.0003011,2.47668,0.01,0.266801,1.79456,2.70335e-08,0.719207
43,31.8647,1,13.4327,39.5617,21.7629,15.8352,0.000297516,2.45592,0.01,0.270359,1.40365,3.05574e-08,0.696888
44,23.5316,1,13.4519,33.6186,21.7629,16.4225,0.000293956,2.4346,0.01,0.262251,1.23779,2.86271e-08,0.694118
45,22.5012,1,13.3772,35.5612,21.7629,16.1791,0.000281772,2.38244,0.01,0.263265,1.32407,2.95522e-08,0.689402
46,18.861,1,13.586,34.974,21.7629,16.0069,0.000283467,2.42168,0.01,0.266662,1.3945,2.42568e-08,0.633179
47,26.0372,1,13.6585,31.5443,21.7629,16.9096,0.000280594,2.46918,0.01,0.277026,1.30055,2.66046e-08,0.673615
48,15.5761,1,13.646,32.4435,21.7629,17.1246,0.000262983,2.36839,0.01,0.273173,1.27734,2.70009e-08,0.620667
49,22.9923,1,13.3465,28.7165,21.7629,17.2936,0.000264406,2.45967,0.01,0.257441,1.25303,2.8864e-08,0.639475
50,23.8731,1,13.3592,30.7779,21.7629,16.6087,0.00025038,2.37902,0.01,0.261784,1.29827,3.2794e-08,0.672251
51,27.5837,1,13.1705,31.2782,21.7629,16.7582,0.000250966,2.43364,0.01,0.252463,1.41462,3.21143e-08,0.644703
52,33.9682,1,13.3475,36.0533,21.7629,16.7762,0.000248708,2.47887,0.01,0.25624,1.38995,3.28903e-08,0.700195
53,32.9882,1,13.2791,38.5991,21.7629,16.7947,0.000247196,2.47583,0.01,0.261193,1.30372,3.377e-08,0.694392
54,35.3155,1,13.3394,38.7071,21.7629,17.31,0.000245304,2.51715,0.01,0.258981,1.30908,3.09414e-08,0.745456
55,29.7009,1,13.4613,37.5438,21.7629,15.1353,0.000236432,2.48192,0.01,0.25889,1.47238,2.75269e-08,0.67356
56,38.3146,1,13.5333,38.9694,21.7629,16.2099,0.000232793,2.49799,0.01,0.26586,1.59068,3.03841e-08,0.704853
57,37.9489,1,13.4279,36.701,21.7629,16.368,0.000229893,2.55038,0.01,0.252957,1.53874,2.98821e-08,0.679012
58,34.124,1,13.5075,36.6587,21.7629,16.4043,0.000227135,2.5289,0.01,0.261144,1.42528,2.99183e-08,0.656923
59,31.0597,1,13.5378,36.7652,21.7629,16.353,0.00021904,2.47147,0.01,0.268013,1.40512,2.93635e-08,0.685828
60,28.9135,1,13.6322,36.0699,21.7629,15.5191,0.000216558,2.47882,0.01,0.264163,1.36762,2.65058e-08,0.725396
61,22.4061,1,13.6257,40.188,21.7629,14.5883,0.000216558,2.47882,0.01,0.270439,1.42127,2.15545e-08,0.699471
62,19.9574,1,13.8037,39.9176,21.7629,15.3906,0.000218153,2.50125,0.01,0.282114,1.52159,1.56399e-08,0.728095
63,13.0302,1,13.7565,32.9303,21.7629,15.1496,0.00021517,2.47357,0.01,0.269025,1.47962,1.59572e-08,0.651735
64,15.1511,1,13.6665,34.728,21.7629,15.2193,0.000211414,2.45983,0.01,0.259172,1.43839,1.7955e-08,0.687081
65,10.1608,1,13.6015,38.0669,21.7629,14.009,0.000209172,2.44117,0.01,0.267628,1.39851,1.56746e-08,0.694684
66,13.3041,1,13.533,38.4982,21.7629,14.0584,0.000209062,2.48011,0.01,0.275148,1.27238,1.74491e-08,0.673881
67,18.8017,1,13.5602,41.2058,21.7629,15.258,0.000208893,2.5425,0.01,0.287049,1.31557,1.69295e-08,0.666047
68,15.4824,1,13.3246,39.0281,21.7629,16.5844,0.000193202,2.38926,0.01,0.270846,1.39791,2.0362e-08,0.716891
69,13.237,1,13.3521,40.3979,21.7629,16.2133,0.000182407,2.31346,0.01,0.274547,1.3908,2.21515e-08,0.735769
70,8.70197,1,13.4636,35.9929,21.7629,16.7418,0.000175589,2.30307,0.01,0.262709,1.36896,2.08705e-08,0.732767
71,8.49565,1,13.4458,30.8611,21.7629,16.6599,0.000172554,2.34446,0.01,0.262793,1.29811,2.03446e-08,0.706978
72,10.3739,1,13.4036,28.6341,21.7629,17.0181,0.000174622,2.40683,0.01,0.262736,1.31431,1.84759e-08,0.69891
73,10.498,1,13.5014,31.584,21.7629,18.8167,0.000175335,2.42112,0.01,0.265967,1.22584,1.8149e-08,0.730447
74,13.4293,1,13.3324,34.3043,21.7629,16.5182,0.000173115,2.39919,0.01,0.272223,1.3108,2.05463e-08,0.685783
75,14.1563,1,13.3676,34.7768,21.7629,16.156,0.000172614,2.40337,0.01,0.278514,1.36668,1.92505e-08,0.698223
76,7.59128,1,13.4677,34.6209,21.7629,16.4115,0.000174215,2.42035,0.01,0.268376,1.29961,1.69272e-08,0.666442
77,6.93535,1,13.4846,34.2819,21.7629,16.2,0.000169554,2.43723,0.01,0.271537,1.33883,1.49012e-08,0.685353
78,63.3462,1,13.5359,38.4028,21.7629,16.3992,0.000163203,2.37997,0.01,0.275221,1.36019,1.16292e-07,0.641048
79,66.1542,1,13.3871,33.3189,21.7629,15.8013,0.000162297,2.43021,0.01,0.262854,1.44978,1.05746e-07,0.670721
80,71.0278,1,13.6313,32.1759,21.7629,15.2166,0.000160758,2.49053,0.01,0.268565,1.50946,9.58112e-08,0.707683
81,70.5593,1,13.6243,38.1249,21.7629,15.4655,0.000160758,2.49053,0.01,0.275651,1.66493,9.6165e-08,0.680521
82,75.0663,1,13.6007,36.0644,21.7629,16.3407,0.00016019,2.54571,0.01,0.260146,1.59783,8.66862e-08,0.765184
83,69.14,1,13.5326,39.9819,21.7629,16.7863,0.000151956,2.4859,0.01,0.266096,1.59738,8.01509e-08,0.765819
84,70.9326,1,13.4046,36.5302,21.7629,16.8168,0.000153454,2.57869,0.01,0.259795,1.43849,8.06469e-08,0.737376
85,75.8567,1,13.548,35.9201,21.7629,15.3341,0.000152862,2.58083,0.01,0.278339,1.51565,8.31394e-08,0.743939
86,62.7255,1,13.3334,34.8202,21.7629,15.9641,0.000142227,2.4777,0.01,0.259849,1.4675,8.27143e-08,0.680458
87,59.2892,1,13.4328,38.3551,21.7629,16.3695,0.000136612,2.4115,0.01,0.261944,1.51184,8.19844e-08,0.693565
88,56.4286,1,13.4629,36.0681,21.7629,16.9646,0.000132411,2.37862,0.01,0.262243,1.40263,8.27684e-08,0.729919
89,52.3708,1,13.2586,38.1237,21.7629,17.0876,0.000128458,2.3682,0.01,0.270283,1.28835,8.30579e-08,0.687592
90,51.1282,1,13.2433,39.6498,21.7629,16.6195,0.000126001,2.39155,0.01,0.26263,1.22797,7.55132e-08,0.738838
91,54.6363,1,13.4512,38.79,21.7629,16.6964,0.000123123,2.35782,0.01,0.268227,1.29235,7.64714e-08,0.833246
92,60.8519,1,13.398,37.6396,21.7629,18.1114,0.000125182,2.43121,0.01,0.275432,1.41885,7.14659e-08,0.808709
93,58.5892,1,13.2889,37.9123,21.7629,17.5654,0.00012361,2.42036,0.01,0.269208,1.32176,7.50815e-08,0.804949
94,49.7021,1,13.2166,34.9323,21.7629,17.8547,0.000117306,2.38653,0.01,0.259059,1.3652,6.38605e-08,0.769584
95,53.8547,1,13.5941,31.7391,21.7629,17.3432,0.000117244,2.49435,0.01,0.266797,1.2983,5.94933e-08,0.745195
96,47.2796,1,13.368,32.5156,21.7629,17.8077,0.000107429,2.35734,0.01,0.263072,1.38273,5.86962e-08,0.810027
97,44.4855,1,13.3523,34.1577,21.7629,17.8209,0.000107895,2.36624,0.01,0.25756,1.23652,6.41581e-08,0.75294
98,44.3548,1,13.3535,32.1099,21.7629,17.1882,0.000106639,2.34867,0.01,0.254461,1.18257,7.46731e-08,0.713132
99,50.5662,1,13.2958,34.6836,21.7629,16.9479,0.000107569,2.38182,0.01,0.254103,1.23228,7.95629e-08,0.727312
100,55.4701,1,13.2192,36.0681,21.7629,17.6026,0.000110497,2.40794,0.01,0.254018,1.35279,7.55478e-08,0.769152
101,60.4453,1,13.3849,40.7547,21.7629,17.169,0.000110497,2.40794,0.01,0.271944,1.45923,8.18325e-08,0.731995
102,65.05,1,13.3674,42.7326,21.7629,16.7134,0.000108852,2.4226,0.01,0.269653,1.47824,8.33514e-08,0.798743
103,68.7841,1,13.4006,45.7852,21.7629,15.7017,0.000107813,2.51894,0.01,0.284043,1.48588,7.26135e-08,0.776723
104,63.1077,1,13.5776,45.432,21.7629,15.8046,0.000102403,2.44872,0.01,0.27981,1.45585,6.88847e-08,0.832871
105,67.7398,1,13.4586,41.4775,21.7629,16.046,0.000104525,2.51032,0.01,0.276749,1.35609,7.55306e-08,0.828352
106,55.7658,1,13.423,42.7479,21.7629,16.8289,9.90697e-05,2.45564,0.01,0.263056,1.39868,6.09048e-08,0.800871
107,46.0333,1,13.2502,36.6987,21.7629,17.4055,9.52492e-05,2.38706,0.01,0.258771,1.34043,6.24569e-08,0.708815
108,48.7476,1,13.2937,34.7915,21.7629,18.0527,9.51293e-05,2.40131,0.01,0.251915,1.38928,6.61393e-08,0.700745
109,51.0119,1,13.4755,39.5249,21.7629,16.3484,9.68109e-05,2.50448,0.01,0.273708,1.305,5.61239e-08,0.679526
110,47.9906,1,13.3668,39.3566,21.7629,16.9702,9.18308e-05,2.41077,0.01,0.26504,1.48337,5.36514e-08,0.733375
111,51.608,1,13.3552,37.9285,21.7629,17.2728,9.20938e-05,2.45542,0.01,0.265702,1.41322,5.73603e-08,0.725385
112,55.4857,1,13.4367,41.2429,21.7629,17.2916,8.98478e-05,2.47438,0.01,0.270107,1.49884,5.66516e-08,0.741233
113,51.9662,1,13.5042,38.2752,21.7629,17.0975,8.94613e-05,2.47548,0.01,0.271973,1.34477,5.46003e-08,0.755524
114,37.2347,1,13.5792,34.8774,21.7629,15.9026,8.37547e-05,2.39567,0.01,0.271838,1.36518,4.25737e-08,0.711526
115,38.0494,1,13.4016,37.9003,21.7629,17.3612,8.37014e-05,2.43434,0.01,0.284472,1.23838,4.01937e-08,0.740162
116,36.8248,1,13.343,38.5088,21.7629,17.9672,8.40262e-05,2.39032,0.01,0.263007,1.26735,4.37766e-08,0.768838
117,44.1277,1,13.5928,37.7935,21.7629,15.9187,8.22057e-05,2.42968,0.01,0.275163,1.42086,4.37853e-08,0.7594
118,43.2651,1,13.5613,40.7802,21.7629,15.3664,8.13443e-05,2.48698,0.01,0.276382,1.41496,4.02185e-08,0.698812
