Parameters,Run_1,Run_2,Run_3,Run_4,Run_5
Cl_pop,13.5126,13.5085,13.5026,13.5126,13.5172
Q_pop,25.3138,23.5505,27.2538,25.6266,22.3501
V1_pop,24.1338,24.4412,23.6275,24.0119,24.7062
V2_pop,12.9647,12.6918,13.251,13.167,12.702
a,1.56237,1.53323,1.54043,1.48466,1.50342
b,0.0418888,0.0425184,0.0420635,0.0478127,0.0443194
omega_Cl,0.25958,0.25916,0.259215,0.259954,0.259668
omega_Q,0.961019,0.949157,1.00688,1.15838,1.00798
omega_V1,0.282161,0.269431,0.24961,0.214466,0.268294
omega_V2,0.873088,0.910976,0.883428,0.98468,0.947689
-2LL,512.264,512.311,512.428,512.527,512.47
