parameter,value
Cl_pop,21.8461971256153
beta_Cl_LMP_1,0.370005964305872
beta_Cl_logtIMCKGM2,-1.26683302508889
beta_Cl_logtRAN,-0.0255150801525486
beta_Cl_logtWTKG,1.92755798471832
beta_Cl_tSCRMGDL,-0.548829074569256
V1_pop,11.228320024653
beta_V1_logtPROGDL,-1.81669377669883
beta_V1_tSCRMGDL,0.636306045795472
Q_pop,23.4
beta_Q_logtIMCKGM2,4.63842509298963
V2_pop,8.93072799810234
beta_V2_SEXF_1,1.21046142167766
omega_Cl,0.138393733723576
omega_V1,0.210859751093127
omega_Q,0.719810571879989
omega_V2,0.545487723604619
a,1.51296670487988
b,0.0372647220353778
