trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_log_tCLCR_abscissa,trans_Cl_vs_log_tCLCR_spline,trans_Cl_vs_log_tCLCR_regression,trans_Cl_vs_log_tWT_abscissa,trans_Cl_vs_log_tWT_spline,trans_Cl_vs_log_tWT_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_log_tCLCR_abscissa,trans_V1_vs_log_tCLCR_spline,trans_V1_vs_log_tCLCR_regression,trans_V1_vs_log_tWT_abscissa,trans_V1_vs_log_tWT_spline,trans_V1_vs_log_tWT_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_log_tCLCR_abscissa,trans_V2_vs_log_tCLCR_spline,trans_V2_vs_log_tCLCR_regression,trans_V2_vs_log_tWT_abscissa,trans_V2_vs_log_tWT_spline,trans_V2_vs_log_tWT_regression,split
92.2,2.16988,2.32103,59,2.45035,2.41163,-0.0812101,2.15828,2.29201,-0.170958,2.44715,2.40362,92.2,3.22803,3.06648,59,2.81152,2.90846,-0.0812101,3.23814,3.09177,-0.170958,2.80946,2.90333,92.2,2.51435,2.43,59,2.40705,2.42223,-0.0812101,2.51167,2.4233,-0.170958,2.40623,2.42019,All
92.8333,2.18412,2.32519,59.3131,2.42637,2.41661,-0.0759695,2.1702,2.29634,-0.166692,2.42772,2.4084,92.8333,3.21297,3.06475,59.3131,2.84876,2.9107,-0.0759695,3.22568,3.08974,-0.166692,2.83997,2.90553,92.8333,2.50285,2.43147,59.3131,2.44765,2.42543,-0.0759695,2.50246,2.42478,-0.166692,2.43906,2.42316,All
93.4667,2.19835,2.32935,59.6263,2.40239,2.42159,-0.0707289,2.18212,2.30067,-0.162427,2.4083,2.41319,93.4667,3.19791,3.06301,59.6263,2.886,2.91293,-0.0707289,3.21322,3.08772,-0.162427,2.87048,2.90772,93.4667,2.49136,2.43295,59.6263,2.48825,2.42863,-0.0707289,2.49326,2.42625,-0.162427,2.47189,2.42613,All
94.1,2.21258,2.33351,59.9394,2.37841,2.42657,-0.0654882,2.19405,2.305,-0.158162,2.38887,2.41797,94.1,3.18285,3.06128,59.9394,2.92325,2.91517,-0.0654882,3.20076,3.08569,-0.158162,2.90099,2.90992,94.1,2.47986,2.43442,59.9394,2.52885,2.43183,-0.0654882,2.48405,2.42772,-0.158162,2.50473,2.4291,All
94.7333,2.22681,2.33767,60.2525,2.44422,2.43156,-0.0602476,2.20597,2.30933,-0.153896,2.37499,2.42276,94.7333,3.16778,3.05955,60.2525,2.92475,2.91741,-0.0602476,3.1883,3.08367,-0.153896,2.92929,2.91212,94.7333,2.46837,2.4359,60.2525,2.54488,2.43502,-0.0602476,2.47484,2.4292,-0.153896,2.53617,2.43207,All
95.3667,2.24105,2.34183,60.5657,2.53158,2.43654,-0.055007,2.2179,2.31365,-0.149631,2.44856,2.42754,95.3667,3.15272,3.05782,60.5657,2.91768,2.91964,-0.055007,3.17583,3.08164,-0.149631,2.92278,2.91432,95.3667,2.45687,2.43737,60.5657,2.55502,2.43822,-0.055007,2.46564,2.43067,-0.149631,2.54567,2.43504,All
96,2.25528,2.34598,60.8788,2.61893,2.44152,-0.0497664,2.22982,2.31798,-0.145366,2.52213,2.43232,96,3.13766,3.05608,60.8788,2.91061,2.92188,-0.0497664,3.16337,3.07962,-0.145366,2.91628,2.91651,96,2.44538,2.43885,60.8788,2.56517,2.44142,-0.0497664,2.45643,2.43215,-0.145366,2.55518,2.438,All
96.6333,2.26951,2.35014,61.1919,2.64248,2.4465,-0.0445258,2.24175,2.32231,-0.1411,2.59569,2.43711,96.6333,3.1226,3.05435,61.1919,2.91644,2.92412,-0.0445258,3.15091,3.0776,-0.1411,2.90977,2.91871,96.6333,2.43388,2.44032,61.1919,2.56133,2.44461,-0.0445258,2.44722,2.43362,-0.1411,2.56469,2.44097,All
97.2667,2.28375,2.3543,61.5051,2.62574,2.45149,-0.0392852,2.25367,2.32664,-0.136835,2.65301,2.44189,97.2667,3.10754,3.05262,61.5051,2.9304,2.92635,-0.0392852,3.13845,3.07557,-0.136835,2.90675,2.92091,97.2667,2.42239,2.4418,61.5051,2.54866,2.44781,-0.0392852,2.43802,2.4351,-0.136835,2.5704,2.44394,All
97.9,2.29798,2.35846,61.8182,2.60899,2.45647,-0.0340446,2.2656,2.33097,-0.132569,2.63847,2.44667,97.9,3.09248,3.05089,61.8182,2.94436,2.92859,-0.0340446,3.12599,3.07355,-0.132569,2.91916,2.92311,97.9,2.41089,2.44327,61.8182,2.53599,2.45101,-0.0340446,2.42881,2.43657,-0.132569,2.55931,2.44691,All
98.5333,2.31221,2.36262,62.1313,2.59224,2.46145,-0.028804,2.27752,2.3353,-0.128304,2.62392,2.45146,98.5333,3.07742,3.04915,62.1313,2.95833,2.93083,-0.028804,3.11353,3.07152,-0.128304,2.93157,2.9253,98.5333,2.3994,2.44475,62.1313,2.52332,2.4542,-0.028804,2.4196,2.43805,-0.128304,2.54823,2.44988,All
99.1667,2.32644,2.36678,62.4444,2.57549,2.46643,-0.0235634,2.28945,2.33962,-0.124039,2.60937,2.45624,99.1667,3.06236,3.04742,62.4444,2.97229,2.93306,-0.0235634,3.10107,3.0695,-0.124039,2.94398,2.9275,99.1667,2.3879,2.44622,62.4444,2.51065,2.4574,-0.0235634,2.4104,2.43952,-0.124039,2.53714,2.45285,All
99.8,2.34068,2.37094,62.7576,2.55874,2.47141,-0.0183228,2.30137,2.34395,-0.119773,2.59482,2.46103,99.8,3.0473,3.04569,62.7576,2.98626,2.9353,-0.0183228,3.0886,3.06747,-0.119773,2.95639,2.9297,99.8,2.37641,2.44769,62.7576,2.49798,2.4606,-0.0183228,2.40119,2.441,-0.119773,2.52605,2.45582,All
100.433,2.35491,2.37509,63.0707,2.54199,2.4764,-0.0130822,2.31329,2.34828,-0.115508,2.58027,2.46581,100.433,3.03223,3.04395,63.0707,3.00022,2.93753,-0.0130822,3.07614,3.06545,-0.115508,2.9688,2.9319,100.433,2.36491,2.44917,63.0707,2.48531,2.46379,-0.0130822,2.39198,2.44247,-0.115508,2.51497,2.45879,All
101.067,2.36914,2.37925,63.3838,2.52525,2.48138,-0.00784162,2.32522,2.35261,-0.111243,2.56573,2.47059,101.067,3.01717,3.04222,63.3838,3.01419,2.93977,-0.00784162,3.06368,3.06343,-0.111243,2.98121,2.93409,101.067,2.35342,2.45064,63.3838,2.47265,2.46699,-0.00784162,2.38278,2.44395,-0.111243,2.50388,2.46176,All
101.7,2.38338,2.38341,63.697,2.5085,2.48636,-0.00260102,2.33714,2.35694,-0.106977,2.55118,2.47538,101.7,3.00211,3.04049,63.697,3.02815,2.94201,-0.00260102,3.05122,3.0614,-0.106977,2.99362,2.93629,101.7,2.34192,2.45212,63.697,2.45998,2.47019,-0.00260102,2.37357,2.44542,-0.106977,2.49279,2.46472,All
102.333,2.39761,2.38757,64.0101,2.49175,2.49134,0.00263958,2.34907,2.36126,-0.102712,2.53663,2.48016,102.333,2.98705,3.03876,64.0101,3.04212,2.94424,0.00263958,3.03876,3.05938,-0.102712,3.00603,2.93849,102.333,2.33042,2.45359,64.0101,2.44731,2.47339,0.00263958,2.36436,2.44689,-0.102712,2.48171,2.46769,All
