trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.59903,2.82621,59,2.56283,2.50378,-0.137992,2.56158,2.50066,0.481481,2.59903,2.82621,0.26,3.79981,3.1178,59,2.90589,3.00641,-0.137992,2.90283,2.99876,0.481481,3.79981,3.1178,0.26,3.30114,3.11597,59,3.22733,3.22245,-0.137992,3.22834,3.22496,0.481481,3.30114,3.11597,0.26,3.40566,2.8342,59,2.43499,2.75888,-0.137992,2.45006,2.79657,0.481481,3.40566,2.8342,All
0.267677,2.60891,2.8204,59.3131,2.53641,2.50741,-0.133726,2.54015,2.50406,0.495698,2.60891,2.8204,0.267677,3.70258,3.11964,59.3131,2.93569,3.01292,-0.133726,2.92828,3.00493,0.495698,3.70258,3.11964,0.267677,3.29886,3.11784,59.3131,3.22508,3.22119,-0.133726,3.22677,3.22373,0.495698,3.29886,3.11784,0.267677,3.32686,2.82661,59.3131,2.68053,2.75123,-0.133726,2.64848,2.7884,0.495698,3.32686,2.82661,All
0.275354,2.61878,2.81458,59.6263,2.51,2.51104,-0.129461,2.51873,2.50746,0.509914,2.61878,2.81458,0.275354,3.60536,3.12149,59.6263,2.9655,3.01944,-0.129461,2.95373,3.01109,0.509914,3.60536,3.12149,0.275354,3.29657,3.11971,59.6263,3.22283,3.21992,-0.129461,3.22519,3.2225,0.509914,3.29657,3.11971,0.275354,3.24806,2.81902,59.6263,2.92607,2.74359,-0.129461,2.84689,2.78023,0.509914,3.24806,2.81902,All
0.28303,2.62866,2.80877,59.9394,2.48358,2.51467,-0.125196,2.4973,2.51086,0.52413,2.62866,2.80877,0.28303,3.50813,3.12334,59.9394,2.9953,3.02595,-0.125196,2.97919,3.01725,0.52413,3.50813,3.12334,0.28303,3.29428,3.12158,59.9394,3.22058,3.21865,-0.125196,3.22362,3.22127,0.52413,3.29428,3.12158,0.28303,3.16927,2.81144,59.9394,3.17161,2.73594,-0.125196,3.0453,2.77207,0.52413,3.16927,2.81144,All
0.290707,2.63853,2.80296,60.2525,2.5454,2.5183,-0.12093,2.48129,2.51425,0.538346,2.63853,2.80296,0.290707,3.4109,3.12519,60.2525,3.11663,3.03247,-0.12093,3.00993,3.02342,0.538346,3.4109,3.12519,0.290707,3.29199,3.12345,60.2525,3.18229,3.21739,-0.12093,3.21973,3.22004,0.538346,3.29199,3.12345,0.290707,3.09047,2.80385,60.2525,3.23776,2.7283,-0.12093,3.2329,2.7639,0.538346,3.09047,2.80385,All
0.298384,2.64841,2.79714,60.5657,2.6284,2.52194,-0.116665,2.55073,2.51765,0.552563,2.64841,2.79714,0.298384,3.31367,3.12704,60.5657,3.25993,3.03898,-0.116665,3.12406,3.02958,0.552563,3.31367,3.12704,0.298384,3.28971,3.12532,60.5657,3.13534,3.21612,-0.116665,3.17936,3.21881,0.552563,3.28971,3.12532,0.298384,3.01168,2.79627,60.5657,3.26086,2.72065,-0.116665,3.25018,2.75573,0.552563,3.01168,2.79627,All
0.306061,2.65828,2.79133,60.8788,2.7114,2.52557,-0.1124,2.62017,2.52105,0.566779,2.65828,2.79133,0.306061,3.21644,3.12889,60.8788,3.40322,3.0455,-0.1124,3.2382,3.03574,0.566779,3.21644,3.12889,0.306061,3.28742,3.12719,60.8788,3.0884,3.21485,-0.1124,3.13899,3.21758,0.566779,3.28742,3.12719,0.306061,2.93288,2.78868,60.8788,3.28397,2.713,-0.1124,3.26745,2.74756,0.566779,2.93288,2.78868,All
0.313737,2.66816,2.78551,61.1919,2.73205,2.5292,-0.108134,2.68961,2.52445,0.580995,2.66816,2.78551,0.313737,3.11921,3.13074,61.1919,3.45128,3.05201,-0.108134,3.35233,3.04191,0.580995,3.11921,3.13074,0.313737,3.28513,3.12906,61.1919,3.08178,3.21359,-0.108134,3.09862,3.21634,0.580995,3.28513,3.12906,0.313737,2.85409,2.78109,61.1919,3.26674,2.70536,-0.108134,3.28472,2.73939,0.580995,2.85409,2.78109,All
0.321414,2.67804,2.7797,61.5051,2.71334,2.53283,-0.103869,2.74326,2.52785,0.595211,2.67804,2.7797,0.321414,3.02199,3.13258,61.5051,3.43919,3.05853,-0.103869,3.44379,3.04807,0.595211,3.02199,3.13258,0.321414,3.28284,3.13093,61.5051,3.10062,3.21232,-0.103869,3.06878,3.21511,0.595211,3.28284,3.13093,0.321414,2.77529,2.77351,61.5051,3.22405,2.69771,-0.103869,3.29202,2.73123,0.595211,2.77529,2.77351,All
0.329091,2.68791,2.77389,61.8182,2.69462,2.53647,-0.0996034,2.72709,2.53125,0.609428,2.68791,2.77389,0.329091,2.92476,3.13443,61.8182,3.4271,3.06504,-0.0996034,3.43493,3.05423,0.609428,2.92476,3.13443,0.329091,3.28056,3.1328,61.8182,3.11947,3.21106,-0.0996034,3.0855,3.21388,0.609428,3.28056,3.1328,0.329091,2.69649,2.76592,61.8182,3.18135,2.69007,-0.0996034,3.25523,2.72306,0.609428,2.69649,2.76592,All
