parameter,value,se_lin,rse_lin
Cl_pop,20.6318543135197,4.03786215170327,19.5710094223442
beta_Cl_tSCRMGDL,-0.414675496536663,0.182551749778169,44.022796452365
V1_pop,24.1253205910259,2.21345222659646,9.17480958748305
Q_pop,23.4,,
V2_pop,12.4794686544652,2.9250781353024,23.4391240227668
omega_Cl,0.223587906742182,0.042684074705253,19.0905113461578
omega_V1,0.314080698252669,0.072088362902891,22.9521786292317
omega_Q,0.843204014314833,0.246067237753345,29.1824082399908
omega_V2,0.81067904165437,0.190015738570205,23.4390836332015
a,1.89022347032555,0.223049400522866,11.8001603527043
