iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
54,465.835,1,13.5828,17.1974,25.8957,9.41632,1.54483,0.0419293,0.273187,0.743254,0.330666,0.981646
55,465.45,1,13.4595,18.9368,25.766,10.486,1.61723,0.0381385,0.264442,0.807617,0.329335,0.905417
56,466.066,1,13.5221,19.6716,26.2955,10.6148,1.64876,0.0387834,0.255213,0.753223,0.30325,1.01415
57,475.054,1,13.5504,17.7323,26.1822,10.4052,1.74545,0.038826,0.261062,0.739794,0.299298,1.06445
58,465.983,1,13.5716,18.2711,25.783,11.2402,1.58664,0.0440959,0.270742,0.698887,0.306286,0.940207
59,461.759,1,13.482,17.4409,26.1284,10.7911,1.56139,0.0442448,0.258795,0.743588,0.295465,0.870199
60,470.065,1,13.6374,16.8783,26.1318,11.0115,1.51993,0.0504778,0.26256,0.75136,0.300604,0.936378
61,462.104,1,13.6101,18.1195,25.5715,10.8524,1.53266,0.0440617,0.263594,0.760362,0.294938,0.930003
62,468.621,1,13.5712,21.1903,25.4771,12.3511,1.58313,0.0460898,0.267474,0.696277,0.289457,1.01099
63,468.019,1,13.5312,21.3131,25.1319,12.273,1.62007,0.0448012,0.259202,0.732537,0.299899,0.90709
64,459.43,1,13.4661,22.2059,25.7348,11.48,1.49086,0.0492749,0.25975,0.753454,0.266322,0.83993
65,461.8,1,13.5104,20.3411,25.7474,11.7989,1.61662,0.0428708,0.25245,0.752783,0.281566,0.864367
66,457.436,1,13.4563,21.5694,26.6706,11.1797,1.43677,0.0490464,0.253686,0.702912,0.286173,0.934252
67,465.867,1,13.6205,21.1062,25.8476,10.8169,1.52615,0.0457373,0.261553,0.769711,0.284847,1.0301
68,465.967,1,13.5997,20.7324,25.6847,10.7908,1.52619,0.0468497,0.254416,0.79256,0.265901,1.02798
69,472.41,1,13.7178,24.6195,25.4287,10.5712,1.55529,0.0494122,0.26556,0.73632,0.259883,1.13648
70,480.899,1,13.4678,25.9783,25.5867,9.7239,1.55541,0.0549912,0.252336,0.688857,0.27825,1.23064
71,485.437,1,13.4814,25.5041,25.7088,8.82903,1.6154,0.053839,0.256823,0.70824,0.292087,1.18374
72,483.971,1,13.6195,25.2865,25.5692,8.55044,1.66285,0.0515366,0.264111,0.644351,0.29841,1.17386
73,479.83,1,13.601,26.5808,26.0484,10.581,1.66282,0.0499422,0.256215,0.69648,0.285752,1.10897
74,484.653,1,13.6095,22.847,25.729,11.1138,1.66292,0.0525815,0.255961,0.726042,0.281743,1.10724
