trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_log_tCLCRLH_abscissa,trans_Cl_vs_log_tCLCRLH_spline,trans_Cl_vs_log_tCLCRLH_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_log_tCLCRLH_abscissa,trans_V1_vs_log_tCLCRLH_spline,trans_V1_vs_log_tCLCRLH_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_log_tCLCRLH_abscissa,trans_V2_vs_log_tCLCRLH_spline,trans_V2_vs_log_tCLCRLH_regression,split
92.2,2.1948,2.33866,-0.235361,2.18554,2.31551,92.2,2.81938,2.40783,-0.235361,2.84212,2.46466,92.2,2.75113,2.8168,-0.235361,2.75567,2.82813,All
92.8333,2.20634,2.34162,-0.23012,2.19519,2.31863,92.8333,2.76028,2.39996,-0.23012,2.79346,2.45644,92.8333,2.74626,2.81358,-0.23012,2.7515,2.82496,All
93.4667,2.21789,2.34458,-0.22488,2.20484,2.32176,93.4667,2.70118,2.3921,-0.22488,2.7448,2.44823,93.4667,2.74139,2.81035,-0.22488,2.74734,2.82179,All
94.1,2.22944,2.34755,-0.219639,2.2145,2.32488,94.1,2.64208,2.38424,-0.219639,2.69614,2.44001,94.1,2.73652,2.80713,-0.219639,2.74317,2.81862,All
94.7333,2.24098,2.35051,-0.214398,2.22415,2.32801,94.7333,2.58298,2.37637,-0.214398,2.64749,2.43179,94.7333,2.73165,2.80391,-0.214398,2.73901,2.81546,All
95.3667,2.25253,2.35347,-0.209158,2.2338,2.33113,95.3667,2.52388,2.36851,-0.209158,2.59883,2.42357,95.3667,2.72678,2.80068,-0.209158,2.73484,2.81229,All
96,2.26407,2.35644,-0.203917,2.24346,2.33426,96,2.46478,2.36064,-0.203917,2.55017,2.41536,96,2.7219,2.79746,-0.203917,2.73068,2.80912,All
96.6333,2.27562,2.3594,-0.198677,2.25311,2.33738,96.6333,2.40568,2.35278,-0.198677,2.50151,2.40714,96.6333,2.71703,2.79424,-0.198677,2.72652,2.80595,All
97.2667,2.28716,2.36236,-0.193436,2.26276,2.34051,97.2667,2.34657,2.34492,-0.193436,2.45285,2.39892,97.2667,2.71216,2.79101,-0.193436,2.72235,2.80278,All
97.9,2.29871,2.36532,-0.188195,2.27242,2.34363,97.9,2.28747,2.33705,-0.188195,2.4042,2.3907,97.9,2.70729,2.78779,-0.188195,2.71819,2.79962,All
98.5333,2.31025,2.36829,-0.182955,2.28207,2.34676,98.5333,2.22837,2.32919,-0.182955,2.35554,2.38249,98.5333,2.70242,2.78457,-0.182955,2.71402,2.79645,All
99.1667,2.3218,2.37125,-0.177714,2.29173,2.34988,99.1667,2.16927,2.32132,-0.177714,2.30688,2.37427,99.1667,2.69754,2.78134,-0.177714,2.70986,2.79328,All
99.8,2.33335,2.37421,-0.172474,2.30138,2.35301,99.8,2.11017,2.31346,-0.172474,2.25822,2.36605,99.8,2.69267,2.77812,-0.172474,2.7057,2.79011,All
100.433,2.34489,2.37717,-0.167233,2.31103,2.35613,100.433,2.05107,2.3056,-0.167233,2.20957,2.35783,100.433,2.6878,2.77489,-0.167233,2.70153,2.78694,All
101.067,2.35644,2.38014,-0.161992,2.32069,2.35926,101.067,1.99197,2.29773,-0.161992,2.16091,2.34962,101.067,2.68293,2.77167,-0.161992,2.69737,2.78378,All
101.7,2.36798,2.3831,-0.156752,2.33034,2.36238,101.7,1.93287,2.28987,-0.156752,2.11225,2.3414,101.7,2.67806,2.76845,-0.156752,2.6932,2.78061,All
102.333,2.37953,2.38606,-0.151511,2.33999,2.36551,102.333,1.87377,2.282,-0.151511,2.06359,2.33318,102.333,2.67318,2.76522,-0.151511,2.68904,2.77744,All
102.967,2.39107,2.38903,-0.14627,2.34965,2.36863,102.967,1.81466,2.27414,-0.14627,2.01493,2.32496,102.967,2.66831,2.762,-0.14627,2.68487,2.77427,All
103.6,2.40262,2.39199,-0.14103,2.3593,2.37176,103.6,1.75556,2.26628,-0.14103,1.96628,2.31675,103.6,2.66344,2.75878,-0.14103,2.68071,2.7711,All
104.233,2.41462,2.39495,-0.135789,2.36895,2.37488,104.233,1.7348,2.25841,-0.135789,1.91762,2.30853,104.233,2.6724,2.75555,-0.135789,2.67655,2.76793,All
104.867,2.42741,2.39791,-0.130549,2.37861,2.37801,104.867,1.77976,2.25055,-0.130549,1.86896,2.30031,104.867,2.70506,2.75233,-0.130549,2.67238,2.76477,All
105.5,2.4402,2.40088,-0.125308,2.38826,2.38113,105.5,1.82471,2.24268,-0.125308,1.8203,2.29209,105.5,2.73773,2.74911,-0.125308,2.66822,2.7616,All
106.133,2.45299,2.40384,-0.120067,2.39791,2.38426,106.133,1.86967,2.23482,-0.120067,1.77165,2.28388,106.133,2.77039,2.74588,-0.120067,2.66405,2.75843,All
106.767,2.46578,2.4068,-0.114827,2.4076,2.38738,106.767,1.91463,2.22696,-0.114827,1.72473,2.27566,106.767,2.80306,2.74266,-0.114827,2.66054,2.75526,All
107.4,2.47857,2.40977,-0.109586,2.41918,2.39051,107.4,1.95959,2.21909,-0.109586,1.76445,2.26744,107.4,2.83572,2.73944,-0.109586,2.68952,2.75209,All
108.033,2.49136,2.41273,-0.104346,2.43076,2.39363,108.033,2.00454,2.21123,-0.104346,1.80417,2.25922,108.033,2.86838,2.73621,-0.104346,2.71851,2.74893,All
108.667,2.50415,2.41569,-0.0991051,2.44234,2.39676,108.667,2.0495,2.20336,-0.0991051,1.8439,2.25101,108.667,2.90105,2.73299,-0.0991051,2.74749,2.74576,All
109.3,2.51694,2.41865,-0.0938645,2.45392,2.39988,109.3,2.09446,2.1955,-0.0938645,1.88362,2.24279,109.3,2.93371,2.72976,-0.0938645,2.77647,2.74259,All
109.933,2.52973,2.42162,-0.0886239,2.4655,2.40301,109.933,2.13942,2.18764,-0.0886239,1.92334,2.23457,109.933,2.96638,2.72654,-0.0886239,2.80545,2.73942,All
110.567,2.54251,2.42458,-0.0833833,2.47708,2.40613,110.567,2.18438,2.17977,-0.0833833,1.96306,2.22635,110.567,2.99904,2.72332,-0.0833833,2.83444,2.73625,All
111.2,2.5553,2.42754,-0.0781427,2.48866,2.40926,111.2,2.22933,2.17191,-0.0781427,2.00279,2.21814,111.2,3.03171,2.72009,-0.0781427,2.86342,2.73308,All
111.833,2.56809,2.4305,-0.0729021,2.50024,2.41238,111.833,2.27429,2.16404,-0.0729021,2.04251,2.20992,111.833,3.06437,2.71687,-0.0729021,2.8924,2.72992,All
112.467,2.55936,2.43347,-0.0676615,2.51182,2.41551,112.467,2.27382,2.15618,-0.0676615,2.08223,2.2017,112.467,3.02863,2.71365,-0.0676615,2.92138,2.72675,All
113.1,2.54295,2.43643,-0.0624209,2.5234,2.41863,113.1,2.25712,2.14832,-0.0624209,2.12196,2.19348,113.1,2.96845,2.71042,-0.0624209,2.95037,2.72358,All
113.733,2.52654,2.43939,-0.0571803,2.53498,2.42176,113.733,2.24043,2.14045,-0.0571803,2.16168,2.18527,113.733,2.90828,2.7072,-0.0571803,2.97935,2.72041,All
114.367,2.51012,2.44236,-0.0519397,2.54656,2.42488,114.367,2.22373,2.13259,-0.0519397,2.2014,2.17705,114.367,2.84811,2.70398,-0.0519397,3.00833,2.71724,All
115,2.49371,2.44532,-0.0466991,2.55814,2.42801,115,2.20704,2.12472,-0.0466991,2.24113,2.16883,115,2.78793,2.70075,-0.0466991,3.03731,2.71408,All
115.633,2.47729,2.44828,-0.0414585,2.56972,2.43113,115.633,2.19034,2.11686,-0.0414585,2.28085,2.16061,115.633,2.72776,2.69753,-0.0414585,3.0663,2.71091,All
116.267,2.46088,2.45124,-0.0362179,2.55753,2.43426,116.267,2.17365,2.109,-0.0362179,2.27138,2.1524,116.267,2.66759,2.69431,-0.0362179,3.01956,2.70774,All
116.9,2.44446,2.45421,-0.0309772,2.54206,2.43738,116.9,2.15695,2.10113,-0.0309772,2.25511,2.14418,116.9,2.60741,2.69108,-0.0309772,2.96236,2.70457,All
117.533,2.42805,2.45717,-0.0257366,2.52659,2.44051,117.533,2.14025,2.09327,-0.0257366,2.23884,2.13596,117.533,2.54724,2.68786,-0.0257366,2.90516,2.7014,All
118.167,2.41164,2.46013,-0.020496,2.51111,2.44363,118.167,2.12356,2.0854,-0.020496,2.22257,2.12774,118.167,2.48707,2.68463,-0.020496,2.84796,2.69824,All
118.8,2.44205,2.46309,-0.0152554,2.49564,2.44676,118.8,2.08404,2.07754,-0.0152554,2.2063,2.11953,118.8,2.5252,2.68141,-0.0152554,2.79076,2.69507,All
119.433,2.48496,2.46606,-0.0100148,2.48017,2.44988,119.433,2.03844,2.06968,-0.0100148,2.19003,2.11131,119.433,2.58955,2.67819,-0.0100148,2.73356,2.6919,All
120.067,2.53088,2.46902,-0.00477424,2.4647,2.45301,120.067,2.00118,2.06181,-0.00477424,2.17376,2.10309,120.067,2.66389,2.67496,-0.00477424,2.67636,2.68873,All
120.7,2.57716,2.47198,0.000466363,2.44922,2.45613,120.7,1.96491,2.05395,0.000466363,2.15749,2.09487,120.7,2.7394,2.67174,0.000466363,2.61915,2.68556,All
121.333,2.62344,2.47495,0.00570697,2.43375,2.45926,121.333,1.92864,2.04608,0.00570697,2.14123,2.08666,121.333,2.81492,2.66852,0.00570697,2.56195,2.68239,All
121.967,2.64058,2.47791,0.0109476,2.41828,2.46238,121.967,1.91783,2.03822,0.0109476,2.12496,2.07844,121.967,2.83932,2.66529,0.0109476,2.50475,2.67923,All
122.6,2.61798,2.48087,0.0161882,2.42846,2.46551,122.6,1.93061,2.03036,0.0161882,2.09582,2.07022,122.6,2.79849,2.66207,0.0161882,2.50102,2.67606,All
123.233,2.59538,2.48383,0.0214288,2.47182,2.46863,123.233,1.94339,2.02249,0.0214288,2.05003,2.062,123.233,2.75766,2.65885,0.0214288,2.56643,2.67289,All
123.867,2.57278,2.4868,0.0266694,2.51619,2.47176,123.867,1.95617,2.01463,0.0266694,2.00943,2.05379,123.867,2.71683,2.65562,0.0266694,2.63575,2.66972,All
124.5,2.55018,2.48976,0.03191,2.56153,2.47489,124.5,1.96895,2.00676,0.03191,1.97379,2.04557,124.5,2.67599,2.6524,0.03191,2.70882,2.66655,All
125.133,2.52758,2.49272,0.0371506,2.60686,2.47801,125.133,1.98172,1.9989,0.0371506,1.93815,2.03735,125.133,2.63516,2.64917,0.0371506,2.78188,2.66339,All
125.767,2.50498,2.49569,0.0423912,2.64326,2.48114,125.767,1.9945,1.99104,0.0423912,1.91304,2.02913,125.767,2.59433,2.64595,0.0423912,2.8381,2.66022,All
126.4,2.48238,2.49865,0.0476318,2.62647,2.48426,126.4,2.00728,1.98317,0.0476318,1.92256,2.02092,126.4,2.5535,2.64273,0.0476318,2.80682,2.65705,All
127.033,2.45978,2.50161,0.0528724,2.60321,2.48739,127.033,2.02006,1.97531,0.0528724,1.93559,2.0127,127.033,2.51267,2.6395,0.0528724,2.76521,2.65388,All
127.667,2.43719,2.50457,0.058113,2.57994,2.49051,127.667,2.03284,1.96744,0.058113,1.94863,2.00448,127.667,2.47184,2.63628,0.058113,2.72359,2.65071,All
128.3,2.41459,2.50754,0.0633536,2.55668,2.49364,128.3,2.04562,1.95958,0.0633536,1.96166,1.99626,128.3,2.43101,2.63306,0.0633536,2.68198,2.64754,All
128.933,2.39199,2.5105,0.0685942,2.53342,2.49676,128.933,2.05839,1.95172,0.0685942,1.9747,1.98805,128.933,2.39017,2.62983,0.0685942,2.64037,2.64438,All
129.567,2.38462,2.51346,0.0738348,2.51015,2.49989,129.567,2.03478,1.94385,0.0738348,1.98774,1.97983,129.567,2.38582,2.62661,0.0738348,2.59876,2.64121,All
130.2,2.37904,2.51642,0.0790754,2.48689,2.50301,130.2,2.00688,1.93599,0.0790754,2.00077,1.97161,130.2,2.38576,2.62339,0.0790754,2.55714,2.63804,All
130.833,2.37346,2.51939,0.084316,2.46362,2.50614,130.833,1.97898,1.92812,0.084316,2.01381,1.96339,130.833,2.3857,2.62016,0.084316,2.51553,2.63487,All
131.467,2.36788,2.52235,0.0895566,2.44036,2.50926,131.467,1.95108,1.92026,0.0895566,2.02684,1.95518,131.467,2.38564,2.61694,0.0895566,2.47392,2.6317,All
132.1,2.3623,2.52531,0.0947972,2.4171,2.51239,132.1,1.92318,1.91239,0.0947972,2.03988,1.94696,132.1,2.38558,2.61372,0.0947972,2.43231,2.62854,All
132.733,2.35672,2.52828,0.100038,2.39383,2.51551,132.733,1.89528,1.90453,0.100038,2.05292,1.93874,132.733,2.38552,2.61049,0.100038,2.3907,2.62537,All
133.367,2.35114,2.53124,0.105278,2.38622,2.51864,133.367,1.86738,1.89667,0.105278,2.02634,1.93052,133.367,2.38546,2.60727,0.105278,2.38661,2.6222,All
134,2.34556,2.5342,0.110519,2.38008,2.52176,134,1.83948,1.8888,0.110519,1.99601,1.92231,134,2.38539,2.60404,0.110519,2.38609,2.61903,All
134.633,2.33998,2.53716,0.11576,2.37394,2.52489,134.633,1.81159,1.88094,0.11576,1.96568,1.91409,134.633,2.38533,2.60082,0.11576,2.38556,2.61586,All
135.267,2.3344,2.54013,0.121,2.36781,2.52801,135.267,1.78369,1.87307,0.121,1.93535,1.90587,135.267,2.38527,2.5976,0.121,2.38503,2.6127,All
135.9,2.32882,2.54309,0.126241,2.36167,2.53114,135.9,1.75579,1.86521,0.126241,1.90502,1.89765,135.9,2.38521,2.59437,0.126241,2.38451,2.60953,All
136.533,2.38187,2.54605,0.131481,2.35554,2.53426,136.533,1.78111,1.85735,0.131481,1.87469,1.88944,136.533,2.39496,2.59115,0.131481,2.38398,2.60636,All
137.167,2.4459,2.54901,0.136722,2.3494,2.53739,137.167,1.81642,1.84948,0.136722,1.84436,1.88122,137.167,2.40655,2.58793,0.136722,2.38346,2.60319,All
137.8,2.50994,2.55198,0.141963,2.34327,2.54051,137.8,1.85172,1.84162,0.141963,1.81403,1.873,137.8,2.41815,2.5847,0.141963,2.38293,2.60002,All
138.433,2.55557,2.55494,0.147203,2.33713,2.54364,138.433,1.85734,1.83375,0.147203,1.7837,1.86478,138.433,2.56459,2.58148,0.147203,2.3824,2.59685,All
139.067,2.5521,2.5579,0.152444,2.33099,2.54676,139.067,1.7967,1.82589,0.152444,1.75337,1.85657,139.067,2.85492,2.57826,0.152444,2.38188,2.59369,All
139.7,2.55409,2.56087,0.157684,2.38983,2.54989,139.7,1.83825,1.81803,0.157684,1.78167,1.84835,139.7,2.78182,2.57503,0.157684,2.39416,2.59052,All
140.333,2.55608,2.56383,0.162925,2.46196,2.55301,140.333,1.87979,1.81016,0.162925,1.82197,1.84013,140.333,2.70871,2.57181,0.162925,2.40907,2.58735,All
