iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tCLCRMLMIN,omega_Cl,omega_Q,omega_V1,omega_V2
1,970.88,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,650.921,1,11.1289,24.3746,18.0106,4.42397,0.0327989,2.15419,0.662624,1.04876,0.291572,1.3837
3,656.586,1,9.85913,24.614,18.561,4.45506,1.16789e-07,3.35526,0.837583,1.0222,0.284189,1.36458
4,659.731,1,8.71739,25.2747,17.5615,4.23231,1.10949e-07,4.44577,1.16125,1.00893,0.291323,1.44456
5,658.845,1,7.52968,25.7608,17.3464,4.02069,1.05402e-07,5.56745,1.3756,0.996197,0.283946,1.64811
6,648.342,1,5.09446,25.8631,15.9732,3.81966,1.00132e-07,7.87793,1.82399,0.970973,0.276757,1.60637
7,634.004,1,3.42256,26.3892,15.8297,3.62868,9.51253e-08,9.7815,2.24782,1.00715,0.273768,1.5657
8,616.292,1,3.19587,25.7687,15.0207,3.44724,9.0369e-08,10.0863,2.22221,0.981646,0.274343,1.52606
9,612.993,1,4.17208,26.3303,15.6092,3.27488,8.58506e-08,9.07349,2.43517,0.95679,0.274584,1.48742
10,607.61,1,4.71602,25.06,13.9685,3.11114,8.1558e-08,8.56387,2.73814,0.963248,0.281143,1.44975
11,605.157,1,5.54963,24.8753,14.633,2.95558,7.74801e-08,7.93408,2.85351,1.03202,0.276474,1.41304
12,597.881,1,6.15229,24.801,14.0082,2.8078,7.36061e-08,7.53701,3.06251,1.0168,0.277525,1.37727
13,597.943,1,6.43495,24.9631,11.5191,2.66741,6.99258e-08,7.34948,3.38729,1.00358,0.270498,1.34239
14,581.28,1,4.99504,25.0167,10.68,2.53404,6.64295e-08,8.91488,3.49913,0.978168,0.270367,1.3084
15,573.393,1,5.37441,25.4519,9.58992,2.40734,6.31081e-08,8.58793,3.48789,0.9534,0.263522,1.27527
16,559.202,1,4.93803,24.9966,10.9071,2.28697,5.99526e-08,8.88561,3.39957,0.929259,0.256849,1.24298
17,551.7,1,5.89025,25.0999,10.3813,2.17262,5.6955e-08,8.06837,3.36575,0.973373,0.258557,1.21151
18,547.647,1,5.15026,24.8877,10.6262,2.06399,5.41073e-08,8.7915,3.38457,0.948726,0.260726,1.18083
19,545.625,1,4.60495,24.8647,10.6238,1.85488,0.0228716,9.55445,3.3802,0.924704,0.281263,1.15093
