Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-0.487155,-0.243878,-0.0218465,-0.583499,0.0635306,-0.00860268
-0.474135,-0.223212,-0.0210801,-0.573476,0.075711,-0.0080281
-0.461115,-0.202546,-0.0203137,-0.563453,0.0878913,-0.00745351
-0.448096,-0.18188,-0.0195473,-0.553429,0.100072,-0.00687893
-0.435076,-0.161214,-0.0187809,-0.543406,0.112252,-0.00630434
-0.422056,-0.146561,-0.0180146,-0.533383,0.124432,-0.00572976
-0.409036,-0.134158,-0.0172482,-0.52336,0.136613,-0.00515517
-0.396016,-0.121755,-0.0164818,-0.513337,0.141531,-0.00458058
-0.382996,-0.109848,-0.0157154,-0.503313,0.145657,-0.004006
-0.369976,-0.101359,-0.014949,-0.49329,0.14783,-0.00343141
-0.356956,-0.0938747,-0.0141827,-0.483267,0.148411,-0.00285683
-0.343936,-0.0875889,-0.0134163,-0.473244,0.147408,-0.00228224
-0.330916,-0.0817227,-0.0126499,-0.46322,0.14281,-0.00170766
-0.317896,-0.0768234,-0.0118835,-0.453197,0.138212,-0.00113307
-0.304876,-0.0719621,-0.0111171,-0.443174,0.133614,-0.000558484
-0.291857,-0.0676394,-0.0103508,-0.433151,0.129015,1.61022e-05
-0.278837,-0.0633777,-0.00958438,-0.423127,0.124417,0.000590688
-0.265817,-0.0589423,-0.008818,-0.413104,0.119819,0.00116527
-0.252797,-0.0542933,-0.00805162,-0.403081,0.113198,0.00173986
-0.239777,-0.049157,-0.00728524,-0.393058,0.10517,0.00231445
-0.226757,-0.0433052,-0.00651886,-0.383034,0.0965144,0.00288903
-0.213737,-0.0366177,-0.00575248,-0.373011,0.0877192,0.00346362
-0.200717,-0.0293497,-0.0049861,-0.362988,0.0785178,0.0040382
-0.187697,-0.0219383,-0.00421972,-0.352965,0.0692437,0.00461279
-0.174677,-0.0150119,-0.00345334,-0.342942,0.059857,0.00518737
-0.161657,-0.00909298,-0.00268696,-0.332918,0.0505034,0.00576196
-0.148637,-0.00486218,-0.00192058,-0.322895,0.0413081,0.00633655
-0.135618,-0.00245932,-0.0011542,-0.312872,0.0323707,0.00691113
-0.122598,-0.00273016,-0.000387825,-0.302849,0.0237565,0.00748572
-0.109578,-0.00584275,0.000378554,-0.292825,0.0159241,0.0080603
-0.0965578,-0.00955421,0.00114493,-0.282802,0.008249,0.00863489
-0.0835379,-0.0114006,0.00191131,-0.272779,0.00111574,0.00920948
