rep,ID,eta_V_simulated,eta_Cl_simulated,split,color,filter
0,1,0.0246298,0.109743,All,#4682B4,0
1,1,0.0640872,0.117735,All,#4682B4,0
2,1,0.0351672,0.239913,All,#4682B4,0
3,1,-0.00157435,0.176843,All,#4682B4,0
4,1,0.225382,0.31875,All,#4682B4,0
5,1,0.101598,0.209271,All,#4682B4,0
6,1,0.0337688,0.207379,All,#4682B4,0
7,1,0.267236,0.375145,All,#4682B4,0
8,1,0.183982,0.208682,All,#4682B4,0
9,1,0.0259173,0.283265,All,#4682B4,0
0,2,-0.126666,0.233563,All,#4682B4,0
1,2,-0.203233,0.150079,All,#4682B4,0
2,2,-0.08904,0.1401,All,#4682B4,0
3,2,-0.282938,0.107146,All,#4682B4,0
4,2,-0.103966,0.25479,All,#4682B4,0
5,2,-0.240248,0.179265,All,#4682B4,0
6,2,-0.155691,0.232134,All,#4682B4,0
7,2,-0.0282791,0.262013,All,#4682B4,0
8,2,-0.11754,0.260158,All,#4682B4,0
9,2,-0.0483616,0.332901,All,#4682B4,0
0,3,0.214194,0.280593,All,#4682B4,0
1,3,0.00561002,0.166317,All,#4682B4,0
2,3,0.22964,0.360065,All,#4682B4,0
3,3,0.0339292,0.2133,All,#4682B4,0
4,3,0.0495943,0.190729,All,#4682B4,0
5,3,-0.137598,0.0705799,All,#4682B4,0
6,3,-0.0175632,0.121163,All,#4682B4,0
7,3,0.176474,0.319573,All,#4682B4,0
8,3,0.0390541,0.222893,All,#4682B4,0
9,3,-0.202193,0.0941826,All,#4682B4,0
0,4,0.0569215,0.0774603,All,#4682B4,0
1,4,-0.102059,-0.106813,All,#4682B4,0
2,4,-0.0264895,-0.0114395,All,#4682B4,0
3,4,-0.0358622,0.0880711,All,#4682B4,0
4,4,-0.0732022,-0.0499623,All,#4682B4,0
5,4,0.0457487,-0.0128363,All,#4682B4,0
6,4,-0.259616,-0.111446,All,#4682B4,0
7,4,-0.106523,-0.0175454,All,#4682B4,0
8,4,0.0774944,0.116586,All,#4682B4,0
9,4,-0.165804,-0.0988699,All,#4682B4,0
0,5,0.163203,-0.0723924,All,#4682B4,0
1,5,-0.00247645,-0.177012,All,#4682B4,0
2,5,0.202628,-0.0657455,All,#4682B4,0
3,5,-0.0111076,-0.167201,All,#4682B4,0
4,5,0.178019,0.0261036,All,#4682B4,0
5,5,-0.0970769,-0.332725,All,#4682B4,0
6,5,-0.210371,-0.302757,All,#4682B4,0
7,5,0.149945,0.0296643,All,#4682B4,0
8,5,-0.00124872,-0.092102,All,#4682B4,0
9,5,-0.128092,-0.229187,All,#4682B4,0
0,6,0.251174,0.0726312,All,#4682B4,0
1,6,-0.119085,0.0211417,All,#4682B4,0
2,6,0.301232,0.133278,All,#4682B4,0
3,6,-0.0660347,-0.0864878,All,#4682B4,0
4,6,0.126777,0.0866377,All,#4682B4,0
5,6,0.175481,0.171457,All,#4682B4,0
6,6,0.0495414,-0.0130079,All,#4682B4,0
7,6,0.212971,0.0807673,All,#4682B4,0
8,6,-0.0353535,0.0328339,All,#4682B4,0
9,6,0.0325286,0.0235537,All,#4682B4,0
0,7,0.611694,-0.352819,All,#4682B4,0
1,7,0.267085,-0.344782,All,#4682B4,0
2,7,0.283815,-0.409273,All,#4682B4,0
3,7,0.231606,-0.498811,All,#4682B4,0
4,7,0.125771,-0.300478,All,#4682B4,0
5,7,0.222817,-0.583499,All,#4682B4,0
6,7,0.354527,-0.357341,All,#4682B4,0
7,7,0.576908,-0.395059,All,#4682B4,0
8,7,0.308473,-0.476308,All,#4682B4,0
9,7,-0.0397902,-0.522375,All,#4682B4,0
0,8,-0.280476,-0.271708,All,#4682B4,0
1,8,-0.188037,-0.181689,All,#4682B4,0
2,8,-0.305941,-0.323254,All,#4682B4,0
3,8,-0.487155,-0.375576,All,#4682B4,0
4,8,-0.27858,-0.182042,All,#4682B4,0
5,8,-0.220566,-0.132338,All,#4682B4,0
6,8,-0.00101159,-0.102289,All,#4682B4,0
7,8,-0.169844,-0.235664,All,#4682B4,0
8,8,-0.17893,-0.219623,All,#4682B4,0
9,8,-0.295653,-0.182562,All,#4682B4,0
0,9,0.101742,0.405334,All,#4682B4,0
1,9,-0.157464,0.286856,All,#4682B4,0
2,9,0.0438694,0.316381,All,#4682B4,0
3,9,-0.030115,0.328103,All,#4682B4,0
4,9,-0.0649975,0.351538,All,#4682B4,0
5,9,-0.143031,0.262246,All,#4682B4,0
6,9,-0.00563559,0.364405,All,#4682B4,0
7,9,-0.300737,0.170935,All,#4682B4,0
8,9,-0.055156,0.300547,All,#4682B4,0
9,9,0.065235,0.375045,All,#4682B4,0
0,10,0.180637,0.303719,All,#4682B4,0
1,10,-0.119387,0.012327,All,#4682B4,0
2,10,0.145628,0.352182,All,#4682B4,0
3,10,0.268999,0.379513,All,#4682B4,0
4,10,-0.00151467,0.226968,All,#4682B4,0
5,10,0.231517,0.288275,All,#4682B4,0
6,10,0.0274513,0.269794,All,#4682B4,0
7,10,0.374139,0.36885,All,#4682B4,0
8,10,-0.0887952,0.1101,All,#4682B4,0
9,10,0.338651,0.408801,All,#4682B4,0
0,11,0.193112,0.066208,All,#4682B4,0
1,11,0.295763,0.0550024,All,#4682B4,0
2,11,-0.106887,-0.00692929,All,#4682B4,0
3,11,0.220361,0.0908635,All,#4682B4,0
4,11,0.229368,0.15974,All,#4682B4,0
5,11,0.161591,0.214645,All,#4682B4,0
6,11,0.308258,0.15575,All,#4682B4,0
7,11,0.165843,0.0225684,All,#4682B4,0
8,11,0.225122,0.0751422,All,#4682B4,0
9,11,0.420666,0.133281,All,#4682B4,0
0,12,-0.30484,-0.079221,All,#4682B4,0
1,12,-0.171278,-0.0216754,All,#4682B4,0
2,12,-0.0652519,0.0911809,All,#4682B4,0
3,12,-0.100274,0.046524,All,#4682B4,0
4,12,-0.114851,0.0578439,All,#4682B4,0
5,12,0.0622929,0.151844,All,#4682B4,0
6,12,-0.0290832,0.087583,All,#4682B4,0
7,12,-0.282063,0.020658,All,#4682B4,0
8,12,0.117655,0.301019,All,#4682B4,0
9,12,-0.011872,0.209731,All,#4682B4,0
0,13,0.644447,-0.0777424,All,#4682B4,0
1,13,0.379166,-0.278603,All,#4682B4,0
2,13,0.271393,-0.0851085,All,#4682B4,0
3,13,0.262462,-0.207139,All,#4682B4,0
4,13,0.490096,-0.145048,All,#4682B4,0
5,13,0.596835,-0.161335,All,#4682B4,0
6,13,0.24637,-0.212848,All,#4682B4,0
7,13,0.298917,-0.185302,All,#4682B4,0
8,13,0.13558,-0.311781,All,#4682B4,0
9,13,0.801816,-0.239481,All,#4682B4,0
0,14,-0.0291025,-0.207747,All,#4682B4,0
1,14,-0.113058,-0.134463,All,#4682B4,0
2,14,-0.124956,-0.216255,All,#4682B4,0
3,14,0.0766429,-0.225752,All,#4682B4,0
4,14,-0.0519298,-0.192896,All,#4682B4,0
5,14,-0.0827467,-0.331554,All,#4682B4,0
6,14,-0.122629,-0.210645,All,#4682B4,0
7,14,-0.0748488,-0.236046,All,#4682B4,0
8,14,-0.205498,-0.195978,All,#4682B4,0
9,14,0.0941213,-0.213379,All,#4682B4,0
0,15,-0.140517,-0.129587,All,#4682B4,0
1,15,-0.248758,-0.126704,All,#4682B4,0
2,15,-0.192854,-0.111506,All,#4682B4,0
3,15,-0.376187,-0.230147,All,#4682B4,0
4,15,-0.334857,-0.146759,All,#4682B4,0
5,15,-0.384922,-0.201662,All,#4682B4,0
6,15,-0.0990871,-0.0734697,All,#4682B4,0
7,15,-0.360145,-0.107263,All,#4682B4,0
8,15,-0.225706,-0.0195248,All,#4682B4,0
9,15,-0.431531,-0.253518,All,#4682B4,0
