trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
92.2,2.25908,2.40143,0.725071,2.25908,2.40143,92.2,3.92418,3.86087,0.725071,3.92418,3.86087,92.2,3.53821,3.34191,0.725071,3.53821,3.34191,92.2,2.88505,2.86858,0.725071,2.88505,2.86858,All
92.8333,2.27201,2.40502,0.730051,2.27201,2.40502,92.8333,3.90263,3.84961,0.730051,3.90263,3.84961,92.8333,3.51583,3.33912,0.730051,3.51583,3.33912,92.8333,2.86594,2.86311,0.730051,2.86594,2.86311,All
93.4667,2.28494,2.40861,0.735032,2.28494,2.40861,93.4667,3.88108,3.83835,0.735032,3.88108,3.83835,93.4667,3.49345,3.33634,0.735032,3.49345,3.33634,93.4667,2.84682,2.85765,0.735032,2.84682,2.85765,All
94.1,2.29788,2.4122,0.740013,2.29788,2.4122,94.1,3.85954,3.82709,0.740013,3.85954,3.82709,94.1,3.47107,3.33355,0.740013,3.47107,3.33355,94.1,2.82771,2.85218,0.740013,2.82771,2.85218,All
94.7333,2.31081,2.41579,0.744993,2.31081,2.41579,94.7333,3.83799,3.81583,0.744993,3.83799,3.81583,94.7333,3.44869,3.33076,0.744993,3.44869,3.33076,94.7333,2.80859,2.84671,0.744993,2.80859,2.84671,All
95.3667,2.32374,2.41938,0.749974,2.32374,2.41938,95.3667,3.81644,3.80457,0.749974,3.81644,3.80457,95.3667,3.42631,3.32797,0.749974,3.42631,3.32797,95.3667,2.78948,2.84124,0.749974,2.78948,2.84124,All
96,2.33668,2.42297,0.754954,2.33668,2.42297,96,3.79489,3.7933,0.754954,3.79489,3.7933,96,3.40393,3.32519,0.754954,3.40393,3.32519,96,2.77036,2.83577,0.754954,2.77036,2.83577,All
96.6333,2.34961,2.42656,0.759935,2.34961,2.42656,96.6333,3.77334,3.78204,0.759935,3.77334,3.78204,96.6333,3.38155,3.3224,0.759935,3.38155,3.3224,96.6333,2.75125,2.83031,0.759935,2.75125,2.83031,All
97.2667,2.36254,2.43015,0.764916,2.36254,2.43015,97.2667,3.75179,3.77078,0.764916,3.75179,3.77078,97.2667,3.35917,3.31961,0.764916,3.35917,3.31961,97.2667,2.73213,2.82484,0.764916,2.73213,2.82484,All
97.9,2.37548,2.43373,0.769896,2.37548,2.43373,97.9,3.73024,3.75952,0.769896,3.73024,3.75952,97.9,3.33679,3.31683,0.769896,3.33679,3.31683,97.9,2.71302,2.81937,0.769896,2.71302,2.81937,All
