rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
0,1,0.289163,-0.415516,0.529583,1.01211,-4.47957e-08,-4.0494e-08,All,#4682B4,0
1,1,0.358506,-0.325847,0.364038,1.2209,8.53977e-09,-8.57564e-08,All,#4682B4,0
2,1,0.378201,-0.434976,0.59938,0.775641,5.60756e-09,6.44067e-08,All,#4682B4,0
3,1,0.284716,-0.79572,0.690292,1.1791,-5.94693e-08,9.98261e-09,All,#4682B4,0
4,1,0.270742,-0.3778,0.440831,0.979342,2.89537e-08,3.18453e-08,All,#4682B4,0
5,1,0.413674,-0.328672,0.397816,0.858211,1.28531e-07,-1.07894e-07,All,#4682B4,0
6,1,0.342128,-0.122502,-0.0105216,1.23764,-1.81742e-08,-5.59776e-08,All,#4682B4,0
7,1,0.281657,-0.152442,0.280259,1.15981,2.65242e-08,4.32479e-09,All,#4682B4,0
8,1,0.342344,-0.261958,0.363676,0.956779,-4.44723e-08,-6.62564e-08,All,#4682B4,0
9,1,0.29546,-0.00460485,0.104438,1.45698,1.37193e-10,1.47532e-08,All,#4682B4,0
0,2,0.251297,-0.0204125,-1.36953,0.0653198,5.44145e-08,5.24439e-08,All,#4682B4,0
1,2,0.191218,-0.019076,-1.11742,0.0681988,-2.62412e-08,-9.55981e-09,All,#4682B4,0
2,2,0.185616,-0.0272893,-1.20038,0.0816273,9.90941e-08,1.2619e-08,All,#4682B4,0
3,2,0.176698,-0.191742,-0.129253,-0.112215,-1.11681e-08,2.77936e-08,All,#4682B4,0
4,2,0.221691,-0.35705,0.243562,0.10818,-5.59361e-08,-5.70586e-08,All,#4682B4,0
5,2,0.158327,-0.179253,-0.152363,-0.109725,6.21076e-08,5.34415e-08,All,#4682B4,0
6,2,0.213002,-0.195193,0.0280577,-0.472015,-2.13746e-09,-3.38359e-08,All,#4682B4,0
7,2,0.219582,-0.103138,-0.249793,-0.362562,-8.25374e-08,2.94089e-08,All,#4682B4,0
8,2,0.216535,-0.156069,-0.485707,-0.517101,3.18832e-08,-1.45029e-08,All,#4682B4,0
9,2,0.18555,-0.0415645,-1.00626,0.227069,-6.29034e-08,1.18423e-07,All,#4682B4,0
0,3,0.319045,0.181836,0.00542739,-0.543385,5.21594e-08,-6.74733e-08,All,#4682B4,0
1,3,0.22519,0.11019,0.38747,0.210801,1.09326e-08,-8.24153e-08,All,#4682B4,0
2,3,0.327603,0.057928,0.756569,-0.44874,-7.46777e-08,4.11894e-08,All,#4682B4,0
3,3,0.299584,0.227511,0.320402,-0.828604,-3.9405e-08,3.59935e-08,All,#4682B4,0
4,3,0.273305,0.11467,0.171232,-0.173714,-6.68782e-08,9.7498e-08,All,#4682B4,0
5,3,0.335036,0.317671,-0.977726,-0.585499,-1.85473e-08,-7.83619e-08,All,#4682B4,0
6,3,0.339254,0.174316,-0.0135992,-0.733973,-4.15225e-08,7.44603e-08,All,#4682B4,0
7,3,0.319566,0.00962607,0.542144,-0.219689,-3.97946e-08,2.76484e-08,All,#4682B4,0
8,3,0.26106,-0.158934,1.47418,-0.0905193,8.75948e-08,8.66396e-08,All,#4682B4,0
9,3,0.249005,0.276735,-0.237625,-0.346832,-5.5731e-08,6.76832e-08,All,#4682B4,0
0,4,-0.046076,-0.324445,0.54832,-0.00361798,9.7254e-09,-6.63542e-10,All,#4682B4,0
1,4,-0.0549281,-0.00724599,-0.612692,-0.40519,-3.15641e-08,8.41891e-08,All,#4682B4,0
2,4,-0.05502,-0.168059,-0.0188012,-0.0745063,1.40519e-08,-9.78105e-08,All,#4682B4,0
3,4,-0.0856551,-0.158909,0.269344,-0.285561,-3.84681e-08,-2.3535e-09,All,#4682B4,0
4,4,-0.120153,0.0247555,-0.668107,-0.123081,-1.0175e-08,7.64537e-08,All,#4682B4,0
5,4,-0.105573,-0.0186968,0.0864385,-0.560067,2.87497e-08,5.51419e-08,All,#4682B4,0
6,4,-0.0483586,-0.300665,0.548493,-0.13043,7.40653e-08,-1.08471e-08,All,#4682B4,0
7,4,-0.11029,-0.334859,0.236791,-0.069652,1.87573e-08,-8.12941e-08,All,#4682B4,0
8,4,-0.077652,-0.0732275,-0.15377,-0.145484,-3.36325e-08,6.80179e-08,All,#4682B4,0
9,4,-0.0257735,0.0500216,-1.11436,-0.94132,-3.31689e-08,-3.26912e-08,All,#4682B4,0
0,5,-0.184025,-0.206558,-1.12365,0.142496,-4.26554e-08,-9.97849e-09,All,#4682B4,0
1,5,-0.146389,-0.226086,-1.07146,-0.230662,-1.37173e-08,7.08677e-08,All,#4682B4,0
2,5,-0.2072,-0.259629,-0.851655,0.249696,6.39093e-10,1.6002e-08,All,#4682B4,0
3,5,-0.180523,-0.243724,-0.973119,0.269041,-8.37494e-08,9.37512e-08,All,#4682B4,0
4,5,-0.161169,-0.147501,-1.38184,1.879,-3.72639e-08,5.67913e-08,All,#4682B4,0
5,5,-0.186958,-0.176289,-1.31328,0.26904,5.85623e-08,3.43203e-08,All,#4682B4,0
6,5,-0.175251,-0.195379,-1.33724,-0.399232,-1.19616e-07,5.68245e-08,All,#4682B4,0
7,5,-0.106925,-0.177353,-1.69137,0.207496,-5.37162e-08,-4.18209e-08,All,#4682B4,0
8,5,-0.147631,-0.199062,-1.16148,0.336455,-1.83822e-08,-2.49733e-08,All,#4682B4,0
9,5,-0.112975,-0.203716,-1.53932,0.113644,4.64123e-08,-3.59123e-08,All,#4682B4,0
0,6,0.119525,0.093749,0.69061,-0.436864,5.31374e-08,-9.6201e-09,All,#4682B4,0
1,6,0.0817889,0.299873,-1.59968,-1.09033,-4.18463e-08,7.32462e-09,All,#4682B4,0
2,6,0.0831533,0.219958,-1.2611,-0.0211476,2.81714e-08,8.24595e-08,All,#4682B4,0
3,6,0.0843535,0.333166,-1.41395,-0.0314132,-4.28159e-08,5.32195e-08,All,#4682B4,0
4,6,0.0654623,0.304822,-1.85757,0.777325,4.62406e-08,-1.01121e-08,All,#4682B4,0
5,6,0.0398897,0.253183,-0.936504,-0.740175,7.09898e-08,5.13277e-08,All,#4682B4,0
