parameter,value
Cl_pop,13.5313550674738
V1_pop,27.3639913861353
beta_V1_ANTU_1,-0.717363016091487
beta_V1_LMP_1,0.290197788756608
beta_V1_logtCLCRMLMIN,-3.15321196879125
beta_V1_logtPROGDL,-2.58509355769533
Q_pop,23.4
beta_Q_LMP_1,0.916323024169735
beta_Q_logtAGEA,1.5331208321546
beta_Q_logtALBGDL,17.5497895553201
beta_Q_logtPROGDL,-17.4302516966489
V2_pop,2.28206886752718
beta_V2_SEXF_1,4.94348166116324
beta_V2_logtHCM,40.6198076670171
beta_V2_logtRAL,0.277040386939231
omega_Cl,0.260855871937636
omega_V1,0.409457052551876
omega_Q,4.59029058632908e-8
omega_V2,6.39065321939314e-8
a,1.34051857790852
b,0.0453961473527457
