iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,23.3171,1,13.5102,36.2175,21.7629,16.4821,1.55381,0.056628,1,0.258693,1.65506,3.51143e-08,0.721032
2,15.2077,1,13.5118,31.2843,21.7629,15.1522,1.62046,0.0516492,1,0.24674,1.56129,3.98402e-08,0.70442
3,13.1225,1,13.4456,33.6124,21.7629,16.6815,1.62051,0.0535609,1,0.262326,1.53567,3.50936e-08,0.651468
4,9.33606,1,13.4436,33.0087,21.7629,16.1527,1.61645,0.0505786,1,0.265225,1.49106,3.44991e-08,0.678967
5,-3.77543,1,13.4491,33.6818,21.7629,16.0364,1.53616,0.0486613,1,0.255472,1.38444,3.54439e-08,0.635281
6,7.03763,1,13.4972,28.7845,21.7629,18.1177,1.55631,0.0527866,1,0.259906,1.41631,3.48244e-08,0.706318
7,6.84958,1,13.5852,30.3423,21.7629,17.7794,1.55628,0.0524744,1,0.263556,1.57234,3.34198e-08,0.669252
8,8.26454,1,13.6296,34.3457,21.7629,16.3208,1.59723,0.0553952,1,0.266688,1.48964,3.27929e-08,0.596503
9,18.6658,1,13.4158,38.7522,21.7629,16.8902,1.64278,0.0590649,1,0.256264,1.52647,3.50212e-08,0.613532
10,11.6083,1,13.5559,31.8277,21.7629,15.5643,1.54166,0.0578291,1,0.26418,1.51887,3.39565e-08,0.64078
11,14.2688,1,13.6141,32.304,21.7629,15.4602,1.68215,0.0526258,1,0.261997,1.62858,3.40308e-08,0.602216
12,15.5665,1,13.682,37.7922,21.7629,16.3784,1.70746,0.0552704,1,0.259927,1.60169,2.96133e-08,0.635869
13,30.2173,1,13.5865,32.7181,21.7629,15.6393,1.70177,0.0612057,1,0.266836,1.62611,3.33869e-08,0.690373
14,28.9692,1,13.3731,33.9104,21.7629,15.6144,1.70175,0.0619513,1,0.254972,1.6272,3.3266e-08,0.683104
15,22.0737,1,13.5528,30.4666,21.7629,16.3111,1.60787,0.0608433,1,0.263519,1.56158,3.28417e-08,0.699415
