trans_V_vs_CLCRMLMIN_abscissa,trans_V_vs_CLCRMLMIN_spline,trans_V_vs_CLCRMLMIN_regression,trans_V_vs_WTKG_abscissa,trans_V_vs_WTKG_spline,trans_V_vs_WTKG_regression,trans_V_vs_log_tCLCR_abscissa,trans_V_vs_log_tCLCR_spline,trans_V_vs_log_tCLCR_regression,trans_V_vs_log_tWT_abscissa,trans_V_vs_log_tWT_spline,trans_V_vs_log_tWT_regression,trans_k_vs_CLCRMLMIN_abscissa,trans_k_vs_CLCRMLMIN_spline,trans_k_vs_CLCRMLMIN_regression,trans_k_vs_WTKG_abscissa,trans_k_vs_WTKG_spline,trans_k_vs_WTKG_regression,trans_k_vs_log_tCLCR_abscissa,trans_k_vs_log_tCLCR_spline,trans_k_vs_log_tCLCR_regression,trans_k_vs_log_tWT_abscissa,trans_k_vs_log_tWT_spline,trans_k_vs_log_tWT_regression,trans_k12_vs_CLCRMLMIN_abscissa,trans_k12_vs_CLCRMLMIN_spline,trans_k12_vs_CLCRMLMIN_regression,trans_k12_vs_WTKG_abscissa,trans_k12_vs_WTKG_spline,trans_k12_vs_WTKG_regression,trans_k12_vs_log_tCLCR_abscissa,trans_k12_vs_log_tCLCR_spline,trans_k12_vs_log_tCLCR_regression,trans_k12_vs_log_tWT_abscissa,trans_k12_vs_log_tWT_spline,trans_k12_vs_log_tWT_regression,trans_k21_vs_CLCRMLMIN_abscissa,trans_k21_vs_CLCRMLMIN_spline,trans_k21_vs_CLCRMLMIN_regression,trans_k21_vs_WTKG_abscissa,trans_k21_vs_WTKG_spline,trans_k21_vs_WTKG_regression,trans_k21_vs_log_tCLCR_abscissa,trans_k21_vs_log_tCLCR_spline,trans_k21_vs_log_tCLCR_regression,trans_k21_vs_log_tWT_abscissa,trans_k21_vs_log_tWT_spline,trans_k21_vs_log_tWT_regression,split
98.5333,3.27174,3.31708,62.1313,3.15091,3.20609,-0.028804,3.34384,3.34671,4.12019,3.11935,3.20461,98.5333,0.49427,0.492615,62.1313,0.700914,0.554825,-0.028804,0.452609,0.471279,4.12019,0.740396,0.551852,98.5333,1.7559,1.43233,62.1313,1.43606,1.1187,-0.028804,1.70335,1.47416,4.12019,1.49257,1.14724,98.5333,2.18135,1.82464,62.1313,1.40284,1.7079,-0.028804,2.15992,1.85705,4.12019,1.31169,1.69797,All
99.1667,3.23878,3.31428,62.4444,3.16609,3.20523,-0.0235634,3.31677,3.34358,4.12446,3.13304,3.20394,99.1667,0.512799,0.495142,62.4444,0.680606,0.557731,-0.0235634,0.467904,0.474003,4.12446,0.722566,0.554505,99.1667,1.78954,1.42479,62.4444,1.40819,1.11717,-0.0235634,1.73,1.46647,4.12446,1.46847,1.14455,99.1667,2.19907,1.8235,62.4444,1.45067,1.71154,-0.0235634,2.17397,1.85536,4.12446,1.35388,1.7016,All
99.8,3.20582,3.31149,62.7576,3.18127,3.20437,-0.0183228,3.2897,3.34044,4.12872,3.14673,3.20327,99.8,0.531328,0.497669,62.7576,0.660298,0.560637,-0.0183228,0.4832,0.476728,4.12872,0.704736,0.557157,99.8,1.82317,1.41725,62.7576,1.38033,1.11565,-0.0183228,1.75665,1.45877,4.12872,1.44437,1.14185,99.8,2.21678,1.82236,62.7576,1.49849,1.71519,-0.0183228,2.18803,1.85368,4.12872,1.39607,1.70523,All
100.433,3.17286,3.30869,63.0707,3.19645,3.2035,-0.0130822,3.26263,3.3373,4.13299,3.16042,3.2026,100.433,0.549857,0.500195,63.0707,0.63999,0.563543,-0.0130822,0.498496,0.479453,4.13299,0.686906,0.55981,100.433,1.85681,1.40971,63.0707,1.35246,1.11413,-0.0130822,1.7833,1.45108,4.13299,1.42027,1.13916,100.433,2.23449,1.82122,63.0707,1.54632,1.71884,-0.0130822,2.20208,1.85199,4.13299,1.43826,1.70886,All
101.067,3.13991,3.30589,63.3838,3.21164,3.20264,-0.00784162,3.23556,3.33417,4.13725,3.17411,3.20192,101.067,0.568386,0.502722,63.3838,0.619683,0.566449,-0.00784162,0.513792,0.482178,4.13725,0.669076,0.562463,101.067,1.89045,1.40217,63.3838,1.32459,1.1126,-0.00784162,1.80995,1.44339,4.13725,1.39617,1.13647,101.067,2.25221,1.82008,63.3838,1.59415,1.72249,-0.00784162,2.21613,1.8503,4.13725,1.48045,1.71249,All
101.7,3.10695,3.3031,63.697,3.22682,3.20178,-0.00260102,3.20849,3.33103,4.14152,3.1878,3.20125,101.7,0.586916,0.505248,63.697,0.599375,0.569355,-0.00260102,0.529087,0.484903,4.14152,0.651246,0.565115,101.7,1.92408,1.39463,63.697,1.29673,1.11108,-0.00260102,1.83659,1.43569,4.14152,1.37206,1.13378,101.7,2.26992,1.81894,63.697,1.64197,1.72614,-0.00260102,2.23019,1.84862,4.14152,1.52264,1.71612,All
102.333,3.07399,3.3003,64.0101,3.242,3.20092,0.00263958,3.18142,3.32789,4.14578,3.2015,3.20058,102.333,0.605445,0.507775,64.0101,0.579067,0.572261,0.00263958,0.544383,0.487628,4.14578,0.633416,0.567768,102.333,1.95772,1.38708,64.0101,1.26886,1.10956,0.00263958,1.86324,1.428,4.14578,1.34796,1.13108,102.333,2.28763,1.81781,64.0101,1.6898,1.72979,0.00263958,2.24424,1.84693,4.14578,1.56483,1.71975,All
102.967,3.04103,3.29751,64.3232,3.25718,3.20006,0.00788018,3.15435,3.32476,4.15005,3.21519,3.19991,102.967,0.623974,0.510301,64.3232,0.55876,0.575168,0.00788018,0.559679,0.490352,4.15005,0.615586,0.570421,102.967,1.99135,1.37954,64.3232,1.24099,1.10804,0.00788018,1.88989,1.4203,4.15005,1.32386,1.12839,102.967,2.30535,1.81667,64.3232,1.73763,1.73344,0.00788018,2.2583,1.84525,4.15005,1.60702,1.72338,All
103.6,3.00807,3.29471,64.6364,3.27237,3.1992,0.0131208,3.12728,3.32162,4.15431,3.22888,3.19923,103.6,0.642503,0.512828,64.6364,0.538452,0.578074,0.0131208,0.574974,0.493077,4.15431,0.597756,0.573073,103.6,2.02499,1.372,64.6364,1.21312,1.10651,0.0131208,1.91654,1.41261,4.15431,1.29976,1.1257,103.6,2.32306,1.81553,64.6364,1.78545,1.73709,0.0131208,2.27235,1.84356,4.15431,1.64921,1.72701,All
104.233,2.99464,3.29191,64.9495,3.28755,3.19834,0.0183614,3.10021,3.31848,4.15858,3.24257,3.19856,104.233,0.652869,0.515355,64.9495,0.518144,0.58098,0.0183614,0.59027,0.495802,4.15858,0.579926,0.575726,104.233,2.0214,1.36446,64.9495,1.18526,1.10499,0.0183614,1.94318,1.40492,4.15858,1.27566,1.12301,104.233,2.30485,1.81439,64.9495,1.83328,1.74074,0.0183614,2.2864,1.84187,4.15858,1.6914,1.73064,All
104.867,3.01468,3.28912,65.2626,3.27513,3.19748,0.023602,3.07314,3.31534,4.16284,3.25626,3.19789,104.867,0.64924,0.517881,65.2626,0.51478,0.583886,0.023602,0.605566,0.498527,4.16284,0.562096,0.578379,104.867,1.954,1.35692,65.2626,1.12051,1.10347,0.023602,1.96983,1.39722,4.16284,1.25156,1.12031,104.867,2.22507,1.81325,65.2626,1.83168,1.74439,0.023602,2.30046,1.84019,4.16284,1.73359,1.73427,All
105.5,3.03472,3.28632,65.5758,3.2574,3.19661,0.0288426,3.04607,3.31221,4.16711,3.26995,3.19722,105.5,0.645612,0.520408,65.5758,0.514674,0.586792,0.0288426,0.620862,0.501252,4.16711,0.544266,0.581031,105.5,1.8866,1.34938,65.5758,1.04867,1.10194,0.0288426,1.99648,1.38953,4.16711,1.22745,1.11762,105.5,2.14529,1.81211,65.5758,1.82057,1.74804,0.0288426,2.31451,1.8385,4.16711,1.77578,1.7379,All
106.133,3.05476,3.28352,65.8889,3.23968,3.19575,0.0340832,3.019,3.30907,4.17138,3.28364,3.19654,106.133,0.641983,0.522934,65.8889,0.514568,0.589698,0.0340832,0.636157,0.503977,4.17138,0.526436,0.583684,106.133,1.8192,1.34183,65.8889,0.976827,1.10042,0.0340832,2.02313,1.38183,4.17138,1.20335,1.11493,106.133,2.06551,1.81098,65.8889,1.80946,1.75169,0.0340832,2.32857,1.83682,4.17138,1.81797,1.74153,All
106.767,3.0748,3.28073,66.202,3.22195,3.19489,0.0393238,2.99281,3.30593,4.17564,3.28802,3.19587,106.767,0.638355,0.525461,66.202,0.514462,0.592604,0.0393238,0.651092,0.506701,4.17564,0.514166,0.586337,106.767,1.7518,1.33429,66.202,0.904986,1.0989,0.0393238,2.04806,1.37414,4.17564,1.16675,1.11224,106.767,1.98573,1.80984,66.202,1.79836,1.75534,0.0393238,2.34094,1.83513,4.17564,1.84393,1.74516,All
107.4,3.09484,3.27793,66.5152,3.20423,3.19403,0.0445644,3.01046,3.3028,4.17991,3.27001,3.1952,107.4,0.634726,0.527987,66.5152,0.514356,0.59551,0.0445644,0.648013,0.509426,4.17991,0.51525,0.588989,107.4,1.6844,1.32675,66.5152,0.833146,1.09738,0.0445644,1.98738,1.36645,4.17991,1.10012,1.10954,107.4,1.90595,1.8087,66.5152,1.78725,1.75899,0.0445644,2.26942,1.83344,4.17991,1.8309,1.74879,All
108.033,3.11488,3.27513,66.8283,3.1865,3.19317,0.049805,3.02811,3.29966,4.18417,3.252,3.19453,108.033,0.631098,0.530514,66.8283,0.51425,0.598417,0.049805,0.644934,0.512151,4.18417,0.516335,0.591642,108.033,1.617,1.31921,66.8283,0.761305,1.09585,0.049805,1.9267,1.35875,4.18417,1.03349,1.10685,108.033,1.82617,1.80756,66.8283,1.77614,1.76263,0.049805,2.19791,1.83176,4.18417,1.81788,1.75242,All
108.667,3.13492,3.27234,67.1414,3.1669,3.19231,0.0550456,3.04576,3.29652,4.18844,3.234,3.19385,108.667,0.627469,0.53304,67.1414,0.523986,0.601323,0.0550456,0.641856,0.514876,4.18844,0.51742,0.594295,108.667,1.5496,1.31167,67.1414,0.709703,1.09433,0.0550456,1.86602,1.35106,4.18844,0.966866,1.10416,108.667,1.74639,1.80642,67.1414,1.76636,1.76628,0.0550456,2.1264,1.83007,4.18844,1.80485,1.75605,All
109.3,3.15496,3.26954,67.4545,3.145,3.19145,0.0602862,3.06341,3.29339,4.1927,3.21599,3.19318,109.3,0.623841,0.535567,67.4545,0.545672,0.604229,0.0602862,0.638777,0.517601,4.1927,0.518504,0.596948,109.3,1.4822,1.30413,67.4545,0.682676,1.09281,0.0602862,1.80534,1.34336,4.1927,0.900238,1.10147,109.3,1.66661,1.80528,67.4545,1.7582,1.76993,0.0602862,2.05488,1.82839,4.1927,1.79182,1.75968,All
109.933,3.175,3.26674,67.7677,3.12311,3.19059,0.0655268,3.08106,3.29025,4.19697,3.19798,3.19251,109.933,0.620212,0.538094,67.7677,0.567358,0.607135,0.0655268,0.635699,0.520326,4.19697,0.519589,0.5996,109.933,1.4148,1.29658,67.7677,0.655649,1.09128,0.0655268,1.74467,1.33567,4.19697,0.83361,1.09877,109.933,1.58683,1.80415,67.7677,1.75003,1.77358,0.0655268,1.98337,1.8267,4.19697,1.7788,1.76331,All
110.567,3.19504,3.26395,68.0808,3.10707,3.18973,0.0707674,3.09871,3.28711,4.20123,3.17998,3.19184,110.567,0.616584,0.54062,68.0808,0.589394,0.610041,0.0707674,0.63262,0.523051,4.20123,0.520674,0.602253,110.567,1.3474,1.28904,68.0808,0.645862,1.08976,0.0707674,1.68399,1.32798,4.20123,0.766982,1.09608,110.567,1.50705,1.80301,68.0808,1.75592,1.77723,0.0707674,1.91185,1.82501,4.20123,1.76577,1.76694,All
