trans_V_vs_CLCRMLMIN_abscissa,trans_V_vs_CLCRMLMIN_spline,trans_V_vs_CLCRMLMIN_regression,trans_V_vs_WTKG_abscissa,trans_V_vs_WTKG_spline,trans_V_vs_WTKG_regression,trans_V_vs_log_tCLCR_abscissa,trans_V_vs_log_tCLCR_spline,trans_V_vs_log_tCLCR_regression,trans_V_vs_log_tWT_abscissa,trans_V_vs_log_tWT_spline,trans_V_vs_log_tWT_regression,trans_k_vs_CLCRMLMIN_abscissa,trans_k_vs_CLCRMLMIN_spline,trans_k_vs_CLCRMLMIN_regression,trans_k_vs_WTKG_abscissa,trans_k_vs_WTKG_spline,trans_k_vs_WTKG_regression,trans_k_vs_log_tCLCR_abscissa,trans_k_vs_log_tCLCR_spline,trans_k_vs_log_tCLCR_regression,trans_k_vs_log_tWT_abscissa,trans_k_vs_log_tWT_spline,trans_k_vs_log_tWT_regression,trans_k12_vs_CLCRMLMIN_abscissa,trans_k12_vs_CLCRMLMIN_spline,trans_k12_vs_CLCRMLMIN_regression,trans_k12_vs_WTKG_abscissa,trans_k12_vs_WTKG_spline,trans_k12_vs_WTKG_regression,trans_k12_vs_log_tCLCR_abscissa,trans_k12_vs_log_tCLCR_spline,trans_k12_vs_log_tCLCR_regression,trans_k12_vs_log_tWT_abscissa,trans_k12_vs_log_tWT_spline,trans_k12_vs_log_tWT_regression,trans_k21_vs_CLCRMLMIN_abscissa,trans_k21_vs_CLCRMLMIN_spline,trans_k21_vs_CLCRMLMIN_regression,trans_k21_vs_WTKG_abscissa,trans_k21_vs_WTKG_spline,trans_k21_vs_WTKG_regression,trans_k21_vs_log_tCLCR_abscissa,trans_k21_vs_log_tCLCR_spline,trans_k21_vs_log_tCLCR_regression,trans_k21_vs_log_tWT_abscissa,trans_k21_vs_log_tWT_spline,trans_k21_vs_log_tWT_regression,split
117.533,3.33346,3.23319,71.5253,3.15538,3.18025,0.128414,3.27081,3.25261,4.24815,3.121,3.18444,117.533,0.462612,0.568412,71.5253,0.712634,0.642009,0.128414,0.56222,0.553024,4.24815,0.728026,0.631432,117.533,0.630253,1.20608,71.5253,0.907139,1.07301,0.128414,1.01405,1.24334,4.24815,0.893924,1.06647,117.533,1.64358,1.79049,71.5253,2.06357,1.81737,0.128414,1.43013,1.80647,4.24815,2.05656,1.80687,All
118.167,3.34412,3.23039,71.8384,3.16435,3.17939,0.133655,3.2808,3.24947,4.25242,3.12902,3.18377,118.167,0.445929,0.570939,71.8384,0.708945,0.644915,0.133655,0.546449,0.555749,4.25242,0.725928,0.634085,118.167,0.565629,1.19854,71.8384,0.910731,1.07149,0.133655,0.952503,1.23565,4.25242,0.897773,1.06377,118.167,1.67987,1.78935,71.8384,2.06846,1.82102,0.133655,1.46455,1.80478,4.25242,2.06273,1.8105,All
118.8,3.32696,3.22759,72.1515,3.17332,3.17853,0.138895,3.29079,3.24633,4.25668,3.13744,3.1831,118.8,0.480186,0.573466,72.1515,0.705255,0.647821,0.138895,0.530679,0.558473,4.25668,0.721843,0.636738,118.8,0.629259,1.191,72.1515,0.914322,1.06996,0.138895,0.890961,1.22795,4.25668,0.898511,1.06108,118.8,1.64784,1.78821,72.1515,2.07335,1.82467,0.138895,1.49897,1.8031,4.25668,2.0653,1.81413,All
119.433,3.30239,3.2248,72.4646,3.18228,3.17767,0.144136,3.30078,3.2432,4.26095,3.14586,3.18242,119.433,0.528026,0.575992,72.4646,0.701565,0.650727,0.144136,0.514908,0.561198,4.26095,0.717758,0.63939,119.433,0.727089,1.18346,72.4646,0.917914,1.06844,0.144136,0.829419,1.22026,4.26095,0.899248,1.05839,119.433,1.59758,1.78707,72.4646,2.07824,1.82832,0.144136,1.53339,1.80141,4.26095,2.06786,1.81776,All
120.067,3.27445,3.222,72.7778,3.19125,3.17681,0.149376,3.31077,3.24006,4.26521,3.15428,3.18175,120.067,0.579337,0.578519,72.7778,0.697875,0.653633,0.149376,0.499137,0.563923,4.26521,0.713674,0.642043,120.067,0.848155,1.17592,72.7778,0.921505,1.06692,0.149376,0.767877,1.21257,4.26521,0.899985,1.0557,120.067,1.55213,1.78593,72.7778,2.08313,1.83197,0.149376,1.56781,1.79972,4.26521,2.07043,1.82138,All
120.7,3.24611,3.2192,73.0909,3.20022,3.17595,0.154617,3.32077,3.23692,4.26948,3.1627,3.18108,120.7,0.631056,0.581045,73.0909,0.694186,0.656539,0.154617,0.483367,0.566648,4.26948,0.709589,0.644696,120.7,0.971955,1.16838,73.0909,0.925097,1.06539,0.154617,0.706335,1.20487,4.26948,0.900723,1.053,120.7,1.50724,1.78479,73.0909,2.08802,1.83562,0.154617,1.60223,1.79804,4.26948,2.07299,1.82501,All
121.333,3.21777,3.21641,73.404,3.20919,3.17508,0.159858,3.33076,3.23379,4.27374,3.17112,3.18041,121.333,0.682775,0.583572,73.404,0.690496,0.659446,0.159858,0.467596,0.569373,4.27374,0.705504,0.647348,121.333,1.09575,1.16083,73.404,0.928688,1.06387,0.159858,0.644792,1.19718,4.27374,0.90146,1.05031,121.333,1.46235,1.78366,73.404,2.09291,1.83927,0.159858,1.63665,1.79635,4.27374,2.07556,1.82864,All
121.967,3.19991,3.21361,73.7172,3.21815,3.17422,0.165098,3.34075,3.23065,4.27801,3.17954,3.17973,121.967,0.705424,0.586098,73.7172,0.686806,0.662352,0.165098,0.451825,0.572098,4.27801,0.701419,0.650001,121.967,1.17502,1.15329,73.7172,0.93228,1.06235,0.165098,0.58325,1.18948,4.27801,0.902197,1.04762,121.967,1.47839,1.78252,73.7172,2.0978,1.84292,0.165098,1.67107,1.79467,4.27801,2.07813,1.83227,All
122.6,3.19538,3.21082,74.0303,3.22461,3.17336,0.170339,3.33548,3.22751,4.28228,3.18796,3.17906,122.6,0.68937,0.588625,74.0303,0.679289,0.665258,0.170339,0.464035,0.574822,4.28228,0.697335,0.652654,122.6,1.18012,1.14575,74.0303,0.92031,1.06083,0.170339,0.591083,1.18179,4.28228,0.902934,1.04493,122.6,1.56218,1.78138,74.0303,2.08768,1.84657,0.170339,1.66764,1.79298,4.28228,2.08069,1.8359,All
123.233,3.19086,3.20802,74.3434,3.2076,3.1725,0.175579,3.31049,3.22438,4.28654,3.19639,3.17839,123.233,0.673316,0.591152,74.3434,0.636046,0.668164,0.175579,0.51243,0.577547,4.28654,0.69325,0.655306,123.233,1.18523,1.13821,74.3434,0.763096,1.0593,0.175579,0.688633,1.1741,4.28654,0.903672,1.04223,123.233,1.64597,1.78024,74.3434,1.93745,1.85022,0.175579,1.61528,1.79129,4.28654,2.08326,1.83953,All
123.867,3.18634,3.20522,74.6566,3.19059,3.17164,0.18082,3.28392,3.22124,4.29081,3.20481,3.17772,123.867,0.657263,0.593678,74.6566,0.592803,0.67107,0.18082,0.562085,0.580272,4.29081,0.689165,0.657959,123.867,1.19033,1.13067,74.6566,0.605883,1.05778,0.18082,0.79832,1.1664,4.29081,0.904409,1.03954,123.867,1.72976,1.7791,74.6566,1.78721,1.85387,0.18082,1.5675,1.78961,4.29081,2.08582,1.84316,All
124.5,3.18181,3.20243,74.9697,3.17358,3.17078,0.186061,3.25581,3.2181,4.29507,3.21323,3.17704,124.5,0.641209,0.596205,74.9697,0.54956,0.673976,0.186061,0.612951,0.582997,4.29507,0.68508,0.660612,124.5,1.19544,1.12313,74.9697,0.448669,1.05626,0.186061,0.919658,1.15871,4.29507,0.905146,1.03685,124.5,1.81355,1.77796,74.9697,1.63698,1.85752,0.186061,1.52412,1.78792,4.29507,2.08839,1.84679,All
125.133,3.17729,3.19963,75.2828,3.1863,3.16992,0.191301,3.22771,3.21497,4.29934,3.22165,3.17637,125.133,0.625155,0.598731,75.2828,0.556694,0.676882,0.191301,0.663817,0.585722,4.29934,0.680996,0.663264,125.133,1.20054,1.11558,75.2828,0.467505,1.05473,0.191301,1.041,1.15101,4.29934,0.905883,1.03416,125.133,1.89734,1.77682,75.2828,1.63421,1.86117,0.191301,1.48075,1.78623,4.29934,2.09095,1.85042,All
125.767,3.17276,3.19683,75.596,3.20221,3.16906,0.196542,3.20311,3.21183,4.3036,3.23007,3.1757,125.767,0.609102,0.601258,75.596,0.569225,0.679789,0.196542,0.7055,0.588447,4.3036,0.676911,0.665917,125.767,1.20565,1.10804,75.596,0.505203,1.05321,0.196542,1.15212,1.14332,4.3036,0.906621,1.03146,125.767,1.98113,1.77569,75.596,1.64724,1.86481,0.196542,1.45995,1.78455,4.3036,2.09352,1.85405,All
126.4,3.16824,3.19404,75.9091,3.21811,3.1682,0.201782,3.19622,3.20869,4.30787,3.21329,3.17503,126.4,0.593048,0.603784,75.9091,0.581757,0.682695,0.201782,0.695261,0.591172,4.30787,0.641147,0.66857,126.4,1.21075,1.1005,75.9091,0.542901,1.05169,0.201782,1.17006,1.13563,4.30787,0.772141,1.02877,126.4,2.06492,1.77455,75.9091,1.66027,1.86846,0.201782,1.5354,1.78286,4.30787,1.96312,1.85768,All
127.033,3.16371,3.19124,76.2222,3.23402,3.16733,0.207023,3.19141,3.20555,4.31213,3.19345,3.17436,127.033,0.576994,0.606311,76.2222,0.594288,0.685601,0.207023,0.678773,0.593896,4.31213,0.601527,0.671223,127.033,1.21586,1.09296,76.2222,0.580598,1.05017,0.207023,1.17588,1.12793,4.31213,0.621207,1.02608,127.033,2.14871,1.77341,76.2222,1.6733,1.87211,0.207023,1.62161,1.78118,4.31213,1.81655,1.86131,All
127.667,3.15919,3.18844,76.5354,3.24992,3.16647,0.212264,3.1866,3.20242,4.3164,3.1736,3.17368,127.667,0.560941,0.608838,76.5354,0.60682,0.688507,0.212264,0.662286,0.596621,4.3164,0.561908,0.673875,127.667,1.22096,1.08542,76.5354,0.618296,1.04864,0.212264,1.18169,1.12024,4.3164,0.470274,1.02339,127.667,2.2325,1.77227,76.5354,1.68633,1.87576,0.212264,1.70782,1.77949,4.3164,1.66997,1.86494,All
128.3,3.15466,3.18565,76.8485,3.26583,3.16561,0.217504,3.18179,3.19928,4.32066,3.18132,3.17301,128.3,0.544887,0.611364,76.8485,0.619351,0.691413,0.217504,0.645798,0.599346,4.32066,0.560874,0.676528,128.3,1.22607,1.07788,76.8485,0.655994,1.04712,0.217504,1.18751,1.11254,4.32066,0.459672,1.0207,128.3,2.31629,1.77113,76.8485,1.69936,1.87941,0.217504,1.79403,1.7778,4.32066,1.64202,1.86857,All
128.933,3.15014,3.18285,77.1616,3.28173,3.16475,0.222745,3.17697,3.19614,4.32493,3.19849,3.17234,128.933,0.528833,0.613891,77.1616,0.631883,0.694319,0.222745,0.629311,0.602071,4.32493,0.573077,0.679181,128.933,1.23117,1.07033,77.1616,0.693692,1.0456,0.222745,1.19332,1.10485,4.32493,0.497219,1.018,128.933,2.40008,1.76999,77.1616,1.7124,1.88306,0.222745,1.88024,1.77612,4.32493,1.65477,1.8722,All
129.567,3.13343,3.18005,77.4747,3.29764,3.16389,0.227985,3.17216,3.19301,4.32919,3.21567,3.17167,129.567,0.53183,0.616417,77.4747,0.644414,0.697225,0.227985,0.612823,0.604796,4.32919,0.585281,0.681833,129.567,1.19547,1.06279,77.4747,0.73139,1.04407,0.227985,1.19914,1.09716,4.32919,0.534765,1.01531,129.567,2.37062,1.76886,77.4747,1.72543,1.88671,0.227985,1.96646,1.77443,4.32919,1.66752,1.87583,All
130.2,3.11529,3.17726,77.7879,3.31354,3.16303,0.233226,3.16735,3.18987,4.33346,3.23284,3.17099,130.2,0.537068,0.618944,77.7879,0.656946,0.700132,0.233226,0.596336,0.607521,4.33346,0.597484,0.684486,130.2,1.15496,1.05525,77.7879,0.769088,1.04255,0.233226,1.20495,1.08946,4.33346,0.572312,1.01262,130.2,2.32782,1.76772,77.7879,1.73846,1.89036,0.233226,2.05267,1.77275,4.33346,1.68027,1.87946,All
130.833,3.09716,3.17446,78.101,3.32167,3.16217,0.238467,3.16254,3.18673,4.33773,3.25001,3.17032,130.833,0.542306,0.62147,78.101,0.667519,0.703038,0.238467,0.579848,0.610245,4.33773,0.609688,0.687139,130.833,1.11445,1.04771,78.101,0.802549,1.04103,0.238467,1.21077,1.08177,4.33773,0.609858,1.00993,130.833,2.28503,1.76658,78.101,1.74966,1.89401,0.238467,2.13888,1.77106,4.33773,1.69302,1.88309,All
131.467,3.07902,3.17167,78.4141,3.31348,3.16131,0.243707,3.15772,3.1836,4.34199,3.26719,3.16965,131.467,0.547543,0.623997,78.4141,0.67398,0.705944,0.243707,0.563361,0.61297,4.34199,0.621892,0.689791,131.467,1.07394,1.04017,78.4141,0.827112,1.03951,0.243707,1.21659,1.07407,4.34199,0.647405,1.00723,131.467,2.24224,1.76544,78.4141,1.75701,1.89766,0.243707,2.22509,1.76937,4.34199,1.70577,1.88672,All
132.1,3.06088,3.16887,78.7273,3.30529,3.16044,0.248948,3.15291,3.18046,4.34626,3.28436,3.16898,132.1,0.552781,0.626524,78.7273,0.680441,0.70885,0.248948,0.546873,0.615695,4.34626,0.634095,0.692444,132.1,1.03344,1.03263,78.7273,0.851676,1.03798,0.248948,1.2224,1.06638,4.34626,0.684951,1.00454,132.1,2.19945,1.7643,78.7273,1.76435,1.90131,0.248948,2.3113,1.76769,4.34626,1.71852,1.89035,All
132.733,3.04275,3.16607,79.0404,3.29709,3.15958,0.254188,3.1481,3.17732,4.35052,3.30153,3.1683,132.733,0.558019,0.62905,79.0404,0.686902,0.711756,0.254188,0.530386,0.61842,4.35052,0.646299,0.695097,132.733,0.992928,1.02508,79.0404,0.876239,1.03646,0.254188,1.22822,1.05869,4.35052,0.722498,1.00185,132.733,2.15666,1.76316,79.0404,1.7717,1.90496,0.254188,2.39751,1.766,4.35052,1.73127,1.89398,All
133.367,3.02461,3.16328,79.3535,3.2889,3.15872,0.259429,3.1294,3.17419,4.35479,3.3187,3.16763,133.367,0.563257,0.631577,79.3535,0.693362,0.714662,0.259429,0.534257,0.621145,4.35479,0.658503,0.697749,133.367,0.952421,1.01754,79.3535,0.900802,1.03494,0.259429,1.18818,1.05099,4.35479,0.760044,0.999156,133.367,2.11386,1.76203,79.3535,1.77905,1.90861,0.259429,2.36248,1.76432,4.35479,1.74401,1.89761,All
134,3.00647,3.16048,79.6667,3.28071,3.15786,0.26467,3.10939,3.17105,4.35905,3.32137,3.16696,134,0.568495,0.634103,79.6667,0.699823,0.717568,0.26467,0.540057,0.62387,4.35905,0.667912,0.700402,134,0.911914,1.01,79.6667,0.925366,1.03341,0.26467,1.14379,1.0433,4.35905,0.792172,0.996464,134,2.07107,1.76089,79.6667,1.7864,1.91226,0.26467,2.31594,1.76263,4.35905,1.75425,1.90124,All
134.633,2.98833,3.15768,79.9798,3.27251,3.157,0.26991,3.08938,3.16791,4.36332,3.31213,3.16629,134.633,0.573733,0.63663,79.9798,0.706284,0.720475,0.26991,0.545857,0.626594,4.36332,0.675031,0.703055,134.633,0.871406,1.00246,79.9798,0.949929,1.03189,0.26991,1.09941,1.0356,4.36332,0.819856,0.993771,134.633,2.02828,1.75975,79.9798,1.79375,1.91591,0.26991,2.26941,1.76094,4.36332,1.76244,1.90487,All
135.267,2.9702,3.15489,80.2929,3.26432,3.15614,0.275151,3.06937,3.16478,4.36758,3.30289,3.16561,135.267,0.578971,0.639156,80.2929,0.712745,0.723381,0.275151,0.551658,0.629319,4.36758,0.682149,0.705707,135.267,0.830899,0.994917,80.2929,0.974493,1.03037,0.275151,1.05502,1.02791,4.36758,0.84754,0.991079,135.267,1.98549,1.75861,80.2929,1.8011,1.91955,0.275151,2.22288,1.75926,4.36758,1.77062,1.9085,All
135.9,2.95206,3.15209,80.6061,3.25613,3.15528,0.280391,3.04936,3.16164,4.37185,3.29365,3.16494,135.9,0.584209,0.641683,80.6061,0.719206,0.726287,0.280391,0.557458,0.632044,4.37185,0.689268,0.70836,135.9,0.790391,0.987376,80.6061,0.999056,1.02885,0.280391,1.01064,1.02022,4.37185,0.875224,0.988387,135.9,1.94269,1.75747,80.6061,1.80845,1.9232,0.280391,2.17635,1.75757,4.37185,1.7788,1.91213,All
136.533,2.92756,3.14929,80.9192,3.24793,3.15442,0.285632,3.02935,3.1585,4.37611,3.28441,3.16427,136.533,0.636175,0.64421,80.9192,0.725667,0.729193,0.285632,0.563258,0.634769,4.37611,0.696386,0.711013,136.533,0.835878,0.979834,80.9192,1.02362,1.02732,0.285632,0.966249,1.01252,4.37611,0.902908,0.985694,136.533,1.80964,1.75633,80.9192,1.8158,1.92685,0.285632,2.12982,1.75589,4.37611,1.78698,1.91576,All
137.167,2.90187,3.1465,81.2323,3.23974,3.15355,0.290873,3.00934,3.15536,4.38038,3.27517,3.1636,137.167,0.696903,0.646736,81.2323,0.732128,0.732099,0.290873,0.569059,0.637494,4.38038,0.703505,0.713665,137.167,0.897489,0.972292,81.2323,1.04818,1.0258,0.290873,0.921864,1.00483,4.38038,0.930592,0.983002,137.167,1.65966,1.7552,81.2323,1.82315,1.9305,0.290873,2.08329,1.7542,4.38038,1.79516,1.91939,All
137.8,2.87618,3.1437,81.5455,3.23155,3.15269,0.296113,2.98933,3.15223,4.38464,3.26593,3.16292,137.8,0.757631,0.649263,81.5455,0.738589,0.735005,0.296113,0.574859,0.640219,4.38464,0.710623,0.716318,137.8,0.9591,0.964751,81.5455,1.07275,1.02428,0.296113,0.877478,0.997134,4.38464,0.958276,0.980309,137.8,1.50968,1.75406,81.5455,1.8305,1.93415,0.296113,2.03676,1.75251,4.38464,1.80335,1.92302,All
138.433,3.0046,3.1409,81.8586,3.22335,3.15183,0.301354,2.96932,3.14909,4.38891,3.25669,3.16225,138.433,0.737482,0.651789,81.8586,0.74505,0.737911,0.301354,0.580659,0.642943,4.38891,0.717742,0.718971,138.433,1.15307,0.957209,81.8586,1.09731,1.02275,0.301354,0.833092,0.98944,4.38891,0.98596,0.977617,138.433,1.60779,1.75292,81.8586,1.83784,1.9378,0.301354,1.99022,1.75083,4.38891,1.81153,1.92665,All
139.067,3.29937,3.13811,82.1717,3.21516,3.15097,0.306595,2.94931,3.14595,4.39318,3.24745,3.16158,139.067,0.60799,0.654316,82.1717,0.751511,0.740817,0.306595,0.58646,0.645668,4.39318,0.72486,0.721623,139.067,1.42592,0.949667,82.1717,1.12187,1.02123,0.306595,0.788707,0.981746,4.39318,1.01364,0.974925,139.067,1.99878,1.75178,82.1717,1.84519,1.94145,0.306595,1.94369,1.74914,4.39318,1.81971,1.93028,All
139.7,3.27926,3.13531,82.4848,3.20697,3.15011,0.311835,2.92216,3.14282,4.39744,3.23821,3.16091,139.7,0.611958,0.656842,82.4848,0.757972,0.743724,0.311835,0.644103,0.648393,4.39744,0.731979,0.724276,139.7,1.28976,0.942126,82.4848,1.14644,1.01971,0.311835,0.839586,0.974052,4.39744,1.04133,0.972232,139.7,1.9144,1.75064,82.4848,1.85254,1.9451,0.311835,1.79298,1.74746,4.39744,1.82789,1.93391,All
140.333,3.25915,3.13251,82.798,3.19877,3.14925,0.317076,2.89355,3.13968,4.40171,3.22897,3.16023,140.333,0.615927,0.659369,82.798,0.764433,0.74663,0.317076,0.712354,0.651118,4.40171,0.739097,0.726929,140.333,1.15361,0.934584,82.798,1.171,1.01819,0.317076,0.909959,0.966358,4.40171,1.06901,0.96954,140.333,1.83003,1.7495,82.798,1.85989,1.94875,0.317076,1.62095,1.74577,4.40171,1.83607,1.93754,All
140.967,3.23904,3.12972,83.1111,3.19058,3.14839,0.322316,2.90309,3.13654,4.40597,3.21973,3.15956,140.967,0.619895,0.661896,83.1111,0.770894,0.749536,0.322316,0.760721,0.653843,4.40597,0.746216,0.729581,140.967,1.01745,0.927042,83.1111,1.19556,1.01666,0.322316,1.01325,0.958664,4.40597,1.0967,0.966847,140.967,1.74565,1.74837,83.1111,1.86724,1.9524,0.322316,1.51066,1.74408,4.40597,1.84426,1.94117,All
141.6,3.21893,3.12692,83.4242,3.18239,3.14753,0.327557,3.08327,3.13341,4.41024,3.21049,3.15889,141.6,0.623863,0.664422,83.4242,0.777355,0.752442,0.327557,0.720169,0.656568,4.41024,0.753334,0.732234,141.6,0.881294,0.919501,83.4242,1.22013,1.01514,0.327557,1.26378,0.95097,4.41024,1.12438,0.964155,141.6,1.66128,1.74723,83.4242,1.87459,1.95605,0.327557,1.6765,1.7424,4.41024,1.85244,1.9448,All
142.233,3.19882,3.12413,83.7374,3.17419,3.14667,0.332798,3.28288,3.13027,4.4145,3.20125,3.15822,142.233,0.627832,0.666949,83.7374,0.783815,0.755348,0.332798,0.612584,0.659293,4.4145,0.760452,0.734887,142.233,0.745138,0.911959,83.7374,1.24469,1.01362,0.332798,1.33393,0.943276,4.4145,1.15206,0.961463,142.233,1.5769,1.74609,83.7374,1.88194,1.9597,0.332798,1.93886,1.74071,4.4145,1.86062,1.94843,All
142.867,3.17871,3.12133,84.0505,3.166,3.1458,0.338038,3.25951,3.12713,4.41877,3.19201,3.15755,142.867,0.6318,0.669475,84.0505,0.790276,0.758254,0.338038,0.617026,0.662017,4.41877,0.767571,0.73754,142.867,0.608982,0.904417,84.0505,1.26925,1.01209,0.338038,1.17508,0.935582,4.41877,1.17975,0.95877,142.867,1.49253,1.74495,84.0505,1.88929,1.96335,0.338038,1.83985,1.73903,4.41877,1.8688,1.95206,All
143.5,3.1586,3.11853,84.3636,3.15781,3.14494,0.343279,3.23614,3.124,4.42303,3.18277,3.15687,143.5,0.635768,0.672002,84.3636,0.796737,0.76116,0.343279,0.621468,0.664742,4.42303,0.774689,0.740192,143.5,0.472826,0.896875,84.3636,1.29382,1.01057,0.343279,1.01623,0.927888,4.42303,1.20743,0.956078,143.5,1.40815,1.74381,84.3636,1.89664,1.967,0.343279,1.74083,1.73734,4.42303,1.87698,1.95569,All
144.133,3.15644,3.11574,84.6768,3.14961,3.14408,0.348519,3.21277,3.12086,4.4273,3.17353,3.1562,144.133,0.637423,0.674528,84.6768,0.803198,0.764067,0.348519,0.62591,0.667467,4.4273,0.781808,0.742845,144.133,0.43838,0.889334,84.6768,1.31838,1.00905,0.348519,0.857382,0.920194,4.4273,1.23512,0.953385,144.133,1.40528,1.74267,84.6768,1.90399,1.97064,0.348519,1.64182,1.73565,4.4273,1.88517,1.95932,All
144.767,3.16256,3.11294,84.9899,3.14142,3.14322,0.35376,3.1894,3.11772,4.43156,3.16429,3.15553,144.767,0.638011,0.677055,84.9899,0.809659,0.766973,0.35376,0.630351,0.670192,4.43156,0.788926,0.745498,144.767,0.450877,0.881792,84.9899,1.34294,1.00753,0.35376,0.698533,0.9125,4.43156,1.2628,0.950693,144.767,1.44002,1.74154,84.9899,1.91134,1.97429,0.35376,1.5428,1.73397,4.43156,1.89335,1.96295,All
145.4,3.16869,3.11014,85.303,3.13323,3.14236,0.359001,3.16603,3.11459,4.43583,3.15505,3.15486,145.4,0.638598,0.679582,85.303,0.81612,0.769879,0.359001,0.634793,0.672917,4.43583,0.796045,0.74815,145.4,0.463373,0.87425,85.303,1.36751,1.006,0.359001,0.539685,0.904806,4.43583,1.29048,0.948001,145.4,1.47477,1.7404,85.303,1.91868,1.97794,0.359001,1.44379,1.73228,4.43583,1.90153,1.96658,All
146.033,3.17482,3.10735,85.6162,3.12504,3.1415,0.364241,3.15264,3.11145,4.44009,3.14581,3.15418,146.033,0.639186,0.682108,85.6162,0.822581,0.772785,0.364241,0.63799,0.675642,4.44009,0.803163,0.750803,146.033,0.47587,0.866709,85.6162,1.39207,1.00448,0.364241,0.437031,0.897112,4.44009,1.31817,0.945308,146.033,1.50951,1.73926,85.6162,1.92603,1.98159,0.364241,1.39033,1.7306,4.44009,1.90971,1.97021,All
146.667,3.18094,3.10455,85.9293,3.11684,3.14064,0.369482,3.16033,3.10831,4.44436,3.13657,3.15351,146.667,0.639773,0.684635,85.9293,0.829042,0.775691,0.369482,0.638558,0.678366,4.44436,0.810282,0.753456,146.667,0.488367,0.859167,85.9293,1.41664,1.00296,0.369482,0.453109,0.889418,4.44436,1.34585,0.942616,146.667,1.54425,1.73812,85.9293,1.93338,1.98524,0.369482,1.43312,1.72891,4.44436,1.91789,1.97384,All
147.3,3.18707,3.10175,86.2424,3.10865,3.13978,0.374722,3.16802,3.10518,4.44863,3.12734,3.15284,147.3,0.640361,0.687161,86.2424,0.835503,0.778597,0.374722,0.639125,0.681091,4.44863,0.8174,0.756108,147.3,0.500864,0.851625,86.2424,1.4412,1.00143,0.374722,0.469188,0.881724,4.44863,1.37353,0.939923,147.3,1.57899,1.73698,86.2424,1.94073,1.98889,0.374722,1.47591,1.72722,4.44863,1.92607,1.97747,All
147.933,3.19319,3.09896,86.5556,3.10046,3.13891,0.379963,3.17571,3.10204,4.45289,3.1181,3.15217,147.933,0.640948,0.689688,86.5556,0.841964,0.781503,0.379963,0.639692,0.683816,4.45289,0.824519,0.758761,147.933,0.51336,0.844084,86.5556,1.46576,0.999911,0.379963,0.485267,0.87403,4.45289,1.40122,0.937231,147.933,1.61374,1.73584,86.5556,1.94808,1.99254,0.379963,1.5187,1.72554,4.45289,1.93426,1.9811,All
148.567,3.19932,3.09616,86.8687,3.09226,3.13805,0.385204,3.1834,3.0989,4.45716,3.10886,3.15149,148.567,0.641535,0.692214,86.8687,0.848425,0.78441,0.385204,0.64026,0.686541,4.45716,0.831637,0.761414,148.567,0.525857,0.836542,86.8687,1.49033,0.998389,0.385204,0.501346,0.866336,4.45716,1.4289,0.934539,148.567,1.64848,1.73471,86.8687,1.95543,1.99619,0.385204,1.56148,1.72385,4.45716,1.94244,1.98473,All
149.2,3.20545,3.09336,87.1818,3.08407,3.13719,0.390444,3.19109,3.09576,4.46142,3.09962,3.15082,149.2,0.642123,0.694741,87.1818,0.854886,0.787316,0.390444,0.640827,0.689266,4.46142,0.838756,0.764066,149.2,0.538354,0.829,87.1818,1.51489,0.996866,0.390444,0.517424,0.858642,4.46142,1.45659,0.931846,149.2,1.68322,1.73357,87.1818,1.96278,1.99984,0.390444,1.60427,1.72217,4.46142,1.95062,1.98836,All
149.833,3.21157,3.09057,87.4949,3.07588,3.13633,0.395685,3.19879,3.09263,4.46569,3.09038,3.15015,149.833,0.64271,0.697267,87.4949,0.861347,0.790222,0.395685,0.641395,0.691991,4.46569,0.845874,0.766719,149.833,0.550851,0.821459,87.4949,1.53945,0.995343,0.395685,0.533503,0.850948,4.46569,1.48427,0.929154,149.833,1.71796,1.73243,87.4949,1.97013,2.00349,0.395685,1.64706,1.72048,4.46569,1.9588,1.99199,All
150.467,3.2177,3.08777,87.8081,3.06768,3.13547,0.400925,3.20648,3.08949,4.46995,3.08114,3.14948,150.467,0.643298,0.699794,87.8081,0.867808,0.793128,0.400925,0.641962,0.694715,4.46995,0.852993,0.769372,150.467,0.563348,0.813917,87.8081,1.56402,0.99382,0.400925,0.549582,0.843254,4.46995,1.51195,0.926461,150.467,1.75271,1.73129,87.8081,1.97748,2.00714,0.400925,1.68985,1.71879,4.46995,1.96698,1.99562,All
151.1,3.22382,3.08498,88.1212,3.05949,3.13461,0.406166,3.21417,3.08635,4.47422,3.0719,3.1488,151.1,0.643885,0.702321,88.1212,0.874268,0.796034,0.406166,0.642529,0.69744,4.47422,0.860111,0.772024,151.1,0.575844,0.806375,88.1212,1.58858,0.992297,0.406166,0.565661,0.83556,4.47422,1.53964,0.923769,151.1,1.78745,1.73015,88.1212,1.98483,2.01079,0.406166,1.73264,1.71711,4.47422,1.97517,1.99925,All
151.733,3.22995,3.08218,88.4343,3.0513,3.13375,0.411407,3.22186,3.08322,4.47848,3.06266,3.14813,151.733,0.644473,0.704847,88.4343,0.880729,0.79894,0.411407,0.643097,0.700165,4.47848,0.867229,0.774677,151.733,0.588341,0.798834,88.4343,1.61314,0.990774,0.411407,0.58174,0.827866,4.47848,1.56732,0.921077,151.733,1.82219,1.72901,88.4343,1.99218,2.01444,0.411407,1.77543,1.71542,4.47848,1.98335,2.00288,All
