rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
0,1,1.68301,0.0205324,-1.04084,1.10013,0.789543,0.970202,0
1,1,1.74866,-1.29742,-0.458047,-0.879279,1.28951,-0.587446,0
2,1,1.69702,0.483829,0.299437,-0.143712,1.05485,0.221931,0
3,1,1.60817,0.14022,-0.882114,0.938911,1.229,-0.338638,0
4,1,1.88012,0.962781,0.459933,0.621651,1.09098,0.28156,0
5,1,1.32597,0.744548,0.999569,0.902749,0.863616,0.818829,0
6,1,1.84378,-0.538717,1.15303,-1.28856,1.16233,0.303698,0
7,1,2.1501,-0.804838,-0.0782599,0.226818,1.34756,-1.3499,0
8,1,1.83165,0.0669799,0.974398,0.262043,1.0621,-0.661223,0
9,1,1.7931,1.61181,-0.0670584,-0.0943991,1.13152,-1.36454,0
0,2,0.986272,-0.223827,0.540936,0.259481,-0.313217,1.03607,0
1,2,0.668775,1.15058,0.424737,2.5702,-0.836032,0.525488,0
2,2,0.602506,1.8344,0.503172,0.0396762,-0.687357,-0.258795,0
3,2,0.612713,1.24301,0.259458,1.4537,-0.474893,0.75987,0
4,2,0.604055,0.855298,-1.6467,0.182732,-0.635688,-1.01297,0
5,2,0.501101,0.457428,1.24212,-0.441909,-0.714514,0.697362,0
6,2,1.05702,-0.389893,-1.79974,-0.967565,-0.266369,-0.103605,0
7,2,0.704752,1.56331,1.96098,0.959663,-0.866495,-0.0154333,0
8,2,0.891212,0.96181,-0.334304,-0.597211,-0.60003,0.241874,0
9,2,0.796347,0.037779,1.33986,-1.77114,-0.736374,0.156491,0
0,3,0.712202,2.09447,2.63131,1.12901,-0.632066,-1.55908,0
1,3,0.574837,1.53801,-0.272677,-2.50047,-0.588452,0.584102,0
2,3,0.595029,-1.46255,0.241189,-0.138694,-0.483732,1.22654,0
3,3,0.654292,-0.0322068,1.6846,0.154878,-0.28835,1.71001,0
4,3,1.19798,-0.617284,0.727785,1.05952,0.0679627,0.137976,0
5,3,0.510472,0.0829064,0.0834079,-0.255235,-0.251543,-1.19829,0
6,3,0.8658,1.90968,-0.564813,-0.327327,-0.248266,-0.888924,0
7,3,1.12439,-0.0947073,-0.378658,0.537926,0.00978958,0.591669,0
8,3,0.980691,-0.897273,-0.949907,-1.53525,0.0982914,0.927013,0
9,3,0.314952,1.54942,0.154138,-0.726436,-0.167143,-0.566288,0
0,4,-0.14757,-0.714446,-0.0855927,-0.438935,-0.139638,-1.17096,0
1,4,-0.70386,-0.262734,1.01204,-0.544838,-1.47845,0.22069,0
2,4,-0.341702,-0.597533,-0.933229,-0.202436,-0.349823,1.64456,0
3,4,-0.393103,-1.34114,0.93279,2.21365,-2.01643,0.767118,0
4,4,-0.555961,0.231897,0.465165,-0.158696,-1.05537,-1.18273,0
5,4,-0.411897,0.17644,-2.63783,-1.26094,-0.833609,0.623112,0
6,4,-0.323614,-0.868677,-1.10096,1.88671,-1.87734,-2.42646,0
7,4,-0.729976,-0.178711,0.298924,2.79905,-1.98051,1.17266,0
8,4,-0.641423,0.10009,2.22361,-0.22421,-1.66217,0.133613,0
9,4,-0.268701,-0.521621,1.96891,1.45807,-0.241888,0.466023,0
0,5,-0.79544,0.742169,0.878266,-1.46805,0.396883,0.929286,0
1,5,-0.597958,0.17523,0.0717916,0.895872,0.270538,0.732845,0
2,5,-0.316489,0.916244,0.360622,-0.614495,0.526143,-0.0717933,0
3,5,-0.558039,1.34332,1.19806,-1.5359,0.145598,-1.41443,0
4,5,-0.866285,-1.27473,1.13654,-0.62317,-0.0758895,1.4456,0
5,5,-0.286477,-0.135155,0.190441,0.630173,0.196991,-1.88866,0
6,5,-0.162235,0.285975,-1.01711,1.08074,0.459999,0.754071,0
7,5,-0.72867,0.969876,0.197295,-0.749066,0.376984,0.956325,0
8,5,-0.298814,-0.432409,-1.08144,0.503344,0.457605,-0.416031,0
9,5,-0.90266,-0.177202,0.119326,-0.0076493,-0.395327,-0.383211,0
0,6,0.119622,-0.675125,0.718599,-0.211675,0.246553,0.464344,0
1,6,0.337859,-1.00438,-0.0247449,-0.648606,0.486846,1.95755,0
2,6,0.212209,0.0555319,1.411,0.190691,0.577915,0.935974,0
3,6,0.466507,2.08655,1.14596,0.488913,0.522271,2.24574,0
4,6,0.117489,-1.97532,-0.745813,0.609856,0.591937,1.49796,0
5,6,-0.0445614,0.390927,0.172883,-0.570056,0.536841,-0.210725,0
6,6,0.121072,0.125473,1.13345,-0.603061,0.593384,-1.99225,0
7,6,0.371422,1.97264,1.43934,-0.18446,0.728049,-0.974949,0
8,6,0.517699,1.23048,1.70647,-0.766879,0.441666,-0.875493,0
9,6,0.628563,-0.0138444,-0.798529,-2.90404,0.544809,0.66791,0
0,7,-2.15491,-0.812054,-0.560838,1.19065,2.02481,0.247687,0
1,7,-1.83871,2.14189,0.27149,-2.20033,1.24869,-0.165344,0
2,7,-1.88319,0.392377,-0.0936056,2.18313,1.44412,-0.256397,0
3,7,-1.7335,0.121135,-0.930245,0.129243,2.22237,-1.06786,0
4,7,-1.73909,-1.53082,-0.403844,0.0407832,1.51305,-0.202583,0
5,7,-1.82975,0.21553,-0.661221,-0.761396,1.07392,0.362297,0
6,7,-1.66194,-0.827133,0.171594,1.09883,1.30745,0.0652544,0
7,7,-2.21895,-0.419438,1.01037,-1.15083,1.55828,-0.549462,0
8,7,-2.04577,-0.117311,0.672095,0.728585,1.63972,1.22426,0
9,7,-1.70553,-0.379847,0.465125,1.02175,1.88133,-0.507175,0
0,8,-0.973086,0.505398,0.981322,0.528098,-0.859673,1.46885,0
1,8,-0.835108,0.382084,-0.228111,1.12372,-1.40258,0.231224,0
2,8,-1.21948,0.359701,-1.7448,-1.75569,-0.645694,-0.0128462,0
3,8,-0.93276,0.0595853,0.590459,-0.159825,-0.442027,1.42475,0
4,8,-1.08449,1.12944,-0.260335,2.0007,-0.786324,2.10985,0
5,8,-1.27294,-1.448,0.437388,-0.961228,-0.555254,-0.293956,0
6,8,-0.759411,-0.92702,-0.244491,0.427906,-1.86213,0.989562,0
7,8,-1.02121,-0.0274764,1.30859,0.748683,-1.54027,1.63482,0
8,8,-1.55206,0.842,1.5028,-0.99341,-1.44059,-1.33305,0
9,8,-1.53195,0.588357,-0.309158,0.627771,-0.345769,-1.84487,0
0,9,1.37445,-2.44778,-0.331239,-0.124453,-0.535628,-0.5663,0
1,9,1.1299,-0.51497,0.395247,1.70265,-0.857558,-0.219531,0
