parameter,value,mean
V1_pop,31.8960790517165,31.812234103946434
V1_pop,33.8387483160018,31.812234103946434
V1_pop,33.7527481582102,31.812234103946434
V1_pop,37.3466459004767,31.812234103946434
V1_pop,30.6563255197761,31.812234103946434
V1_pop,30.4935358043604,31.812234103946434
V1_pop,30.3796610490749,31.812234103946434
V1_pop,35.9777655717664,31.812234103946434
V1_pop,27.1091566068613,31.812234103946434
V1_pop,37.2797668806272,31.812234103946434
V1_pop,50.2308865175607,31.812234103946434
V1_pop,26.4456048045238,31.812234103946434
V1_pop,31.7087402286535,31.812234103946434
V1_pop,34.4966522785529,31.812234103946434
V1_pop,29.697806970025,31.812234103946434
V1_pop,27.9324864901518,31.812234103946434
V1_pop,45.6403633065746,31.812234103946434
V1_pop,29.6779639899845,31.812234103946434
V1_pop,33.6320060987344,31.812234103946434
V1_pop,27.3489939634396,31.812234103946434
V1_pop,29.398034320354,31.812234103946434
V1_pop,26.9007403807585,31.812234103946434
V1_pop,28.7702322826059,31.812234103946434
V1_pop,30.8360721564282,31.812234103946434
V1_pop,31.0837238351877,31.812234103946434
V1_pop,30.9228625386954,31.812234103946434
V1_pop,30.1805829951519,31.812234103946434
V1_pop,28.2660155569599,31.812234103946434
V1_pop,34.182988036916,31.812234103946434
V1_pop,28.89111624178,31.812234103946434
V1_pop,35.173644579402,31.812234103946434
V1_pop,36.0047967127184,31.812234103946434
V1_pop,26.4755312109819,31.812234103946434
V1_pop,25.17973086393,31.812234103946434
V1_pop,29.9858310729665,31.812234103946434
V1_pop,38.8366062200735,31.812234103946434
V1_pop,37.4134862679944,31.812234103946434
V1_pop,30.7046918890725,31.812234103946434
V1_pop,35.1697895003803,31.812234103946434
V1_pop,33.3191733818889,31.812234103946434
V1_pop,24.6401499997039,31.812234103946434
V1_pop,37.4875190272232,31.812234103946434
V1_pop,35.3309580176658,31.812234103946434
V1_pop,40.0611017193446,31.812234103946434
V1_pop,26.5921783720146,31.812234103946434
V1_pop,27.4986193932099,31.812234103946434
V1_pop,21.7206880793839,31.812234103946434
V1_pop,36.8136049364367,31.812234103946434
V1_pop,33.4913345737019,31.812234103946434
V1_pop,25.6763892096609,31.812234103946434
V1_pop,22.613050724877,31.812234103946434
V1_pop,25.3076988552663,31.812234103946434
V1_pop,29.2686520055717,31.812234103946434
