iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,360.318,1,19.9867,27.069,20.5526,1,-0.367397,1,1,1,1
2,333.973,1,9.87412,27.6291,29.5575,0.974679,0.30081,0.974679,0.974679,0.974679,0.992722
3,327.155,1,7.78571,27.3722,28.0954,0.95,0.625228,0.95,0.976513,0.95,0.967585
4,322.227,1,23.2421,30.9442,29.9964,0.925945,-0.522505,0.925945,1.00038,0.925945,0.943085
5,320.421,1,10.8848,29.7266,34.2743,0.9025,0.223451,0.9025,1.0217,0.9025,0.919206
6,310.496,1,14.7392,26.1625,39.7736,0.879648,0.00990594,0.879648,1.06082,0.879648,0.895931
7,303.069,1,24.6425,25.1068,41.8339,0.857375,-0.554103,0.857375,1.1303,0.857375,0.873246
8,300.637,1,27.2932,27.9217,45.536,0.835666,-0.608109,0.835666,1.10168,0.835666,0.965433
9,295.883,1,12.1641,28.9955,39.9093,0.814506,0.19318,0.814506,1.07973,0.814506,0.945548
10,296.395,1,14.101,23.599,31.7243,0.793882,-0.0557321,0.793882,1.24317,0.793882,0.921606
11,300.384,1,16.1951,24.2569,33.248,0.773781,-0.330239,0.773781,1.31336,0.773781,0.97031
12,291.003,1,12.4874,24.7639,30.8241,0.754188,0.0517159,0.754188,1.28011,0.781884,0.945741
13,274.461,1,13.165,21.9939,24.0754,0.735092,0.0331114,0.735092,1.24769,0.762087,0.921794
14,266.942,1,13.1402,23.2067,26.3143,0.716479,0.0862173,0.716479,1.455,0.74279,0.898454
15,265.655,1,11.5404,26.8844,28.5409,0.698337,0.234079,0.698337,1.41816,0.723982,0.875704
16,260.384,1,14.2947,29.7202,24.9633,0.680655,-0.0159364,0.680655,1.38225,0.705651,0.873293
17,260.154,1,11.5033,26.1272,25.2305,0.66342,0.215439,0.66342,1.38237,0.701444,0.864178
18,250.633,1,12.6709,23.5231,23.0409,0.646622,0.0861666,0.646622,1.34737,0.683683,0.922561
19,243.783,1,10.1325,29.1055,22.0735,0.630249,0.377708,0.630249,1.31326,0.666372,0.926891
20,245.666,1,7.10406,31.272,20.9238,0.614291,0.724824,0.614291,1.35477,0.649499,0.960608
21,228.665,1,14.0726,31.6084,18.8579,0.598737,0.0911548,0.598737,1.35199,0.633054,0.936285
