standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-1.83008,0.00666667,-2.40952,0.00666667,-2.82242,0.00666667,-2.92969,0.00666667,All
-1.78218,0.0133333,-1.91586,0.0133333,-2.14635,0.0133333,-2.18089,0.0133333,All
-1.76723,0.02,-1.85832,0.02,-2.0023,0.02,-2.13205,0.02,All
-1.73097,0.0266667,-1.77672,0.0266667,-1.86531,0.0266667,-1.8276,0.0266667,All
-1.71607,0.0333333,-1.70592,0.0333333,-1.81401,0.0333333,-1.77331,0.0333333,All
-1.70365,0.04,-1.67795,0.04,-1.78649,0.04,-1.71892,0.04,All
-1.63137,0.0466667,-1.67781,0.0466667,-1.7444,0.0466667,-1.64901,0.0466667,All
-1.59664,0.0533333,-1.65225,0.0533333,-1.7427,0.0533333,-1.60707,0.0533333,All
-1.58146,0.06,-1.6451,0.06,-1.69868,0.06,-1.5777,0.06,All
-1.53355,0.0666667,-1.39767,0.0666667,-1.63838,0.0666667,-1.56412,0.0666667,All
-1.52658,0.0733333,-1.36615,0.0733333,-1.51529,0.0733333,-1.54923,0.0733333,All
-1.52011,0.08,-1.27907,0.08,-1.48974,0.08,-1.36868,0.08,All
-1.35092,0.0866667,-1.25841,0.0866667,-1.47723,0.0866667,-1.34895,0.0866667,All
-1.33371,0.0933333,-1.22835,0.0933333,-1.42001,0.0933333,-1.32443,0.0933333,All
-1.31967,0.1,-1.20076,0.1,-1.40628,0.1,-1.31214,0.1,All
-1.29789,0.106667,-1.19776,0.106667,-1.26734,0.106667,-1.26341,0.106667,All
-1.27835,0.113333,-1.19142,0.113333,-1.16143,0.113333,-1.26319,0.113333,All
-1.27461,0.12,-1.07942,0.12,-1.09807,0.12,-1.24171,0.12,All
-1.26667,0.126667,-1.04837,0.126667,-1.0969,0.126667,-1.22179,0.126667,All
-1.26109,0.133333,-0.82991,0.133333,-1.05164,0.133333,-1.17128,0.133333,All
-1.23721,0.14,-0.80822,0.14,-1.04653,0.14,-1.12807,0.14,All
-1.23703,0.146667,-0.79931,0.146667,-1.04107,0.146667,-1.12373,0.146667,All
-1.22637,0.153333,-0.764262,0.153333,-1.01803,0.153333,-1.07518,0.153333,All
-1.19982,0.16,-0.76106,0.16,-0.993614,0.16,-1.01913,0.16,All
-1.17677,0.166667,-0.751684,0.166667,-0.976411,0.166667,-0.977942,0.166667,All
-1.16488,0.173333,-0.75029,0.173333,-0.96928,0.173333,-0.977709,0.173333,All
-1.15758,0.18,-0.745491,0.18,-0.922836,0.18,-0.962653,0.18,All
-1.15273,0.186667,-0.745287,0.186667,-0.90824,0.186667,-0.914652,0.186667,All
-1.12091,0.193333,-0.738816,0.193333,-0.907858,0.193333,-0.879708,0.193333,All
-1.1088,0.2,-0.731998,0.2,-0.885867,0.2,-0.86366,0.2,All
-1.1054,0.206667,-0.710184,0.206667,-0.867907,0.206667,-0.82834,0.206667,All
