Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.71614,0.0667681,13.7801,0.0189523,20.451,0.0183208,4.73179,0.0625863,All
9.6839,0.118699,16.4318,0.0270747,56.8956,0.00787989,10.4675,0.0388035,All
10.6517,0.133536,19.0836,0.0379046,93.3402,0.00236397,16.2031,0.0225311,All
11.6194,0.148373,21.7353,0.0947615,129.785,0.000590992,21.9388,0.0100138,All
12.5872,0.0519307,24.387,0.0568569,166.229,0,27.6745,0.0112655,All
13.5549,0.0519307,27.0387,0.0433195,202.674,0,33.4101,0.0125173,All
14.5227,0.0890241,29.6905,0.046027,239.119,0.000196997,39.1458,0.00500691,All
15.4905,0.0593494,32.3422,0.0406121,275.563,0,44.8815,0.0100138,All
16.4582,0.0890241,34.9939,0.0162448,312.008,0,50.6171,0.00751036,All
17.426,0.11128,37.6457,0.00541494,348.452,0,56.3528,0.00375518,All
18.3937,0.0890241,40.2974,0.00270747,384.897,0,62.0885,0.00250345,All
19.3615,0.0519307,42.9491,0.00270747,421.342,0,67.8241,0,All
20.3292,0.0519307,45.6009,0.0135374,457.786,0.000196997,73.5598,0.00125173,All
