iteration,convergenceIndicator,phase,Km_logit_pop,V_logit_pop,Vm_logit_pop,a_,omega_Km_logit,omega_V_logit,omega_Vm_logit
1,506.951,1,1,10,1,3,1,1,1
2,505.842,1,0.997637,9.71808,1.5445,2.92404,1.06594,0.974679,1.11552
3,501.637,1,1.05165,9.05624,1.95272,2.85,1.14604,0.95,1.08728
4,502.538,1,1.12674,9.59682,2.1006,2.77784,1.26728,0.925945,1.05975
5,492.777,1,1.18632,9.75303,2.28823,2.7075,1.39915,0.9025,1.03291
6,487.811,1,1.08478,9.80047,2.05461,2.63894,1.36372,0.879648,1.00676
7,480.061,1,1.34295,11.0092,1.68578,2.57212,1.32919,0.857375,0.981267
8,481.174,1,1.70464,11.8396,1.81425,2.507,1.3876,0.835666,0.956421
9,473.196,1,2.31801,11.1455,2.10178,2.44352,1.35246,0.814506,0.983689
10,463.81,1,2.68763,10.2874,2.6089,2.38165,1.37393,0.793882,0.958781
11,467.519,1,2.11244,11.0368,2.54803,2.32134,1.55101,0.773781,0.934504
12,467.122,1,2.60449,9.73712,2.55182,2.26257,1.55268,0.754188,1.01541
13,451.296,1,4.07083,10.3298,2.48361,2.20528,1.5224,0.735092,0.989702
14,453.112,1,5.00884,10.8426,2.45943,2.14944,1.48385,0.716479,0.964642
15,450.823,1,4.30371,10.7382,1.91919,2.09501,1.59107,0.698337,0.940217
16,452.265,1,3.19568,10.4587,2.00853,2.04197,1.77479,0.680655,0.91641
17,450.25,1,3.50718,10.5547,1.83875,1.99026,1.72985,0.66342,0.929726
18,437.845,1,3.55071,11.5779,1.60621,1.93987,1.68605,0.646622,0.906184
19,445.431,1,2.44567,10.6326,1.47248,1.89075,1.70557,0.630249,0.938506
20,440.244,1,3.24345,10.2041,1.4116,1.84287,1.70223,0.614291,1.00842
21,441.763,1,2.90892,10.0835,1.18204,1.79621,1.95588,0.598737,1.02805
22,432.74,1,2.04479,10.4755,1.10479,1.75073,1.91689,0.583577,1.01297
23,434.454,1,2.60268,10.8816,1.06227,1.7064,2.04189,0.569666,0.987318
24,430.788,1,2.01002,9.70917,1.0476,1.66319,1.99019,0.555241,1.06223
25,422.603,1,2.31076,10.4574,1.04278,1.62108,1.96832,0.541182,1.03533
26,419.179,1,1.69656,10.409,0.949149,1.58003,1.91848,0.527479,1.00912
27,418.297,1,1.49954,10.3907,0.995375,1.54003,1.96068,0.514123,1.03663
28,413.432,1,1.31837,10.2854,0.949798,1.50103,1.91103,0.501105,1.15993
29,417.81,1,0.955682,10.6395,1.03587,1.46302,2.02525,0.488417,1.15719
30,416.527,1,0.92554,10.2768,1.12131,1.42598,2.03915,0.47605,1.18581
31,410.156,1,1.11885,10.283,1.19997,1.38987,1.98752,0.463996,1.15578
32,410.774,1,0.793588,10.452,0.995242,1.35468,1.93719,0.452248,1.24519
33,405.856,1,0.98705,9.99858,0.938202,1.32038,1.88814,0.440796,1.21367
34,401.801,1,1.23189,9.56112,1.03774,1.28695,1.84033,0.447933,1.18293
35,394.604,1,1.43508,10.3428,1.11235,1.25436,1.79373,0.436591,1.15298
36,400.486,1,1.66694,10.5113,1.06819,1.2226,1.74831,0.449762,1.15312
37,398.063,1,1.73641,9.98665,1.16321,1.19164,1.70405,0.438374,1.15389
38,389.517,1,1.50291,9.92016,0.921609,1.16147,1.6609,0.434658,1.12467
39,394.591,1,2.63188,9.4653,0.980887,1.13206,1.61884,0.437762,1.15069
40,397.189,1,2.31613,10.3721,1.08717,1.10547,1.57785,0.473407,1.25946
41,401.518,1,2.17583,10.0238,0.972858,1.10609,1.86342,0.46142,1.2832
42,406.829,1,1.23579,10.0818,0.990727,1.12397,1.96562,0.476434,1.25071
43,400.286,1,1.59706,10.5701,1.1745,1.11692,1.91585,0.478845,1.21904
44,399.72,1,1.24239,9.90634,1.4069,1.09107,1.86734,0.476591,1.1933
45,400.302,1,0.778237,9.39343,1.72542,1.10386,1.84576,0.464524,1.21342
