standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.77735,0.158128,-2.1341,0.0498144,-2.98665,0.0295669,-2.39013,0.020372,All
-1.45953,0.406615,-1.70173,0.0498144,-2.50101,0.0147835,-2.03771,0.142604,All
-1.14171,0.112949,-1.26936,0.149443,-2.01536,0.0739173,-1.68529,0.0814878,All
-0.823888,0.0903589,-0.836982,0.348701,-1.52972,0.177402,-1.33287,0.183348,All
-0.506067,0.700281,-0.404607,0.581168,-1.04408,0.192185,-0.980448,0.244463,All
-0.188246,0.338846,0.027767,0.514749,-0.558434,0.206968,-0.628028,0.407439,All
0.129575,0.0903589,0.460141,0.249072,-0.0727908,0.399154,-0.275608,0.448183,All
0.447395,0.293666,0.892516,0.282282,0.412852,0.473071,0.0768126,0.468555,All
0.765216,0.406615,1.32489,0.0996288,0.898495,0.38437,0.429233,0.244463,All
1.08304,0.384025,1.75726,0.0664192,1.38414,0.192185,0.781653,0.162976,All
1.40086,0.248487,2.18964,0.0332096,1.86978,0.0295669,1.13407,0.244463,All
1.71868,0.112949,2.62201,0.0498144,2.35542,0.0295669,1.48649,0.285207,All
2.0365,0.0451795,3.05439,0.0166048,2.84107,0.0147835,1.83891,0.122232,All
