standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-1.93626,0.00666667,-2.35029,0.00666667,-3.22947,0.00666667,-2.56634,0.00666667,All
-1.87294,0.0133333,-2.32584,0.0133333,-2.85152,0.0133333,-2.16949,0.0133333,All
-1.79611,0.02,-1.96681,0.02,-2.39314,0.02,-2.09421,0.02,All
-1.77414,0.0266667,-1.81857,0.0266667,-2.14088,0.0266667,-2.07625,0.0266667,All
-1.73837,0.0333333,-1.62228,0.0333333,-2.09619,0.0333333,-2.06733,0.0333333,All
-1.72763,0.04,-1.61536,0.04,-2.08044,0.04,-1.94044,0.04,All
-1.69202,0.0466667,-1.44523,0.0466667,-1.90295,0.0466667,-1.92284,0.0466667,All
-1.61729,0.0533333,-1.36933,0.0533333,-1.85236,0.0533333,-1.87959,0.0533333,All
-1.61189,0.06,-1.33777,0.06,-1.74966,0.06,-1.82967,0.06,All
-1.58557,0.0666667,-1.3279,0.0666667,-1.73581,0.0666667,-1.78336,0.0666667,All
-1.56089,0.0733333,-1.25415,0.0733333,-1.67184,0.0733333,-1.71744,0.0733333,All
-1.55246,0.08,-1.2382,0.08,-1.61937,0.08,-1.7034,0.08,All
-1.51385,0.0866667,-1.22183,0.0866667,-1.6001,0.0866667,-1.43539,0.0866667,All
-1.50942,0.0933333,-1.13705,0.0933333,-1.55212,0.0933333,-1.39109,0.0933333,All
-1.46669,0.1,-1.13165,0.1,-1.50197,0.1,-1.32205,0.1,All
-1.43863,0.106667,-1.03358,0.106667,-1.49522,0.106667,-1.30696,0.106667,All
-1.42213,0.113333,-0.981527,0.113333,-1.48249,0.113333,-1.29548,0.113333,All
-1.40071,0.12,-0.911534,0.12,-1.48059,0.12,-1.25049,0.12,All
-1.39879,0.126667,-0.891757,0.126667,-1.43296,0.126667,-1.20488,0.126667,All
-1.39304,0.133333,-0.889882,0.133333,-1.31548,0.133333,-1.18659,0.133333,All
-1.37916,0.14,-0.865312,0.14,-1.21303,0.14,-1.16573,0.14,All
-1.33147,0.146667,-0.825329,0.146667,-1.1316,0.146667,-1.15537,0.146667,All
-1.33123,0.153333,-0.817588,0.153333,-1.12666,0.153333,-1.13825,0.153333,All
-1.31626,0.16,-0.811772,0.16,-1.0965,0.16,-1.09313,0.16,All
-1.3086,0.166667,-0.792417,0.166667,-1.09501,0.166667,-1.08138,0.166667,All
-1.30004,0.173333,-0.771673,0.173333,-1.05633,0.173333,-1.06874,0.173333,All
-1.28269,0.18,-0.758856,0.18,-1.05073,0.18,-1.05119,0.18,All
-1.24575,0.186667,-0.750724,0.186667,-1.00436,0.186667,-1.04324,0.186667,All
-1.24269,0.193333,-0.743004,0.193333,-0.931415,0.193333,-1.01522,0.193333,All
-1.10019,0.2,-0.741078,0.2,-0.930756,0.2,-0.969935,0.2,All
-0.82495,0.206667,-0.73859,0.206667,-0.906745,0.206667,-0.846713,0.206667,All
-0.716161,0.213333,-0.735519,0.213333,-0.882134,0.213333,-0.815472,0.213333,All
-0.691982,0.22,-0.731685,0.22,-0.858258,0.22,-0.811312,0.22,All
-0.666093,0.226667,-0.711592,0.226667,-0.745969,0.226667,-0.794808,0.226667,All
-0.661374,0.233333,-0.694837,0.233333,-0.725164,0.233333,-0.79432,0.233333,All
-0.632824,0.24,-0.691429,0.24,-0.721109,0.24,-0.790677,0.24,All
-0.619494,0.246667,-0.609121,0.246667,-0.675584,0.246667,-0.789969,0.246667,All
-0.589174,0.253333,-0.603295,0.253333,-0.652122,0.253333,-0.768757,0.253333,All
-0.587812,0.26,-0.576898,0.26,-0.63838,0.26,-0.764803,0.26,All
-0.579025,0.266667,-0.565413,0.266667,-0.635653,0.266667,-0.747457,0.266667,All
-0.557985,0.273333,-0.555699,0.273333,-0.63184,0.273333,-0.730522,0.273333,All
-0.549068,0.28,-0.537025,0.28,-0.537756,0.28,-0.713856,0.28,All
-0.535459,0.286667,-0.517843,0.286667,-0.530551,0.286667,-0.683677,0.286667,All
-0.535036,0.293333,-0.516503,0.293333,-0.440813,0.293333,-0.682642,0.293333,All
-0.529079,0.3,-0.508179,0.3,-0.423409,0.3,-0.630566,0.3,All
-0.499568,0.306667,-0.498871,0.306667,-0.377472,0.306667,-0.630109,0.306667,All
-0.498906,0.313333,-0.498179,0.313333,-0.351398,0.313333,-0.612105,0.313333,All
-0.498167,0.32,-0.490629,0.32,-0.293333,0.32,-0.581317,0.32,All
-0.497718,0.326667,-0.481807,0.326667,-0.236882,0.326667,-0.57525,0.326667,All
