pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.10018,0.239053,-2.35061,0.0402642,-2.93731,0.0549875,All
-1.74228,0.546406,-2.151,0.0805284,-2.49276,0.109975,All
-1.38439,0.648857,-1.9514,0.0977845,-2.04822,0.4399,All
-1.0265,0.580557,-1.75179,0.184065,-1.60367,0.494887,All
-0.668602,0.546406,-1.55218,0.166809,-1.15913,0.494887,All
-0.310708,0.239053,-1.35257,0.345122,-0.71458,0.4399,All
0.0471856,0.102451,-1.15297,0.408394,-0.270034,0.164962,All
0.40508,0.0341504,-0.953359,0.563699,0.174511,0.137469,All
0.762974,0.0341504,-0.753751,0.437154,0.619057,0.0549875,All
1.12087,0.102451,-0.554144,0.442906,1.0636,0.0824812,All
,,-0.354536,0.373882,,,All
,,-0.154929,0.39689,,,All
,,0.044679,0.333618,,,All
,,0.244287,0.287601,,,All
,,0.443894,0.224329,,,All
,,0.643502,0.172561,,,All
,,0.843109,0.241585,,,All
,,1.04272,0.103536,,,All
,,1.24232,0.0575203,,,All
,,1.44193,0.0747763,,,All
,,1.64154,0.0460162,,,All
,,1.84115,0.0345122,,,All
,,2.04075,0.0172561,,,All
,,2.24036,0.0230081,,,All
,,2.43997,0.0172561,,,All
,,2.63958,0,,,All
,,2.83919,0,,,All
,,3.03879,0,,,All
,,3.2384,0,,,All
,,3.43801,0.00575203,,,All
