pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.55431,0.0882816,-3.8662,0.00404115,-2.56362,0.0424784,All
-1.41586,0,-3.58209,0.0161646,-2.27589,0,All
-1.27742,0.176563,-3.29798,0.0202057,-1.98817,0,All
-1.13897,0.617971,-3.01386,0.0323292,-1.70044,0.212392,All
-1.00053,0.441408,-2.72975,0.0444526,-1.41271,0.169914,All
-0.862081,0.706253,-2.44563,0.080823,-1.12498,0.552219,All
-0.723635,2.20704,-2.16152,0.0889052,-0.837253,0.807089,All
-0.585189,2.11876,-1.8774,0.129317,-0.549525,1.14692,All
-0.446743,0.882816,-1.59329,0.173769,-0.261797,0.509741,All
-0.308298,0.706253,-1.30918,0.24651,0.0259314,0.382305,All
,,-1.02506,0.181852,,,All
,,-0.740947,0.319251,,,All
,,-0.456832,0.303086,,,All
,,-0.172718,0.307127,,,All
,,0.111397,0.290963,,,All
,,0.395511,0.238428,,,All
,,0.679625,0.303086,,,All
,,0.96374,0.218222,,,All
,,1.24785,0.198016,,,All
,,1.53197,0.153564,,,All
,,1.81608,0.10507,,,All
,,2.1002,0.080823,,,All
,,2.38431,0.0404115,,,All
,,2.66843,0.0161646,,,All
,,2.95254,0.0121234,,,All
,,3.23665,0.0080823,,,All
,,3.52077,0,,,All
,,3.80488,0.0080823,,,All
,,4.089,0.00404115,,,All
,,4.37311,0.0121234,,,All
