iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
51,469.945,1,23.5872,26.6525,10.4383,1.27417,0.068156,1.05651,-0.521711,1.93087,-6.45029,0.191991,1.15347,0.256351,0.80064
52,470.998,1,23.1026,26.5019,10.2569,1.27414,0.0653133,1.04459,-0.503762,0.965942,-5.86082,0.187778,1.22384,0.283441,0.812787
53,471.67,1,21.374,27.0103,10.4665,1.33439,0.0631568,0.969825,-0.442701,0.583788,-6.11324,0.18898,1.27198,0.279947,0.792207
54,467.699,1,22.2428,26.2644,10.6415,1.30385,0.0662836,1.12431,-0.475224,1.21742,-5.11063,0.184195,1.23977,0.272859,0.772148
55,471.201,1,21.9874,25.983,10.4733,1.30384,0.0673314,1.08805,-0.47309,2.52747,-5.93739,0.186939,1.20838,0.26595,0.752597
56,475.77,1,22.4562,26.1319,11.3355,1.30387,0.0698245,1.04515,-0.486938,1.61181,-5.31574,0.187005,1.17778,0.27467,0.839221
57,479.946,1,22.5971,26.1041,11.5994,1.40896,0.0647781,1.1671,-0.494342,1.99466,-4.47213,0.18227,1.21414,0.282965,0.834871
58,462.109,1,22.3123,25.2824,12.1375,1.33851,0.0615392,1.10179,-0.465753,0.619868,-4.77138,0.19186,1.1834,0.282364,0.814754
59,469.528,1,22.025,25.4784,11.2226,1.44204,0.0599856,1.06745,-0.468495,0.545908,-3.60698,0.187002,1.15344,0.27784,0.794124
60,467.163,1,22.5049,25.5834,11.4779,1.39671,0.0593658,1.01119,-0.482817,0.781876,-3.63783,0.190669,1.12423,0.273318,0.78527
61,465.548,1,22.1835,25.3312,11.8249,1.45787,0.056402,1.14269,-0.478026,1.00646,-4.04158,0.187634,1.09576,0.266397,0.765387
62,468.696,1,22.3394,24.9499,10.343,1.48265,0.0576092,1.12911,-0.478544,1.88647,-3.27124,0.182883,1.06802,0.28671,0.805596
63,474.207,1,22.2712,25.1123,10.4684,1.54231,0.0605932,1.07183,-0.472798,2.20118,-3.29016,0.186126,1.04098,0.282898,0.785198
