standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.59383,0.312013,-2.28958,0.0685566,-2.27966,0.0484319,-2.35607,0.0631232,All
-1.31771,0.364015,-1.87069,0.0514175,-1.83494,0.0645758,-2.01486,0.0631232,All
-1.04158,0.286012,-1.45179,0.222809,-1.39022,0.193728,-1.67364,0.0841642,All
-0.765459,0.338014,-1.0329,0.137113,-0.945508,0.258303,-1.33243,0.252493,All
-0.489336,0.312013,-0.614004,0.359922,-0.500792,0.355167,-0.991218,0.210411,All
-0.213213,0.234009,-0.19511,0.565592,-0.056075,0.387455,-0.650004,0.483944,All
0.0629098,0.156006,0.223784,0.394201,0.388642,0.548895,-0.308791,0.336657,All
0.339033,0.338014,0.642677,0.222809,0.833358,0.274447,0.0324223,0.526026,All
0.615156,0.312013,1.06157,0.239948,1.27807,0.209871,0.373636,0.252493,All
0.891279,0.442018,1.48047,0.137113,1.72279,0.0322879,0.714849,0.315616,All
1.1674,0.416017,1.89936,0.0514175,2.16751,0.016144,1.05606,0.147287,All
1.44352,0.286012,2.31825,0.0342783,2.61222,0.016144,1.39728,0.252493,All
1.71965,0.104004,2.73715,0.0856958,3.05694,0.016144,1.73849,0.168328,All
