V_logit_abscissa,V_logit_pdf,V_logit_cdf,Vm_logit_abscissa,Vm_logit_pdf,Vm_logit_cdf,Km_logit_abscissa,Km_logit_pdf,Km_logit_cdf,split
0.785785,0.000837308,0.999973,50.8364,0.00066811,0.998687,3.56224,7.49334e-06,0.999999,All
0.792928,0.000671596,0.999979,51.2541,0.000549116,0.998941,3.59123,5.21009e-06,1,All
0.800071,0.000538298,0.999983,51.6719,0.00044946,0.999149,3.62022,3.61388e-06,1,All
0.807214,0.000431166,0.999986,52.0897,0.000366365,0.999319,3.6492,2.50088e-06,1,All
0.814357,0.000345135,0.999989,52.5075,0.000297383,0.999457,3.67819,1.72677e-06,1,All
0.8215,0.000276102,0.999991,52.9252,0.00024037,0.999569,3.70718,1.18968e-06,1,All
0.828644,0.000220751,0.999993,53.343,0.00019346,0.999659,3.73616,8.17918e-07,1,All
0.835787,0.0001764,0.999994,53.7608,0.000155034,0.999732,3.76515,5.61177e-07,1,All
0.84293,0.000140887,0.999996,54.1786,0.0001237,0.99979,3.79414,3.84263e-07,1,All
0.850073,0.000112469,0.999996,54.5963,9.82639e-05,0.999836,3.82312,2.62618e-07,1,All
0.857216,8.97418e-05,0.999997,55.0141,7.77109e-05,0.999872,3.85211,1.79148e-07,1,All
0.864359,7.15764e-05,0.999998,55.4319,6.11797e-05,0.999901,3.8811,1.21988e-07,1,All
0.871503,5.70647e-05,0.999998,55.8497,4.79454e-05,0.999924,3.91008,8.29211e-08,1,All
0.878646,4.54779e-05,0.999999,56.2674,3.74001e-05,0.999942,3.93907,5.62702e-08,1,All
