iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,670.313,1,13.4985,36.7882,21.7629,16.5018,1.54567,0.0575687,3,3,3,3
2,658.941,1,12.1843,21.2596,16.4965,19.2625,1.62131,0.0537812,2.92404,2.92404,2.92404,2.92404
3,656.996,1,12.1447,21.0404,16.6055,25.6011,1.52242,0.0593088,2.85,2.85,2.85,2.85
4,653.069,1,12.0226,18.4824,16.8168,22.6497,1.52237,0.0588427,2.77784,2.77784,2.77784,2.77784
5,652.165,1,12.0817,15.7494,17.4848,21.2026,1.52239,0.0592892,2.7075,2.7075,2.7075,2.7075
6,655.262,1,12.0032,11.5658,16.7429,26.8231,1.52251,0.0634267,2.63894,2.63894,2.63894,2.63894
7,649.301,1,12.146,15.5758,17.336,29.4417,1.52246,0.0600409,2.57212,2.57212,2.57212,2.57212
8,648.516,1,12.2247,19.499,17.2466,24.1959,1.5013,0.0596927,2.507,2.507,2.507,2.507
9,646.222,1,12.0945,26.4347,17.1965,22.9021,1.50131,0.0610734,2.44352,2.44352,2.44352,2.44352
10,642.947,1,12.1512,25.7106,17.9285,17.6834,1.38252,0.067432,2.38165,2.38165,2.38165,2.38165
11,647.508,1,12.1815,24.9982,17.885,15.731,1.46502,0.0688352,2.32134,2.32134,2.32134,2.32134
12,645.049,1,12.1445,22.7687,16.9492,17.9157,1.46497,0.066136,2.26257,2.26257,2.26257,2.26257
13,642.767,1,12.3968,23.81,17.7096,20.062,1.46499,0.0657716,2.20528,2.2444,2.20528,2.20528
14,628.379,1,12.18,24.625,17.712,18.0151,1.39174,0.0624831,2.14944,2.18757,2.14944,2.14944
15,622.385,1,12.1989,22.5344,17.7493,18.0071,1.3917,0.060103,2.09501,2.13218,2.09501,2.11343
16,613.175,1,12.1736,17.7811,17.1894,21.1856,1.39168,0.0579576,2.04197,2.07819,2.04197,2.05992
17,603.892,1,12.0948,17.1119,17.7112,23.8958,1.33511,0.0586108,1.99026,2.02557,1.99026,2.00776
18,601.675,1,12.0429,15.753,17.3495,22.4405,1.43511,0.0525393,1.93987,1.97428,1.93987,1.95692
19,602.283,1,12.1188,20.961,17.5382,24.0838,1.43519,0.0564451,1.89075,1.92429,1.89075,1.90737
20,601.376,1,12.1745,24.1458,17.2736,18.6569,1.33328,0.0618063,1.84287,1.87557,1.84287,1.85908
21,606.452,1,12.2737,23.9004,17.1054,17.5406,1.44101,0.0579865,1.79621,1.82808,1.79621,1.812
22,600.449,1,12.3174,28.1627,16.693,16.111,1.38879,0.0591874,1.75073,1.78179,1.75073,1.76612
23,591.853,1,12.2869,29.0803,16.551,15.6911,1.33345,0.0591222,1.7064,1.73667,1.7064,1.7214
24,597.352,1,12.1762,28.7545,16.5302,16.0606,1.37891,0.0607773,1.66319,1.6927,1.66319,1.67782
25,594.498,1,12.2812,28.2101,15.7669,16.7153,1.52961,0.0544389,1.62108,1.64984,1.62108,1.63533
26,592.375,1,12.4278,26.7835,16.7309,14.6256,1.35408,0.0614163,1.58003,1.60806,1.58003,1.65712
27,597.745,1,12.3068,28.1186,15.8965,16.0652,1.37798,0.0653807,1.54003,1.56735,1.54003,1.61516
28,589.819,1,12.4,33.5752,15.0365,15.6163,1.44873,0.0598275,1.50103,1.52766,1.50103,1.57427
29,596.176,1,12.4797,33.6368,15.4183,14.9884,1.39597,0.0672635,1.46302,1.48898,1.46302,1.53441
30,596.88,1,12.4025,37.1165,15.444,15.507,1.41424,0.0688705,1.42598,1.45128,1.42598,1.49555
