V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
20.3679,0.0294808,8.09984,0.0317301,All
24.0208,0.0452039,9.68372,0.104256,All
27.6738,0.0452039,11.2676,0.067993,All
31.3268,0.0569962,12.8515,0.104256,All
34.9797,0.0511,14.4353,0.0634602,All
38.6327,0.0176885,16.0192,0.0589273,All
42.2857,0.00982693,17.6031,0.0997231,All
45.9386,0.00786154,19.187,0.0725259,All
49.5916,0.00786154,20.7708,0.0271972,All
53.2446,0.0117923,22.3547,0.0226643,All
56.8975,0.00393077,23.9386,0.0135986,All
60.5505,0.00589616,25.5224,0.00906574,All
64.2035,0.00196539,27.1063,0.00453287,All
