V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
11.1638,0,4.9515,0,All
18.5414,0.00666667,7.30791,0.00666667,All
18.5714,0.0133333,8.08836,0.0133333,All
18.7877,0.02,8.66277,0.02,All
18.8403,0.0266667,8.69005,0.0266667,All
19.4793,0.0333333,8.76646,0.0333333,All
19.7622,0.04,8.84895,0.04,All
20.024,0.0466667,8.88634,0.0466667,All
20.1961,0.0533333,9.01435,0.0533333,All
20.293,0.06,9.03215,0.06,All
20.5748,0.0666667,9.22574,0.0666667,All
20.5973,0.0733333,9.2419,0.0733333,All
20.7539,0.08,9.28223,0.08,All
21.3036,0.0866667,9.40689,0.0866667,All
21.6596,0.0933333,9.45834,0.0933333,All
22.0577,0.1,9.47889,0.1,All
22.2977,0.106667,9.54446,0.106667,All
22.4224,0.113333,9.6771,0.113333,All
22.4287,0.12,9.70119,0.12,All
22.5302,0.126667,9.75523,0.126667,All
22.6619,0.133333,10.0081,0.133333,All
22.9029,0.14,10.0437,0.14,All
22.9792,0.146667,10.0704,0.146667,All
23.1059,0.153333,10.0771,0.153333,All
23.227,0.16,10.1773,0.16,All
23.2494,0.166667,10.1864,0.166667,All
23.2627,0.173333,10.2376,0.173333,All
23.3738,0.18,10.298,0.18,All
23.8668,0.186667,10.3267,0.186667,All
24.0308,0.193333,10.4021,0.193333,All
24.075,0.2,10.4159,0.2,All
24.095,0.206667,10.4822,0.206667,All
24.6728,0.213333,10.7251,0.213333,All
24.9813,0.22,10.7477,0.22,All
25.0624,0.226667,10.7534,0.226667,All
25.6517,0.233333,10.7551,0.233333,All
25.7483,0.24,10.7837,0.24,All
25.7745,0.246667,11.1497,0.246667,All
25.8021,0.253333,11.3358,0.253333,All
25.9605,0.26,11.4136,0.26,All
26.0791,0.266667,11.7237,0.266667,All
26.142,0.273333,11.74,0.273333,All
26.2332,0.28,11.7677,0.28,All
26.3887,0.286667,11.7839,0.286667,All
26.506,0.293333,11.9169,0.293333,All
26.6448,0.3,12.0106,0.3,All
26.6708,0.306667,12.1621,0.306667,All
27.1977,0.313333,12.2624,0.313333,All
27.2838,0.32,12.3273,0.32,All
27.4792,0.326667,12.4034,0.326667,All
27.5023,0.333333,12.5299,0.333333,All
28.1956,0.34,12.6289,0.34,All
28.3166,0.346667,12.6587,0.346667,All
28.3948,0.353333,12.6619,0.353333,All
28.7822,0.36,12.7737,0.36,All
28.8721,0.366667,12.8121,0.366667,All
28.914,0.373333,12.828,0.373333,All
29.0247,0.38,12.8453,0.38,All
29.0251,0.386667,12.9223,0.386667,All
29.1491,0.393333,12.956,0.393333,All
29.2354,0.4,12.9702,0.4,All
29.3418,0.406667,13.1074,0.406667,All
29.5164,0.413333,13.1876,0.413333,All
29.616,0.42,13.398,0.42,All
29.7115,0.426667,13.457,0.426667,All
29.9855,0.433333,13.4999,0.433333,All
30.0359,0.44,13.5535,0.44,All
30.131,0.446667,13.5834,0.446667,All
30.1818,0.453333,13.625,0.453333,All
30.3089,0.46,13.8043,0.46,All
30.3593,0.466667,14.163,0.466667,All
30.366,0.473333,14.1645,0.473333,All
30.3972,0.48,14.2231,0.48,All
30.548,0.486667,14.2627,0.486667,All
30.6668,0.493333,14.2972,0.493333,All
30.6677,0.5,14.309,0.5,All
30.775,0.506667,14.4331,0.506667,All
30.9047,0.513333,14.4653,0.513333,All
30.9953,0.52,14.5408,0.52,All
31.2726,0.526667,14.6217,0.526667,All
31.2862,0.533333,14.6968,0.533333,All
31.2896,0.54,14.9083,0.54,All
31.3055,0.546667,15.11,0.546667,All
31.7164,0.553333,15.2416,0.553333,All
31.9486,0.56,15.2492,0.56,All
32.0166,0.566667,15.2645,0.566667,All
32.2431,0.573333,15.3599,0.573333,All
32.3363,0.58,15.4537,0.58,All
32.4209,0.586667,15.8353,0.586667,All
32.8355,0.593333,15.9853,0.593333,All
32.9774,0.6,15.9969,0.6,All
33.1548,0.606667,16.2007,0.606667,All
33.3025,0.613333,16.2457,0.613333,All
33.492,0.62,16.3813,0.62,All
33.5438,0.626667,16.6974,0.626667,All
33.5665,0.633333,16.7866,0.633333,All
33.6616,0.64,16.9915,0.64,All
33.8921,0.646667,17.0073,0.646667,All
34.0493,0.653333,17.1186,0.653333,All
34.0841,0.66,17.2243,0.66,All
34.1991,0.666667,17.4209,0.666667,All
34.2909,0.673333,17.5066,0.673333,All
34.8536,0.68,17.5335,0.68,All
34.9382,0.686667,17.5337,0.686667,All
34.9879,0.693333,17.5929,0.693333,All
35.1084,0.7,17.7199,0.7,All
35.2587,0.706667,17.7653,0.706667,All
35.3985,0.713333,17.8131,0.713333,All
35.4101,0.72,17.9385,0.72,All
35.4298,0.726667,17.9664,0.726667,All
35.6553,0.733333,18.0281,0.733333,All
36.2662,0.74,18.0567,0.74,All
36.2774,0.746667,18.0646,0.746667,All
36.297,0.753333,18.1409,0.753333,All
36.3745,0.76,18.1455,0.76,All
36.4522,0.766667,18.2386,0.766667,All
36.6769,0.773333,18.2442,0.773333,All
37.0026,0.78,18.3187,0.78,All
37.3005,0.786667,18.4135,0.786667,All
37.4651,0.793333,18.6994,0.793333,All
37.5492,0.8,19.1674,0.8,All
37.5863,0.806667,19.2145,0.806667,All
37.6547,0.813333,19.2344,0.813333,All
38.3607,0.82,19.2559,0.82,All
38.5544,0.826667,19.51,0.826667,All
39.7104,0.833333,19.5358,0.833333,All
40.5394,0.84,19.5412,0.84,All
41.5012,0.846667,19.5832,0.846667,All
41.5309,0.853333,19.6206,0.853333,All
43.9227,0.86,19.6237,0.86,All
44.0606,0.866667,19.6463,0.866667,All
44.2831,0.873333,19.7376,0.873333,All
44.901,0.88,19.7778,0.88,All
46.8123,0.886667,19.8663,0.886667,All
47.4527,0.893333,20.0787,0.893333,All
48.3137,0.9,20.5757,0.9,All
48.668,0.906667,20.5871,0.906667,All
50.4861,0.913333,21.3147,0.913333,All
51.3278,0.92,21.4212,0.92,All
51.5894,0.926667,21.4503,0.926667,All
51.8512,0.933333,21.6895,0.933333,All
52.0263,0.94,21.9659,0.94,All
53.0665,0.946667,22.0356,0.946667,All
53.5162,0.953333,22.1525,0.953333,All
54.9689,0.96,22.8295,0.96,All
56.5503,0.966667,24.1019,0.966667,All
58.5321,0.973333,24.4475,0.973333,All
60.5626,0.98,24.5776,0.98,All
61.7423,0.986667,25.3114,0.986667,All
61.9031,0.993333,26.2852,0.993333,All
66.0299,1,27.8983,1,All
88.4641,1,42.3252,1,All
