V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
11.1638,0.000130673,0.000102939,4.9515,0.00044216,0.000171387,All
11.9446,0.000291662,0.000260964,5.32901,0.00095928,0.000425884,All
12.7254,0.000586588,0.000593155,5.70652,0.00186975,0.000945087,All
13.5062,0.00107963,0.0012285,6.08403,0.00333058,0.00190686,All
14.287,0.00184143,0.0023491,6.46154,0.0054962,0.00354855,All
15.0678,0.00294057,0.00419201,6.83906,0.00849538,0.00616171,All
15.8486,0.00443404,0.00704397,7.21657,0.0124101,0.0100782,All
16.6294,0.00635833,0.0112287,7.59408,0.0172608,0.0156497,All
17.4103,0.00872287,0.0170881,7.97159,0.0229994,0.0232226,All
18.1911,0.0115068,0.0249599,8.3491,0.0295117,0.0331124,All
18.9719,0.0146591,0.0351535,8.72662,0.0366271,0.0455807,All
19.7527,0.0181027,0.0479279,9.10413,0.0441336,0.0608161,All
20.5335,0.0217402,0.0634737,9.48164,0.0517955,0.0789222,All
21.3143,0.0254614,0.0818997,9.85915,0.0593711,0.099912,All
22.0951,0.0291519,0.103227,10.2367,0.0666296,0.123709,All
22.8759,0.0327004,0.127387,10.6142,0.0733638,0.150153,All
23.6567,0.036005,0.154229,10.9917,0.0793996,0.179012,All
24.4376,0.0389786,0.183527,11.3692,0.0846024,0.209996,All
25.2184,0.0415518,0.214994,11.7467,0.0888787,0.242772,All
25.9992,0.0436749,0.248298,12.1242,0.0921756,0.276979,All
26.78,0.0453177,0.283073,12.5017,0.0944776,0.312242,All
27.5608,0.0464688,0.318939,12.8792,0.0958023,0.348188,All
28.3416,0.0471334,0.355513,13.2568,0.0961946,0.384457,All
29.1224,0.0473309,0.392422,13.6343,0.0957208,0.420709,All
29.9032,0.0470923,0.429312,14.0118,0.0944629,0.45663,All
30.684,0.046457,0.465859,14.3893,0.0925131,0.491943,All
31.4649,0.0454703,0.501769,14.7668,0.0899688,0.526405,All
32.2457,0.0441809,0.536787,15.1443,0.0869289,0.55981,All
33.0265,0.0426387,0.570697,15.5218,0.0834899,0.591988,All
33.8073,0.0408928,0.60332,15.8993,0.0797438,0.622808,All
34.5881,0.0389905,0.634516,16.2769,0.0757761,0.652169,All
35.3689,0.0369758,0.664179,16.6544,0.0716642,0.680002,All
36.1497,0.0348888,0.692239,17.0319,0.0674773,0.706268,All
36.9305,0.0327653,0.718653,17.4094,0.0632754,0.730948,All
37.7113,0.0306368,0.743405,17.7869,0.05911,0.754047,All
38.4922,0.0285298,0.766502,18.1644,0.0550238,0.775587,All
39.273,0.0264667,0.787969,18.5419,0.051052,0.795605,All
40.0538,0.0244657,0.807849,18.9194,0.047222,0.81415,All
40.8346,0.0225408,0.826195,19.297,0.0435551,0.83128,All
41.6154,0.0207031,0.843072,19.6745,0.0400663,0.847058,All
42.3962,0.0189599,0.85855,20.052,0.0367658,0.861554,All
43.177,0.0173164,0.872706,20.4295,0.0336594,0.874841,All
43.9578,0.0157752,0.885618,20.807,0.0307492,0.886993,All
44.7386,0.014337,0.897368,21.1845,0.0280343,0.898082,All
45.5195,0.0130009,0.908034,21.562,0.0255112,0.908183,All
46.3003,0.0117647,0.917696,21.9395,0.0231747,0.917367,All
47.0811,0.0106252,0.926431,22.317,0.0210178,0.925704,All
47.8619,0.00957853,0.934313,22.6946,0.0190327,0.933258,All
48.6427,0.00862014,0.941412,23.0721,0.0172106,0.940094,All
49.4235,0.00774517,0.947796,23.4496,0.0155423,0.946272,All
50.2043,0.00694853,0.953528,23.8271,0.0140185,0.951847,All
50.9851,0.00622503,0.958666,24.2046,0.0126294,0.956873,All
51.766,0.00556949,0.963266,24.5821,0.0113658,0.961398,All
