iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
50,9.58408,1,15.8658,35.6423,21.7629,15.4911,1.46916,0.0503514,0.239288,1.41897,9.09167e-08,0.602557
51,2.44878,1,15.9311,32.8322,21.7629,15.9162,1.43619,0.0478345,0.233846,1.46916,8.68362e-08,0.593385
52,5.34324,1,15.8561,37.7498,21.7629,15.6054,1.39845,0.0501814,0.228685,1.51857,1.0023e-07,0.560173
53,8.09512,1,15.82,41.6722,21.7629,15.5292,1.43648,0.0465002,0.233534,1.55535,9.98289e-08,0.620369
54,11.2657,1,15.8954,46.4213,21.7629,16.1136,1.48087,0.0448312,0.242023,1.49266,1.07213e-07,0.616459
55,22.1348,1,15.6735,45.9791,21.7629,15.4937,1.48099,0.0498002,0.228862,1.67753,1.19444e-07,0.584692
56,19.3932,1,15.9351,48.9319,21.7629,15.1023,1.46073,0.0460606,0.237145,1.64613,1.32422e-07,0.605192
57,23.7615,1,15.8006,41.6387,21.7629,15.0645,1.4411,0.0478674,0.228956,1.51353,1.69992e-07,0.596595
58,25.0402,1,15.9199,39.3534,21.7629,15.4811,1.44116,0.0521479,0.229996,1.4736,1.57691e-07,0.604819
59,29.9122,1,15.6877,42.4404,21.7629,14.1562,1.4412,0.0558876,0.218764,1.56843,1.56324e-07,0.587964
60,28.9486,1,15.9163,42.5134,21.7629,14.5865,1.49458,0.0514808,0.230078,1.46824,1.54654e-07,0.602466
61,30.5938,1,15.7155,42.3474,21.7629,15.092,1.41906,0.0552872,0.231511,1.558,1.57385e-07,0.600406
62,39.7309,1,15.8543,40.9701,21.7629,14.4475,1.47785,0.0577528,0.229794,1.54897,1.65967e-07,0.615803
63,41.3605,1,15.9769,45.6319,21.7629,14.7006,1.44077,0.0632058,0.224027,1.6386,1.50054e-07,0.62814
64,35.3571,1,15.8834,38.0759,21.7629,15.4878,1.46799,0.0607225,0.232548,1.50236,1.42386e-07,0.581792
65,25.8364,1,15.8076,40.5028,21.7629,14.9425,1.4679,0.0562566,0.230367,1.52016,1.21979e-07,0.604157
66,22.651,1,15.7334,35.5331,21.7629,15.0147,1.43467,0.057982,0.223125,1.40798,1.1782e-07,0.614693
67,13.3601,1,15.6976,37.9973,21.7629,15.2661,1.39523,0.0563209,0.227416,1.37668,1.0032e-07,0.622751
68,16.56,1,15.8771,39.1498,21.7629,15.4163,1.39517,0.0552186,0.223052,1.45373,1.16622e-07,0.631464
69,13.2645,1,15.9696,37.7939,21.7629,15.7105,1.37678,0.0530778,0.22851,1.44951,1.14727e-07,0.637325
70,16.1368,1,15.8248,43.2827,21.7629,16.722,1.49535,0.0507333,0.237931,1.33339,1.10133e-07,0.606626
71,16.3936,1,15.8272,37.4143,21.7629,15.5274,1.51481,0.0495476,0.236706,1.37217,1.13473e-07,0.571384
72,17.9877,1,15.6192,36.7293,21.7629,14.8067,1.55433,0.0492085,0.237157,1.27693,1.17245e-07,0.560675
73,14.553,1,15.6732,35.0265,21.7629,15.6511,1.55432,0.048698,0.229834,1.18568,1.19497e-07,0.565882
74,9.4646,1,15.7922,38.8502,21.7629,16.5142,1.55435,0.0500982,0.223356,1.26575,9.52235e-08,0.558201
75,8.07298,1,15.6582,41.1525,21.7629,16.517,1.5232,0.0488367,0.228757,1.32306,9.06177e-08,0.586171
76,7.77234,1,15.8357,41.8548,21.7629,15.7842,1.52319,0.0465754,0.225299,1.35267,8.95277e-08,0.644707
77,13.2224,1,15.6651,39.9179,21.7629,15.7412,1.54525,0.0485876,0.220469,1.27047,1.01236e-07,0.641696
78,6.0103,1,15.7466,41.8812,21.7629,15.4984,1.4718,0.0437739,0.221494,1.37293,1.07311e-07,0.652556
79,9.11821,1,15.7685,40.6952,21.7629,15.8977,1.48786,0.0449227,0.225032,1.43435,1.1852e-07,0.567066
80,10.8556,1,15.8333,38.6611,21.7629,15.4167,1.54149,0.0456939,0.224975,1.26392,1.13228e-07,0.595835
81,16.7216,1,15.8027,39.1895,21.7629,15.9809,1.4528,0.0502357,0.22041,1.36927,1.20824e-07,0.674988
82,15.5944,1,15.7452,38.5226,21.7629,15.3776,1.45277,0.0495178,0.222242,1.32136,1.29271e-07,0.653532
83,14.6468,1,15.8947,35.2946,21.7629,15.0429,1.44818,0.0522858,0.234313,1.22139,1.23259e-07,0.610865
84,14.9842,1,15.7467,35.3889,21.7629,14.7446,1.44815,0.0504954,0.234606,1.32676,1.36495e-07,0.555455
85,23.3895,1,15.911,39.8219,21.7629,14.779,1.52057,0.0504072,0.235567,1.35463,1.32364e-07,0.607577
86,26.2435,1,15.8235,38.9109,21.7629,14.3932,1.5394,0.0540373,0.221204,1.30649,1.19205e-07,0.668028
87,22.3822,1,15.8833,47.306,21.7629,14.6906,1.51801,0.0503829,0.227393,1.36943,1.25629e-07,0.639739
88,19.2547,1,15.8535,46.6305,21.7629,14.4685,1.51794,0.0474101,0.221128,1.31661,1.41549e-07,0.634739
89,13.5167,1,15.8063,43.1646,21.7629,15.3091,1.41032,0.0503147,0.222038,1.37319,1.40615e-07,0.575986
90,9.50642,1,15.811,41.4118,21.7629,14.7373,1.41029,0.0511255,0.223143,1.32674,1.17282e-07,0.616854
91,9.66252,1,15.8529,46.1051,21.7629,14.997,1.43454,0.0473837,0.224818,1.51464,1.11937e-07,0.602012
92,21.4413,1,15.8572,44.3334,21.7629,15.5054,1.5323,0.0498296,0.232732,1.40644,1.29249e-07,0.562566
93,15.822,1,15.7476,40.9926,21.7629,15.3094,1.50466,0.0445618,0.229582,1.26031,1.46908e-07,0.613276
94,26.4606,1,15.7951,42.1092,21.7629,15.2226,1.557,0.048483,0.23747,1.32357,1.38175e-07,0.634232
95,27.0842,1,15.8884,39.7893,21.7629,15.4935,1.51703,0.0504173,0.232392,1.4158,1.37337e-07,0.640955
96,14.441,1,15.903,37.6548,21.7629,15.6477,1.51381,0.0474854,0.226571,1.36558,1.11256e-07,0.632939
97,14.7381,1,15.5764,37.771,21.7629,16.0073,1.45291,0.0519566,0.230513,1.36192,1.14765e-07,0.580561
98,16.1217,1,15.7091,39.5943,21.7629,16.2203,1.42254,0.0520314,0.233246,1.41776,1.24796e-07,0.583382
99,19.0611,1,15.8065,39.5282,21.7629,16.0175,1.41163,0.0538619,0.229641,1.51962,1.17842e-07,0.617335
100,16.5074,1,15.6818,35.1221,21.7629,15.6241,1.48437,0.050295,0.22265,1.34897,1.243e-07,0.585708
101,14.6911,1,15.7661,36.2703,21.7629,15.3526,1.50421,0.0498276,0.225024,1.31023,1.30627e-07,0.529032
102,32.223,1,15.8531,34.839,21.7629,14.2426,1.52324,0.0554027,0.226248,1.49638,1.38949e-07,0.586661
103,21.9241,1,15.831,41.2653,21.7629,14.7059,1.41264,0.0548737,0.2289,1.3872,1.42775e-07,0.589285
