iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,657.062,1,20.56,24.431,12.7157,1,0.3,-0.410671,1,1,1,1
2,649.569,1,21.3819,21.6944,14.4844,0.95,0.285,-0.389058,0.974679,0.974679,0.974679,0.974679
3,639.136,1,22.0142,19.7559,13.8075,0.9025,0.27075,-0.421042,0.95,0.95,0.95,0.95
4,631.816,1,21.3471,20.5429,13.7568,0.857375,0.257212,-0.415816,0.925945,0.925945,0.925945,0.925945
5,622.974,1,21.9845,21.6906,13.2766,0.814506,0.244352,-0.454117,0.9025,0.9025,0.9025,0.9025
6,615.519,1,22.6671,21.3257,12.6296,0.773781,0.232134,-0.488874,0.879648,0.900457,0.879648,0.879648
7,620.239,1,22.1605,19.931,11.8295,0.735092,0.220528,-0.493126,0.857375,0.936391,0.857375,0.857375
8,603.832,1,22.6104,22.1794,12.7908,0.698337,0.209501,-0.489113,0.835666,0.912681,0.835666,0.835666
9,585.556,1,20.1796,22.7308,11.1748,0.66342,0.199026,-0.357303,0.814506,0.889571,0.814506,0.814506
10,591.616,1,20.4082,21.1428,9.10179,0.630249,0.189075,-0.386657,0.793882,0.96738,0.793882,0.813577
11,585.772,1,20.591,22.426,9.90906,0.598737,0.179621,-0.400879,0.773781,1.02163,0.773781,0.792977
12,582.305,1,20.5088,21.6561,11.0036,0.5688,0.17064,-0.406878,0.754188,0.995761,0.754188,0.772898
13,572.805,1,19.8413,20.6551,10.5895,0.54036,0.162108,-0.376286,0.735092,0.970548,0.735092,0.753328
14,566.409,1,22.209,20.9164,11.473,0.513342,0.154003,-0.465326,0.716479,0.982359,0.716479,0.734253
15,567.033,1,20.6417,21.12,11.3237,0.487675,0.146302,-0.418741,0.698337,0.988766,0.698337,0.715662
16,550.114,1,20.4921,20.7264,11.9887,0.463291,0.138987,-0.401716,0.680655,0.984773,0.680655,0.697541
17,537.749,1,20.8707,20.5145,11.8266,0.440127,0.132038,-0.415802,0.66342,0.968763,0.66342,0.679879
18,530.092,1,21.4186,21.0235,11.2425,0.41812,0.125436,-0.436869,0.646622,0.949549,0.646622,0.662664
19,534.418,1,21.7476,21.8864,11.5143,0.397214,0.119164,-0.451219,0.630249,1.01729,0.630249,0.645885
20,534.125,1,22.2023,21.6904,12.5713,0.377354,0.113206,-0.466379,0.614291,1.03506,0.622263,0.649071
21,520.091,1,21.8174,21.3493,13.0467,0.939848,0.0989424,-0.451082,0.598737,1.02916,0.609164,0.632636
22,506.959,1,21.2383,20.7286,12.2322,0.892856,0.0939953,-0.429131,0.583577,1.0031,0.593739,0.623758
23,510.594,1,21.1236,20.0666,13.1508,1.11804,0.0852421,-0.426459,0.5688,0.977702,0.578705,0.607964
24,506.514,1,21.6129,20.0703,13.925,1.16362,0.0796283,-0.438423,0.554398,1.0018,0.564052,0.653404
25,506.747,1,21.1674,20.6849,13.2957,1.1306,0.0818022,-0.41716,0.54036,0.993558,0.565652,0.644128
