trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtWTKG_abscissa,trans_Cl_vs_logtWTKG_spline,trans_Cl_vs_logtWTKG_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtWTKG_abscissa,trans_Q_vs_logtWTKG_spline,trans_Q_vs_logtWTKG_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtWTKG_abscissa,trans_V1_vs_logtWTKG_spline,trans_V1_vs_logtWTKG_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtWTKG_abscissa,trans_V2_vs_logtWTKG_spline,trans_V2_vs_logtWTKG_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.60463,2.82924,59,2.5515,2.4998,-0.137992,2.54994,2.49592,0.481481,2.60463,2.82924,0.26,3.80414,3.10518,59,2.87926,3.01445,-0.137992,2.87597,3.00623,0.481481,3.80414,3.10518,0.26,3.23013,3.08218,59,3.22881,3.21535,-0.137992,3.22941,3.21685,0.481481,3.23013,3.08218,0.26,3.40301,2.70867,59,2.26333,2.6564,-0.137992,2.27868,2.69478,0.481481,3.40301,2.70867,All
0.267677,2.61342,2.82341,59.3131,2.52941,2.50366,-0.133726,2.53207,2.49955,0.495698,2.61342,2.82341,0.267677,3.70786,3.10681,59.3131,2.91634,3.01993,-0.133726,2.90731,3.01147,0.495698,3.70786,3.10681,0.267677,3.2337,3.08485,59.3131,3.21534,3.21422,-0.133726,3.2187,3.21577,0.495698,3.2337,3.08485,0.267677,3.29928,2.70193,59.3131,2.53551,2.64909,-0.133726,2.49907,2.68689,0.495698,3.29928,2.70193,All
0.275354,2.62221,2.81758,59.6263,2.50733,2.50752,-0.129461,2.51419,2.50318,0.509914,2.62221,2.81758,0.275354,3.61158,3.10844,59.6263,2.95343,3.0254,-0.129461,2.93865,3.0167,0.509914,3.61158,3.10844,0.275354,3.23726,3.08752,59.6263,3.20188,3.21308,-0.129461,3.208,3.21469,0.509914,3.23726,3.08752,0.275354,3.19555,2.69519,59.6263,2.8077,2.64178,-0.129461,2.71947,2.679,0.509914,3.19555,2.69519,All
0.28303,2.631,2.81175,59.9394,2.48525,2.51138,-0.125196,2.49631,2.50681,0.52413,2.631,2.81175,0.28303,3.51529,3.11007,59.9394,2.99051,3.03088,-0.125196,2.96998,3.02194,0.52413,3.51529,3.11007,0.28303,3.24083,3.09019,59.9394,3.18842,3.21195,-0.125196,3.1973,3.21361,0.52413,3.24083,3.09019,0.28303,3.09181,2.68846,59.9394,3.07988,2.63447,-0.125196,2.93986,2.67111,0.52413,3.09181,2.68846,All
0.290707,2.63979,2.80592,60.2525,2.54244,2.51524,-0.12093,2.4833,2.51044,0.538346,2.63979,2.80592,0.290707,3.41901,3.1117,60.2525,3.11697,3.03635,-0.12093,3.00648,3.02718,0.538346,3.41901,3.1117,0.290707,3.2444,3.09286,60.2525,3.16332,3.21081,-0.12093,3.18578,3.21253,0.538346,3.2444,3.09286,0.290707,2.98808,2.68172,60.2525,3.17437,2.62715,-0.12093,3.14944,2.66323,0.538346,2.98808,2.68172,All
0.298384,2.64858,2.80009,60.5657,2.61866,2.5191,-0.116665,2.54709,2.51408,0.552563,2.64858,2.80009,0.298384,3.32273,3.11333,60.5657,3.26488,3.04183,-0.116665,3.1243,3.03242,0.552563,3.32273,3.11333,0.298384,3.24796,3.09553,60.5657,3.13544,3.20968,-0.116665,3.16143,3.21145,0.552563,3.24796,3.09553,0.298384,2.88435,2.67498,60.5657,3.22622,2.61984,-0.116665,3.18861,2.65534,0.552563,2.88435,2.67498,All
0.306061,2.65736,2.79426,60.8788,2.69488,2.52297,-0.1124,2.61087,2.51771,0.566779,2.65736,2.79426,0.306061,3.22644,3.11496,60.8788,3.41278,3.0473,-0.1124,3.24212,3.03766,0.566779,3.22644,3.11496,0.306061,3.25153,3.0982,60.8788,3.10756,3.20854,-0.1124,3.13709,3.21038,0.566779,3.25153,3.0982,0.306061,2.78061,2.66825,60.8788,3.27806,2.61253,-0.1124,3.22777,2.64745,0.566779,2.78061,2.66825,All
0.313737,2.66615,2.78843,61.1919,2.71411,2.52683,-0.108134,2.67465,2.52134,0.580995,2.66615,2.78843,0.313737,3.13016,3.11659,61.1919,3.45934,3.05278,-0.108134,3.35995,3.04289,0.580995,3.13016,3.11659,0.313737,3.2551,3.10087,61.1919,3.10668,3.20741,-0.108134,3.11274,3.2093,0.580995,3.2551,3.10087,0.313737,2.67688,2.66151,61.1919,3.26917,2.60521,-0.108134,3.26693,2.63956,0.580995,2.67688,2.66151,All
0.321414,2.67494,2.7826,61.5051,2.69735,2.53069,-0.103869,2.724,2.52497,0.595211,2.67494,2.7826,0.321414,3.03387,3.11822,61.5051,3.44187,3.05825,-0.103869,3.45356,3.04813,0.595211,3.03387,3.11822,0.321414,3.25866,3.10354,61.5051,3.12285,3.20628,-0.103869,3.09552,3.20822,0.595211,3.25866,3.10354,0.321414,2.57315,2.65478,61.5051,3.22191,2.5979,-0.103869,3.29148,2.63167,0.595211,2.57315,2.65478,All
0.329091,2.68373,2.77677,61.8182,2.68059,2.53455,-0.0996034,2.70955,2.5286,0.609428,2.68373,2.77677,0.329091,2.93759,3.11985,61.8182,3.42441,3.06372,-0.0996034,3.44011,3.05337,0.609428,2.93759,3.11985,0.329091,3.26223,3.10621,61.8182,3.13902,3.20514,-0.0996034,3.10985,3.20714,0.609428,3.26223,3.10621,0.329091,2.46941,2.64804,61.8182,3.17466,2.59059,-0.0996034,3.25139,2.62378,0.609428,2.46941,2.64804,All
