iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,-30.9902,1,13.5118,2.78859,28.3015,40.1961,0.607143,0.44948,0.262273,2.18924,0.200104,1.67953e-08
2,-23.4705,1,13.5979,2.26879,28.4417,40.1961,0.625083,0.44948,0.26171,2.45179,0.202068,1.79818e-08
3,-18.7492,1,13.4619,2.19688,28.3185,40.1961,0.631143,0.44948,0.26939,2.58227,0.202749,1.75934e-08
4,-23.1359,1,13.4367,2.28594,28.1608,40.1961,0.638402,0.44948,0.265897,2.20895,0.214977,1.62538e-08
5,-36.3355,1,13.3912,2.86498,28.2565,40.1961,0.606181,0.44948,0.261971,2.04287,0.205802,1.60504e-08
6,-33.7702,1,13.5366,2.92058,28.5627,40.1961,0.622092,0.44948,0.267316,2.14564,0.194657,1.52763e-08
7,-38.1181,1,13.5844,2.62595,28.8104,40.1961,0.607465,0.44948,0.274345,2.09287,0.203701,1.49012e-08
8,18.3654,1,13.6276,2.65035,28.8131,40.1961,0.60356,0.44948,0.265035,2.1495,0.192177,1.09352e-07
9,23.1726,1,13.4524,3.54249,28.1838,40.1961,0.618866,0.44948,0.256184,1.92148,0.208357,1.10378e-07
10,19.7748,1,13.5499,3.41308,28.4745,40.1961,0.614062,0.44948,0.262129,1.93906,0.210362,1.00646e-07
11,27.4569,1,13.401,3.63488,28.1967,40.1961,0.633995,0.44948,0.267768,1.94566,0.191479,1.10084e-07
12,19.4477,1,13.4815,4.07579,27.7764,40.1961,0.625092,0.44948,0.256973,1.91862,0.187457,9.74719e-08
13,24.2299,1,13.4666,3.38592,27.5348,40.1961,0.620271,0.44948,0.262635,2.09129,0.183521,1.09993e-07
14,24.4525,1,13.3996,3.66525,27.9026,40.1961,0.619753,0.44948,0.248038,2.05531,0.190868,1.13768e-07
15,15.1064,1,13.488,3.18008,28.2352,40.1961,0.58365,0.44948,0.257319,2.06175,0.194495,1.18089e-07
16,23.448,1,13.496,3.25969,27.7728,40.1961,0.600329,0.44948,0.258509,2.06333,0.224354,1.13492e-07
17,21.6345,1,13.5571,3.68375,27.6715,40.1961,0.603936,0.44948,0.266443,1.97284,0.215932,1.12507e-07
18,16.7617,1,13.4463,3.55882,27.8072,40.1961,0.597717,0.44948,0.262097,1.95488,0.193054,1.11056e-07
19,21.7196,1,13.4333,3.57514,27.9272,40.1961,0.605223,0.44948,0.265807,1.96852,0.199426,1.147e-07
20,15.8581,1,13.5355,3.3483,27.6951,40.1961,0.596039,0.44948,0.262206,1.96299,0.195863,1.13389e-07
21,27.3729,1,13.5359,3.02829,27.9544,40.1961,0.622795,0.457069,0.25654,2.02892,0.175648,1.242e-07
22,23.2968,1,13.4026,3.46947,27.4186,40.1961,0.615059,0.457069,0.255587,1.97166,0.178774,1.14627e-07
23,19.6531,1,13.4598,3.27309,27.4451,40.1961,0.597706,0.457069,0.253441,2.15865,0.179828,1.11599e-07
24,19.8033,1,13.3125,3.32127,27.3588,40.1961,0.582643,0.457069,0.251881,2.14722,0.182787,1.20901e-07
25,12.713,1,13.5132,3.47167,27.2007,40.1961,0.588694,0.457069,0.264245,1.89969,0.178023,1.09281e-07
26,19.9913,1,13.4349,3.25842,27.6576,40.1961,0.604313,0.457069,0.252799,1.87058,0.187042,1.19128e-07
27,26.6451,1,13.452,2.63987,28.496,40.1961,0.618237,0.457069,0.263181,2.25217,0.193557,9.7849e-08
28,38.7878,1,13.4412,2.75514,28.0177,40.1961,0.638325,0.457069,0.267287,2.33959,0.199917,1.12496e-07
