parameter,value
Cl_pop,13.5026054729615
beta_Cl_logtALBGDL,0.0390775772620173
V1_pop,24.8642184507614
beta_V1_ANTU_1,-0.239656662038603
beta_V1_logtCLCRMLMIN,-1.33050349263156
beta_V1_logtPROGDL,-0.588190121353523
Q_pop,23.4
beta_Q_LMP_1,0.889055772587601
beta_Q_logtAGEA,1.39969026119868
beta_Q_logtALBGDL,17.2307352871079
beta_Q_logtPROGDL,-17.1059821067754
V2_pop,2.95008510789483
beta_V2_SEXF_1,4.39507380371318
beta_V2_logtHCM,34.6029361675121
omega_Cl,0.256440145632709
omega_V1,0.10638353920421
omega_Q,5.63580163927352e-8
omega_V2,1.15852868315407e-7
a,1.44339933321885
b,0.0392926456928146
