parameter,value
Cl_pop,22.0946852373883
beta_Cl_LMP_1,0.355165230009405
beta_Cl_logtIMCKGM2,-1.2544324902027
beta_Cl_logtWTKG,1.97277439078573
beta_Cl_tSCRMGDL,-0.568663700416324
V1_pop,11.2190850805248
beta_V1_logtPROGDL,-1.83024723370591
beta_V1_tSCRMGDL,0.630603954143261
Q_pop,23.4
beta_Q_logtIMCKGM2,4.56438998143127
V2_pop,9.02588628216372
beta_V2_SEXF_1,1.21282837751002
omega_Cl,0.141454969466075
omega_V1,0.21216219319886
omega_Q,0.736428704274528
omega_V2,0.513610757130473
a,1.53948095244836
b,0.0365426448952038
