iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0.259513,1.01171,0.263295,0.888378
2,458.421,1,20.4068,24.3443,13.1438,1.57483,0.0416799,-0.403837,0.252942,0.986093,0.256628,0.939151
3,456.566,1,20.587,24.2137,13.7633,1.57477,0.0397796,-0.407511,0.246537,0.993939,0.250725,0.915371
4,457.194,1,20.2203,24.4709,14.7243,1.50763,0.0411899,-0.3944,0.240295,0.968772,0.283304,0.932977
5,453.818,1,20.2549,24.5888,13.3251,1.46806,0.0426483,-0.408134,0.23421,0.944242,0.27613,0.942601
6,447.077,1,20.6241,24.4531,12.3498,1.49091,0.0402739,-0.418095,0.22828,0.920334,0.269139,0.918734
7,447.154,1,20.6725,24.6674,11.8565,1.5228,0.0363216,-0.417497,0.225365,0.948551,0.262324,0.895471
8,447.388,1,20.9353,24.5327,12.6647,1.52283,0.0390214,-0.420949,0.228221,0.924533,0.255682,0.872798
9,457.796,1,20.6242,24.576,13.0417,1.54611,0.0439558,-0.415682,0.225797,0.901123,0.280753,0.854645
10,466.15,1,20.6982,24.576,12.0823,1.52522,0.0478937,-0.414884,0.230693,0.926223,0.273644,0.923416
11,467.08,1,20.6934,25.0308,12.1181,1.52525,0.0489101,-0.420219,0.226871,0.988848,0.266715,0.900035
12,468.522,1,20.1206,24.7282,12.9053,1.42538,0.0573481,-0.392996,0.222944,0.96381,0.271685,0.877245
13,470.23,1,20.3568,24.6538,11.2806,1.42535,0.0565878,-0.403461,0.237068,0.987339,0.276038,0.855033
14,463.233,1,20.9504,24.1411,13.8649,1.47887,0.0502011,-0.422108,0.231065,0.992308,0.288902,0.833383
15,461.765,1,20.8348,24.9343,13.2912,1.37807,0.0534603,-0.42692,0.225214,0.967182,0.286848,0.918658
16,466.822,1,21.3033,25.3378,13.1594,1.32598,0.059484,-0.445131,0.219512,0.942692,0.287478,0.928702
17,469.142,1,20.5739,25.2946,11.6051,1.39494,0.0530221,-0.411007,0.22436,1.0175,0.313659,0.905187
18,470.254,1,20.7037,25.6123,11.2334,1.45485,0.0515861,-0.413982,0.218679,0.991739,0.308957,0.957122
19,468.434,1,20.7169,25.6746,11.5939,1.45487,0.051828,-0.409747,0.220944,0.966628,0.301134,0.982256
20,466.604,1,20.5081,25.2869,12.2682,1.55101,0.0454825,-0.404593,0.227469,1.01046,0.293509,0.957385
21,454.625,1,20.8789,25.1718,12.482,1.47346,0.0432083,-0.424306,0.232979,0.984874,0.286077,0.933143
22,456.458,1,20.7213,24.8904,12.79,1.44103,0.0446583,-0.416135,0.230255,0.983402,0.278834,0.966518
23,462.974,1,20.2802,24.9103,12.4997,1.50723,0.0448591,-0.396412,0.23053,0.958502,0.271773,1.04866
24,463.139,1,20.8947,24.7569,11.7712,1.44287,0.0486309,-0.415124,0.229557,0.934414,0.264892,1.04103
25,463.603,1,20.4909,25.0556,12.1479,1.47637,0.0488797,-0.401836,0.223744,0.918827,0.264689,1.01467
26,464.483,1,20.4337,25.0443,12.2297,1.47632,0.0463702,-0.401434,0.227682,0.959213,0.265402,1.09176
27,461.781,1,21.4557,25.3892,12.4286,1.57385,0.0386041,-0.443136,0.225586,0.944974,0.258821,1.15295
28,464.126,1,20.838,25.2074,12.0591,1.52524,0.0400555,-0.422272,0.219874,1.07348,0.260863,1.16881
29,476.32,1,21.2209,25.4178,11.2058,1.6017,0.0429788,-0.432064,0.230985,1.07482,0.265317,1.18466
