Parameters,Run_1,Run_2,Run_3,Run_4,Run_5
Cl_pop,20.6229,20.6332,20.6361,20.6695,20.6486
V1_pop,23.6372,24.0167,24.0072,24.2545,24.0162
V2_pop,13.5243,12.9181,12.7712,12.4264,12.8306
a,1.86106,1.85526,1.89001,1.88941,1.8802
beta_Cl_tSCRMGDL,-0.414834,-0.414612,-0.414941,-0.415912,-0.415245
omega_Cl,0.224545,0.224385,0.224495,0.224337,0.223799
omega_Q,0.956203,0.900338,0.834521,0.83801,0.86487
omega_V1,0.305031,0.29903,0.312366,0.30073,0.309935
omega_V2,0.770065,0.812274,0.777418,0.830254,0.774744
-2LL,507.848,507.632,507.484,507.609,507.438
