parameter,value,se_sa,rse_sa
Cl_pop,13.3650550344571,0.962692893274295,7.20305970153007
V1_pop,21.1544217119425,0.00028021397807167,0.00132461185603329
Q_pop,23.4,,
V2_pop,15.8573976074672,3.37381445847971,21.275965590287
omega_Cl,0.265289679379861,0.0512390104034856,19.3143625199674
omega_V1,9.60262507439166e-6,1.30785095761012e-5,136.197232264947
omega_Q,1.80797775259954,0.598763744724455,33.1178712715653
omega_V2,0.686428800658672,0.162850180366556,23.7242639309847
a,1.55571243423792,0.244185304217487,15.6960437445564
b,0.0512309539118794,0.0125304812555135,24.4588091743651
