standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-1.90502,0.00666667,-3.3371,0.00666667,-2.89413,0.00666667,-3.71446,0.00666667,All
-1.83916,0.0133333,-2.27551,0.0133333,-2.55435,0.0133333,-1.89522,0.0133333,All
-1.83711,0.02,-2.05401,0.02,-2.37082,0.02,-1.88733,0.02,All
-1.81312,0.0266667,-1.97574,0.0266667,-2.3376,0.0266667,-1.82914,0.0266667,All
-1.79042,0.0333333,-1.80755,0.0333333,-2.30751,0.0333333,-1.7311,0.0333333,All
-1.71373,0.04,-1.73897,0.04,-2.23774,0.04,-1.71024,0.04,All
-1.69727,0.0466667,-1.60002,0.0466667,-2.18196,0.0466667,-1.69762,0.0466667,All
-1.69075,0.0533333,-1.51316,0.0533333,-2.03823,0.0533333,-1.69457,0.0533333,All
-1.68981,0.06,-1.48679,0.06,-1.89957,0.06,-1.5582,0.06,All
-1.55011,0.0666667,-1.44466,0.0666667,-1.61387,0.0666667,-1.54658,0.0666667,All
-1.4168,0.0733333,-1.37402,0.0733333,-1.49639,0.0733333,-1.44867,0.0733333,All
-1.38374,0.08,-1.37097,0.08,-1.48882,0.08,-1.37685,0.08,All
-1.3586,0.0866667,-1.3189,0.0866667,-1.39688,0.0866667,-1.32446,0.0866667,All
-1.31776,0.0933333,-1.28187,0.0933333,-1.26471,0.0933333,-1.29536,0.0933333,All
-1.31003,0.1,-1.2818,0.1,-1.2451,0.1,-1.28924,0.1,All
-1.25631,0.106667,-1.28169,0.106667,-1.23506,0.106667,-1.24091,0.106667,All
-1.25296,0.113333,-1.27152,0.113333,-1.21645,0.113333,-1.2256,0.113333,All
-1.21623,0.12,-1.26795,0.12,-1.20031,0.12,-1.22137,0.12,All
-1.19124,0.126667,-1.25413,0.126667,-1.19936,0.126667,-1.19532,0.126667,All
-1.18606,0.133333,-1.10927,0.133333,-1.1802,0.133333,-1.18623,0.133333,All
-1.16912,0.14,-1.09197,0.14,-1.17592,0.14,-1.15182,0.14,All
-1.1369,0.146667,-1.07153,0.146667,-1.10673,0.146667,-1.1348,0.146667,All
-1.11491,0.153333,-1.07148,0.153333,-1.06958,0.153333,-1.13341,0.153333,All
-1.09403,0.16,-1.06955,0.16,-1.0345,0.16,-1.123,0.16,All
-1.07434,0.166667,-1.04702,0.166667,-0.979032,0.166667,-1.07358,0.166667,All
-1.06932,0.173333,-0.951342,0.173333,-0.923477,0.173333,-1.07338,0.173333,All
-1.06391,0.18,-0.934009,0.18,-0.923334,0.18,-1.06919,0.18,All
-1.05769,0.186667,-0.912921,0.186667,-0.893035,0.186667,-0.997762,0.186667,All
-1.05719,0.193333,-0.84159,0.193333,-0.864629,0.193333,-0.974195,0.193333,All
-1.02952,0.2,-0.811755,0.2,-0.777637,0.2,-0.948309,0.2,All
-1.01614,0.206667,-0.752876,0.206667,-0.758456,0.206667,-0.945583,0.206667,All
-0.992422,0.213333,-0.742216,0.213333,-0.723786,0.213333,-0.916854,0.213333,All
-0.963721,0.22,-0.735808,0.22,-0.723034,0.22,-0.89332,0.22,All
-0.947452,0.226667,-0.714438,0.226667,-0.71405,0.226667,-0.827862,0.226667,All
-0.92987,0.233333,-0.708719,0.233333,-0.666336,0.233333,-0.77254,0.233333,All
-0.926329,0.24,-0.68896,0.24,-0.60861,0.24,-0.745421,0.24,All
-0.924254,0.246667,-0.67816,0.246667,-0.605798,0.246667,-0.704399,0.246667,All
-0.889075,0.253333,-0.647034,0.253333,-0.593734,0.253333,-0.691299,0.253333,All
-0.868801,0.26,-0.60759,0.26,-0.510968,0.26,-0.688007,0.26,All
-0.868023,0.266667,-0.569322,0.266667,-0.508757,0.266667,-0.655007,0.266667,All
-0.867109,0.273333,-0.522623,0.273333,-0.44819,0.273333,-0.636572,0.273333,All
-0.819322,0.28,-0.507702,0.28,-0.446588,0.28,-0.623216,0.28,All
-0.796948,0.286667,-0.438488,0.286667,-0.3426,0.286667,-0.617443,0.286667,All
-0.749491,0.293333,-0.435149,0.293333,-0.239319,0.293333,-0.613461,0.293333,All
-0.747937,0.3,-0.427466,0.3,-0.223242,0.3,-0.609966,0.3,All
-0.747916,0.306667,-0.41414,0.306667,-0.21012,0.306667,-0.608503,0.306667,All
-0.671083,0.313333,-0.404191,0.313333,-0.208127,0.313333,-0.592908,0.313333,All
-0.666809,0.32,-0.401152,0.32,-0.177687,0.32,-0.58601,0.32,All
-0.666084,0.326667,-0.39465,0.326667,-0.164525,0.326667,-0.570593,0.326667,All
-0.613549,0.333333,-0.35593,0.333333,-0.154612,0.333333,-0.570023,0.333333,All
-0.594433,0.34,-0.332256,0.34,-0.150855,0.34,-0.552912,0.34,All
-0.5878,0.346667,-0.329046,0.346667,-0.139241,0.346667,-0.525573,0.346667,All
-0.56642,0.353333,-0.321718,0.353333,-0.136047,0.353333,-0.506939,0.353333,All
-0.558803,0.36,-0.314531,0.36,-0.129531,0.36,-0.491791,0.36,All
-0.53806,0.366667,-0.285145,0.366667,-0.0995174,0.366667,-0.450955,0.366667,All
-0.503547,0.373333,-0.281615,0.373333,-0.096229,0.373333,-0.448916,0.373333,All
-0.50337,0.38,-0.250152,0.38,-0.0663492,0.38,-0.433464,0.38,All
-0.474041,0.386667,-0.230702,0.386667,-0.0606403,0.386667,-0.429396,0.386667,All
-0.471243,0.393333,-0.223147,0.393333,-0.0501557,0.393333,-0.418408,0.393333,All
-0.42193,0.4,-0.200239,0.4,-0.049458,0.4,-0.378537,0.4,All
-0.3839,0.406667,-0.199841,0.406667,-0.043045,0.406667,-0.37797,0.406667,All
-0.365468,0.413333,-0.193013,0.413333,-0.0423303,0.413333,-0.353032,0.413333,All
-0.364529,0.42,-0.156708,0.42,-0.0344663,0.42,-0.351156,0.42,All
-0.328559,0.426667,-0.13083,0.426667,-0.0322853,0.426667,-0.345009,0.426667,All
-0.32164,0.433333,-0.118672,0.433333,-0.0153929,0.433333,-0.332619,0.433333,All
-0.272858,0.44,-0.0694735,0.44,0.0300651,0.44,-0.321838,0.44,All
-0.269163,0.446667,-0.0437318,0.446667,0.0359671,0.446667,-0.321405,0.446667,All
-0.214829,0.453333,-0.0336742,0.453333,0.0377824,0.453333,-0.316778,0.453333,All
-0.167392,0.46,-0.00667045,0.46,0.044462,0.46,-0.304632,0.46,All
-0.133332,0.466667,0.0311929,0.466667,0.0755612,0.466667,-0.299941,0.466667,All
-0.0188908,0.473333,0.0385997,0.473333,0.0808134,0.473333,-0.271977,0.473333,All
0.0187043,0.48,0.0450325,0.48,0.0820608,0.48,-0.270986,0.48,All
0.0312408,0.486667,0.0509038,0.486667,0.084798,0.486667,-0.258991,0.486667,All
0.12193,0.493333,0.0935698,0.493333,0.0932551,0.493333,-0.258024,0.493333,All
0.127406,0.5,0.103155,0.5,0.101228,0.5,-0.251069,0.5,All
0.150799,0.506667,0.114466,0.506667,0.102522,0.506667,-0.227128,0.506667,All
0.157918,0.513333,0.142418,0.513333,0.1145,0.513333,-0.184158,0.513333,All
0.161438,0.52,0.169333,0.52,0.144015,0.52,-0.140817,0.52,All
0.161919,0.526667,0.173065,0.526667,0.1635,0.526667,-0.125832,0.526667,All
0.18322,0.533333,0.178914,0.533333,0.165558,0.533333,-0.120234,0.533333,All
0.184738,0.54,0.183477,0.54,0.187826,0.54,-0.104444,0.54,All
0.225292,0.546667,0.186208,0.546667,0.200665,0.546667,-0.103425,0.546667,All
0.238825,0.553333,0.20677,0.553333,0.201223,0.553333,-0.0425472,0.553333,All
0.265998,0.56,0.228504,0.56,0.297099,0.56,-0.0256863,0.56,All
0.291106,0.566667,0.259884,0.566667,0.302211,0.566667,0.00593843,0.566667,All
0.31586,0.573333,0.310048,0.573333,0.32617,0.573333,0.0209328,0.573333,All
0.362628,0.58,0.31637,0.58,0.330814,0.58,0.0633231,0.58,All
0.364406,0.586667,0.340367,0.586667,0.351345,0.586667,0.0814389,0.586667,All
0.371543,0.593333,0.35384,0.593333,0.353279,0.593333,0.0850096,0.593333,All
0.373032,0.6,0.355834,0.6,0.354885,0.6,0.0850262,0.6,All
0.422653,0.606667,0.373495,0.606667,0.395866,0.606667,0.0893255,0.606667,All
0.43911,0.613333,0.3751,0.613333,0.40754,0.613333,0.0908638,0.613333,All
0.463483,0.62,0.403964,0.62,0.410704,0.62,0.0924038,0.62,All
0.468934,0.626667,0.406103,0.626667,0.412604,0.626667,0.13956,0.626667,All
0.471802,0.633333,0.420778,0.633333,0.430603,0.633333,0.150632,0.633333,All
0.508716,0.64,0.42101,0.64,0.437725,0.64,0.187098,0.64,All
0.584731,0.646667,0.424192,0.646667,0.438198,0.646667,0.19124,0.646667,All
0.607261,0.653333,0.460734,0.653333,0.448025,0.653333,0.240916,0.653333,All
0.609321,0.66,0.46961,0.66,0.473597,0.66,0.256252,0.66,All
0.663172,0.666667,0.472564,0.666667,0.503502,0.666667,0.283796,0.666667,All
0.684107,0.673333,0.486489,0.673333,0.524581,0.673333,0.30505,0.673333,All
0.727918,0.68,0.490692,0.68,0.529156,0.68,0.381481,0.68,All
0.785151,0.686667,0.540328,0.686667,0.544877,0.686667,0.438652,0.686667,All
0.799117,0.693333,0.542292,0.693333,0.562566,0.693333,0.532886,0.693333,All
0.799558,0.7,0.555921,0.7,0.564617,0.7,0.60943,0.7,All
0.810254,0.706667,0.580813,0.706667,0.568366,0.706667,0.686769,0.706667,All
0.828352,0.713333,0.621465,0.713333,0.585783,0.713333,0.719195,0.713333,All
0.843827,0.72,0.628325,0.72,0.587846,0.72,0.731386,0.72,All
0.872358,0.726667,0.645081,0.726667,0.640015,0.726667,0.733399,0.726667,All
0.897064,0.733333,0.662903,0.733333,0.659094,0.733333,0.752078,0.733333,All
0.926852,0.74,0.678258,0.74,0.688797,0.74,0.846819,0.74,All
0.927323,0.746667,0.697726,0.746667,0.691815,0.746667,0.858174,0.746667,All
0.943813,0.753333,0.701219,0.753333,0.709787,0.753333,0.868346,0.753333,All
0.957926,0.76,0.724679,0.76,0.748329,0.76,0.868477,0.76,All
0.971571,0.766667,0.750429,0.766667,0.776371,0.766667,0.895217,0.766667,All
1.03057,0.773333,0.770509,0.773333,0.786706,0.773333,0.917742,0.773333,All
1.03079,0.78,0.805963,0.78,0.815206,0.78,0.918906,0.78,All
1.0346,0.786667,0.807738,0.786667,0.822188,0.786667,0.919139,0.786667,All
1.04089,0.793333,0.848783,0.793333,0.869292,0.793333,0.931295,0.793333,All
1.04805,0.8,0.849123,0.8,0.888381,0.8,0.937834,0.8,All
1.10812,0.806667,0.864636,0.806667,0.902071,0.806667,0.938603,0.806667,All
1.11948,0.813333,0.909065,0.813333,0.934021,0.813333,0.951972,0.813333,All
1.13331,0.82,0.938922,0.82,0.968055,0.82,1.02593,0.82,All
1.1344,0.826667,0.971693,0.826667,1.07955,0.826667,1.05369,0.826667,All
1.16792,0.833333,0.972569,0.833333,1.11145,0.833333,1.11223,0.833333,All
1.16956,0.84,1.00143,0.84,1.12248,0.84,1.13552,0.84,All
1.18989,0.846667,1.01467,0.846667,1.12821,0.846667,1.13653,0.846667,All
1.22616,0.853333,1.09984,0.853333,1.15378,0.853333,1.14619,0.853333,All
1.24505,0.86,1.12185,0.86,1.18147,0.86,1.17829,0.86,All
1.24531,0.866667,1.17939,0.866667,1.1846,0.866667,1.2407,0.866667,All
1.24793,0.873333,1.19158,0.873333,1.19276,0.873333,1.25144,0.873333,All
1.26224,0.88,1.1951,0.88,1.24686,0.88,1.30858,0.88,All
1.28736,0.886667,1.25197,0.886667,1.26937,0.886667,1.32363,0.886667,All
1.29225,0.893333,1.25647,0.893333,1.27136,0.893333,1.35746,0.893333,All
1.3132,0.9,1.26942,0.9,1.30398,0.9,1.3632,0.9,All
1.33495,0.906667,1.33178,0.906667,1.31754,0.906667,1.45799,0.906667,All
1.35417,0.913333,1.41189,0.913333,1.33334,0.913333,1.50697,0.913333,All
1.3567,0.92,1.44385,0.92,1.34801,0.92,1.53173,0.92,All
1.38935,0.926667,1.48117,0.926667,1.34887,0.926667,1.54356,0.926667,All
1.40324,0.933333,1.50876,0.933333,1.37393,0.933333,1.55792,0.933333,All
1.40633,0.94,1.54436,0.94,1.38806,0.94,1.58092,0.94,All
1.45974,0.946667,1.57856,0.946667,1.39172,0.946667,1.60407,0.946667,All
1.48079,0.953333,1.63128,0.953333,1.51391,0.953333,1.63687,0.953333,All
1.54807,0.96,1.70257,0.96,1.53309,0.96,1.64639,0.96,All
1.58592,0.966667,1.81455,0.966667,1.5783,0.966667,1.66497,0.966667,All
1.62286,0.973333,1.86235,0.973333,1.7857,0.973333,1.72351,0.973333,All
1.63775,0.98,1.9144,0.98,2.02198,0.98,1.75469,0.98,All
1.65069,0.986667,2.32168,0.986667,2.16091,0.986667,1.81038,0.986667,All
1.6715,0.993333,2.35883,0.993333,2.34907,0.993333,1.99597,0.993333,All
1.77099,1,2.6268,1,3.36985,1,2.39312,1,All
4,1,4,1,4,1,4,1,All
