trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
92.2,9.7551,11.327,0.725071,9.7551,11.327,92.2,3.97162,3.69407,0.725071,3.97162,3.69407,92.2,3.56646,3.39052,0.725071,3.56646,3.39052,92.2,2.95637,2.93017,0.725071,2.95637,2.93017,All
92.8333,9.89437,11.375,0.730051,9.89437,11.375,92.8333,3.93604,3.68476,0.730051,3.93604,3.68476,92.8333,3.54643,3.38684,0.730051,3.54643,3.38684,92.8333,2.9251,2.92318,0.730051,2.9251,2.92318,All
93.4667,10.0336,11.4231,0.735032,10.0336,11.4231,93.4667,3.90047,3.67545,0.735032,3.90047,3.67545,93.4667,3.52641,3.38316,0.735032,3.52641,3.38316,93.4667,2.89384,2.9162,0.735032,2.89384,2.9162,All
94.1,10.1729,11.4711,0.740013,10.1729,11.4711,94.1,3.86489,3.66614,0.740013,3.86489,3.66614,94.1,3.50639,3.37947,0.740013,3.50639,3.37947,94.1,2.86257,2.90922,0.740013,2.86257,2.90922,All
94.7333,10.3122,11.5191,0.744993,10.3122,11.5191,94.7333,3.82932,3.65683,0.744993,3.82932,3.65683,94.7333,3.48636,3.37579,0.744993,3.48636,3.37579,94.7333,2.83131,2.90223,0.744993,2.83131,2.90223,All
95.3667,10.4514,11.5672,0.749974,10.4514,11.5672,95.3667,3.79374,3.64752,0.749974,3.79374,3.64752,95.3667,3.46634,3.37211,0.749974,3.46634,3.37211,95.3667,2.80005,2.89525,0.749974,2.80005,2.89525,All
96,10.5907,11.6152,0.754954,10.5907,11.6152,96,3.75817,3.63821,0.754954,3.75817,3.63821,96,3.44631,3.36842,0.754954,3.44631,3.36842,96,2.76878,2.88826,0.754954,2.76878,2.88826,All
96.6333,10.73,11.6632,0.759935,10.73,11.6632,96.6333,3.72259,3.6289,0.759935,3.72259,3.6289,96.6333,3.42629,3.36474,0.759935,3.42629,3.36474,96.6333,2.73752,2.88128,0.759935,2.73752,2.88128,All
97.2667,10.8692,11.7113,0.764916,10.8692,11.7113,97.2667,3.68702,3.61959,0.764916,3.68702,3.61959,97.2667,3.40627,3.36106,0.764916,3.40627,3.36106,97.2667,2.70625,2.87429,0.764916,2.70625,2.87429,All
97.9,11.0085,11.7593,0.769896,11.0085,11.7593,97.9,3.65144,3.61028,0.769896,3.65144,3.61028,97.9,3.38624,3.35737,0.769896,3.38624,3.35737,97.9,2.67499,2.86731,0.769896,2.67499,2.86731,All
98.5333,11.1478,11.8073,0.774877,11.1478,11.8073,98.5333,3.61587,3.60097,0.774877,3.61587,3.60097,98.5333,3.36622,3.35369,0.774877,3.36622,3.35369,98.5333,2.64373,2.86032,0.774877,2.64373,2.86032,All
99.1667,11.2871,11.8554,0.779857,11.2871,11.8554,99.1667,3.58029,3.59166,0.779857,3.58029,3.59166,99.1667,3.34619,3.35001,0.779857,3.34619,3.35001,99.1667,2.61246,2.85334,0.779857,2.61246,2.85334,All
99.8,11.4263,11.9034,0.784838,11.4263,11.9034,99.8,3.54472,3.58235,0.784838,3.54472,3.58235,99.8,3.32617,3.34632,0.784838,3.32617,3.34632,99.8,2.5812,2.84636,0.784838,2.5812,2.84636,All
100.433,11.5656,11.9514,0.789819,11.5656,11.9514,100.433,3.50914,3.57304,0.789819,3.50914,3.57304,100.433,3.30615,3.34264,0.789819,3.30615,3.34264,100.433,2.54993,2.83937,0.789819,2.54993,2.83937,All
101.067,11.7049,11.9995,0.794799,11.7049,11.9995,101.067,3.47357,3.56373,0.794799,3.47357,3.56373,101.067,3.28612,3.33896,0.794799,3.28612,3.33896,101.067,2.51867,2.83239,0.794799,2.51867,2.83239,All
101.7,11.8441,12.0475,0.79978,11.8441,12.0475,101.7,3.43799,3.55443,0.79978,3.43799,3.55443,101.7,3.2661,3.33527,0.79978,3.2661,3.33527,101.7,2.4874,2.8254,0.79978,2.4874,2.8254,All
102.333,11.9834,12.0955,0.80476,11.9834,12.0955,102.333,3.40242,3.54512,0.80476,3.40242,3.54512,102.333,3.24607,3.33159,0.80476,3.24607,3.33159,102.333,2.45614,2.81842,0.80476,2.45614,2.81842,All
102.967,12.1227,12.1436,0.809741,12.1227,12.1436,102.967,3.36684,3.53581,0.809741,3.36684,3.53581,102.967,3.22605,3.32791,0.809741,3.22605,3.32791,102.967,2.42488,2.81143,0.809741,2.42488,2.81143,All
103.6,12.2619,12.1916,0.814722,12.2619,12.1916,103.6,3.33127,3.5265,0.814722,3.33127,3.5265,103.6,3.20603,3.32422,0.814722,3.20603,3.32422,103.6,2.39361,2.80445,0.814722,2.39361,2.80445,All
104.233,12.4101,12.2396,0.819702,12.4101,12.2396,104.233,3.30354,3.51719,0.819702,3.30354,3.51719,104.233,3.19717,3.32054,0.819702,3.19717,3.32054,104.233,2.40521,2.79746,0.819702,2.40521,2.79746,All
104.867,12.5735,12.2877,0.824683,12.5735,12.2877,104.867,3.28928,3.50788,0.824683,3.28928,3.50788,104.867,3.20744,3.31686,0.824683,3.20744,3.31686,104.867,2.49029,2.79048,0.824683,2.49029,2.79048,All
105.5,12.737,12.3357,0.829663,12.737,12.3357,105.5,3.27501,3.49857,0.829663,3.27501,3.49857,105.5,3.21772,3.31317,0.829663,3.21772,3.31317,105.5,2.57537,2.78349,0.829663,2.57537,2.78349,All
106.133,12.9004,12.3837,0.834644,12.9004,12.3837,106.133,3.26075,3.48926,0.834644,3.26075,3.48926,106.133,3.228,3.30949,0.834644,3.228,3.30949,106.133,2.66045,2.77651,0.834644,2.66045,2.77651,All
106.767,13.0638,12.4318,0.839625,13.0638,12.4318,106.767,3.24648,3.47995,0.839625,3.24648,3.47995,106.767,3.23827,3.30581,0.839625,3.23827,3.30581,106.767,2.74554,2.76953,0.839625,2.74554,2.76953,All
107.4,13.2273,12.4798,0.844605,13.2273,12.4798,107.4,3.23221,3.47064,0.844605,3.23221,3.47064,107.4,3.24855,3.30212,0.844605,3.24855,3.30212,107.4,2.83062,2.76254,0.844605,2.83062,2.76254,All
108.033,13.3907,12.5278,0.849586,13.3907,12.5278,108.033,3.21795,3.46133,0.849586,3.21795,3.46133,108.033,3.25883,3.29844,0.849586,3.25883,3.29844,108.033,2.9157,2.75556,0.849586,2.9157,2.75556,All
108.667,13.5541,12.5759,0.854566,13.5541,12.5759,108.667,3.20368,3.45202,0.854566,3.20368,3.45202,108.667,3.2691,3.29476,0.854566,3.2691,3.29476,108.667,3.00078,2.74857,0.854566,3.00078,2.74857,All
109.3,13.7176,12.6239,0.859547,13.7176,12.6239,109.3,3.18942,3.44271,0.859547,3.18942,3.44271,109.3,3.27938,3.29107,0.859547,3.27938,3.29107,109.3,3.08586,2.74159,0.859547,3.08586,2.74159,All
109.933,13.881,12.6719,0.864528,13.881,12.6719,109.933,3.17515,3.4334,0.864528,3.17515,3.4334,109.933,3.28966,3.28739,0.864528,3.28966,3.28739,109.933,3.17094,2.7346,0.864528,3.17094,2.7346,All
110.567,14.0445,12.72,0.869508,14.0445,12.72,110.567,3.16089,3.42409,0.869508,3.16089,3.42409,110.567,3.29994,3.28371,0.869508,3.29994,3.28371,110.567,3.25602,2.72762,0.869508,3.25602,2.72762,All
111.2,14.2079,12.768,0.874489,14.2079,12.768,111.2,3.14662,3.41478,0.874489,3.14662,3.41478,111.2,3.31021,3.28002,0.874489,3.31021,3.28002,111.2,3.3411,2.72063,0.874489,3.3411,2.72063,All
111.833,14.3713,12.816,0.879469,14.3713,12.816,111.833,3.13236,3.40547,0.879469,3.13236,3.40547,111.833,3.32049,3.27634,0.879469,3.32049,3.27634,111.833,3.42618,2.71365,0.879469,3.42618,2.71365,All
112.467,14.2626,12.8641,0.88445,14.2626,12.8641,112.467,3.12361,3.39616,0.88445,3.12361,3.39616,112.467,3.31818,3.27266,0.88445,3.31818,3.27266,112.467,3.35882,2.70666,0.88445,3.35882,2.70666,All
113.1,14.0566,12.9121,0.889431,14.0566,12.9121,113.1,3.11683,3.38685,0.889431,3.11683,3.38685,113.1,3.31138,3.26897,0.889431,3.31138,3.26897,113.1,3.23701,2.69968,0.889431,3.23701,2.69968,All
113.733,13.8507,12.9601,0.894411,13.8507,12.9601,113.733,3.11005,3.37754,0.894411,3.11005,3.37754,113.733,3.30458,3.26529,0.894411,3.30458,3.26529,113.733,3.11521,2.6927,0.894411,3.11521,2.6927,All
114.367,13.6448,13.0082,0.899392,13.6448,13.0082,114.367,3.10327,3.36823,0.899392,3.10327,3.36823,114.367,3.29778,3.26161,0.899392,3.29778,3.26161,114.367,2.9934,2.68571,0.899392,2.9934,2.68571,All
115,13.4388,13.0562,0.904372,13.4388,13.0562,115,3.09649,3.35892,0.904372,3.09649,3.35892,115,3.29098,3.25792,0.904372,3.29098,3.25792,115,2.87159,2.67873,0.904372,2.87159,2.67873,All
115.633,13.2329,13.1042,0.909353,13.2329,13.1042,115.633,3.08971,3.34961,0.909353,3.08971,3.34961,115.633,3.28417,3.25424,0.909353,3.28417,3.25424,115.633,2.74978,2.67174,0.909353,2.74978,2.67174,All
116.267,13.0269,13.1523,0.914334,13.0269,13.1523,116.267,3.08293,3.3403,0.914334,3.08293,3.3403,116.267,3.27737,3.25056,0.914334,3.27737,3.25056,116.267,2.62798,2.66476,0.914334,2.62798,2.66476,All
116.9,12.821,13.2003,0.919314,12.821,13.2003,116.9,3.07615,3.33099,0.919314,3.07615,3.33099,116.9,3.27057,3.24687,0.919314,3.27057,3.24687,116.9,2.50617,2.65777,0.919314,2.50617,2.65777,All
117.533,12.6151,13.2483,0.924295,12.6151,13.2483,117.533,3.06938,3.32168,0.924295,3.06938,3.32168,117.533,3.26377,3.24319,0.924295,3.26377,3.24319,117.533,2.38436,2.65079,0.924295,2.38436,2.65079,All
118.167,12.4091,13.2964,0.929275,12.4091,13.2964,118.167,3.0626,3.31237,0.929275,3.0626,3.31237,118.167,3.25697,3.23951,0.929275,3.25697,3.23951,118.167,2.26256,2.6438,0.929275,2.26256,2.6438,All
118.8,12.923,13.3444,0.934256,12.923,13.3444,118.8,3.12811,3.30306,0.934256,3.12811,3.30306,118.8,3.24111,3.23582,0.934256,3.24111,3.23582,118.8,2.31447,2.63682,0.934256,2.31447,2.63682,All
