Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.81647,0.0622518,22.6955,0.0353997,22.7248,0.0202242,36.2362,18076.7,All
9.96977,0.0933776,24.1152,0.0353997,68.1642,0.00173801,36.2362,9038.34,All
11.1231,0.130729,25.5349,0.106199,113.604,0.000790006,36.2362,18076.7,All
12.2764,0.124504,26.9546,0.141599,159.043,0,36.2362,90383.4,All
13.4297,0.0622518,28.3743,0.106199,204.483,0.000316002,36.2362,81345.1,All
14.583,0.0996028,29.794,0.106199,249.922,0.000158001,36.2362,135575,All
15.7363,0.0871525,31.2136,0.0859707,295.361,0,36.2362,216920,All
16.8896,0.0933776,32.6333,0.0859707,340.801,0,36.2362,316342,All
18.0429,0.0809273,34.053,0.0252855,386.24,0.000158001,36.2362,171728,All
19.1962,0.0435762,35.4727,0.0151713,431.68,0,36.2362,117498,All
20.3495,0.0311259,36.8924,0.0050571,477.119,0,36.2362,117498,All
21.5028,0.0186755,38.3121,0.0050571,522.559,0,36.2362,27115,All
22.6561,0.00622518,39.7317,0.0050571,567.998,0.000316002,36.2362,36153.4,All
