pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.36909,0.299763,-3.0497,0.00614468,-1.60699,0.217415,All
-0.96136,0.449644,-2.86285,0.00614468,-1.21348,0.341652,All
-0.55363,0.47962,-2.676,0.0307234,-0.819964,0.279533,All
-0.1459,0.299763,-2.48915,0.0491575,-0.426451,0.434829,All
0.26183,0.359715,-2.30229,0.0245787,-0.0329378,0.248474,All
0.66956,0.209834,-2.11544,0.0614468,0.360576,0.40377,All
1.07729,0.299763,-1.92859,0.0675915,0.754089,0.279533,All
1.48502,0.179858,-1.74174,0.098315,1.1476,0.341652,All
1.89275,0.0899288,-1.55488,0.135183,1.54112,0.155296,All
2.30048,0.0299763,-1.36803,0.0798809,1.93463,0.0931777,All
,,-1.18118,0.233498,,,All
,,-0.994328,0.251932,,,All
,,-0.807476,0.184341,,,All
,,-0.620624,0.30109,,,All
,,-0.433771,0.337958,,,All
,,-0.246919,0.356392,,,All
,,-0.0600669,0.411694,,,All
,,0.126785,0.362536,,,All
,,0.313638,0.448562,,,All
,,0.50049,0.454707,,,All
,,0.687342,0.374826,,,All
,,0.874194,0.350247,,,All
,,1.06105,0.251932,,,All
,,1.2479,0.178196,,,All
,,1.43475,0.208919,,,All
,,1.6216,0.0737362,,,All
,,1.80846,0.116749,,,All
,,1.99531,0.0368681,,,All
,,2.18216,0.0245787,,,All
,,2.36901,0.0122894,,,All
