iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,460.427,1,13.5117,22.1648,24.5497,13.16,0.14786,0.779218,0.29562,0.258621,1.02172,0.273489,0.893348
2,458.675,1,13.5579,22.6731,24.1075,12.856,0.320223,0.706895,0.29562,0.247238,0.954963,0.242602,0.895796
3,474.955,1,13.4822,22.9264,23.7383,14.5404,0.336235,0.751864,0.29562,0.262056,1.05382,0.248043,0.885139
4,469.735,1,13.4209,23.4599,23.8813,13.9209,0.226137,0.770219,0.29562,0.254111,1.13098,0.249217,0.862377
5,465.328,1,13.4593,25.3737,23.6611,13.3698,0.0837289,0.804534,0.29562,0.258268,1.10576,0.249715,0.932087
6,470.311,1,13.5131,22.1361,23.7091,13.4914,2.22045e-16,0.84805,0.29562,0.260258,1.29237,0.236494,0.95672
7,475.208,1,13.5839,21.0486,24.4048,15.3208,0.0658785,0.819248,0.29562,0.268223,1.3559,0.240012,1.01341
8,475.872,1,13.5669,24.7613,23.8064,14.4384,0.0132751,0.846172,0.29562,0.26654,1.38736,0.225384,1.07656
9,468.764,1,13.4772,29.6876,23.1307,16.1313,0.0483326,0.827114,0.29562,0.250333,1.28141,0.226748,0.978622
10,463.822,1,13.4191,28.378,23.7867,14.8917,2.22045e-16,0.83308,0.29562,0.261558,1.18643,0.219442,0.985731
11,472.413,1,13.4123,24.7733,23.6695,13.4769,2.22045e-16,0.876954,0.29562,0.263252,1.17316,0.232209,0.902895
12,474.416,1,13.4934,25.3541,23.8153,14.083,0.0290101,0.877281,0.29562,0.256676,1.12761,0.244877,0.909298
13,471.986,1,13.4661,23.7616,23.5937,15.1741,0.0106551,0.865437,0.29562,0.265295,1.06907,0.253841,0.952819
14,477.582,1,13.3456,22.6149,24.3008,13.118,0.33352,0.74351,0.29562,0.253707,1.18241,0.250685,0.932509
15,471.749,1,13.5683,19.8736,24.4988,13.427,0.405031,0.668862,0.29562,0.267825,1.12439,0.264233,1.01173
16,467.567,1,13.4337,19.5728,24.3946,15.6317,0.356534,0.659198,0.29562,0.256643,1.16256,0.285064,1.00123
17,464.823,1,13.4882,20.5936,24.3951,16.5515,0.252344,0.691621,0.29562,0.261819,1.2453,0.284389,0.936291
18,464.668,1,13.4771,22.0119,24.0835,17.2806,2.22045e-16,0.816936,0.29562,0.249149,1.28237,0.263351,0.926419
19,466.824,1,13.5464,24.9597,23.8005,16.1646,0.0751516,0.797538,0.29562,0.254772,1.29982,0.273243,0.84784
20,472.425,1,13.5138,24.3798,24.1143,15.9272,2.22045e-16,0.856865,0.29562,0.256123,1.22403,0.28347,0.857527
21,472.815,1,13.4935,21.8993,24.1033,17.0007,2.22045e-16,0.73878,0.34158,0.262447,1.30647,0.279132,0.88762
22,470.321,1,13.4682,21.3618,24.2056,15.7945,2.22045e-16,0.731126,0.34158,0.260293,1.41036,0.266384,0.843918
23,465.312,1,13.4729,22.7502,24.56,16.5049,2.22045e-16,0.717404,0.34158,0.258487,1.27363,0.274111,0.858131
24,464.662,1,13.3398,20.1418,24.6476,15.8449,2.22045e-16,0.721019,0.34158,0.246384,1.30304,0.275677,0.801872
25,468.548,1,13.5329,18.1407,24.3327,15.2267,2.22045e-16,0.756765,0.34158,0.256807,1.08503,0.275434,0.823768
26,453.946,1,13.6163,19.0658,24.7417,14.8848,0.141457,0.655481,0.34158,0.249226,1.04763,0.280196,0.778511
