parameter,value
Cl_pop,20.1858832061391
beta_Cl_LMP_1,0.229200562681207
beta_Cl_logtWTKG,1.21981388776182
beta_Cl_tSCRMGDL,-0.445426241829092
V1_pop,11.6613916069658
beta_V1_logtPROGDL,-1.84268137874574
beta_V1_tSCRMGDL,0.596269075182093
Q_pop,23.4
beta_Q_logtIMCKGM2,4.76754123854951
beta_Q_logtRAL,-0.363869401480426
V2_pop,8.7477614839391
beta_V2_SEXF_1,0.881843141824155
omega_Cl,0.15716222552512
omega_V1,0.243939060209652
omega_Q,0.19605260518829
omega_V2,0.589442330313598
a,1.59274353994192
b,0.0424764084733764
