iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,531.283,1,20.6438,23.7984,13.2449,1.5,-0.415546,1.5,1.5,1.5,1.5
2,527.303,1,19.6485,17.7277,17.2,1.67244,-0.388342,1.46202,1.46202,1.46202,1.46202
3,529.947,1,19.74,18.0237,18.1285,1.70433,-0.390679,1.425,1.425,1.425,1.425
4,539.638,1,19.9909,17.9633,18.8696,1.83936,-0.402634,1.38892,1.38892,1.38892,1.38892
5,537.915,1,19.1045,18.384,18.63,1.82863,-0.365995,1.35375,1.35375,1.35375,1.35375
6,531.89,1,19.4406,18.1371,20.0613,1.78693,-0.385993,1.31947,1.32858,1.31947,1.31947
7,534.086,1,19.2864,18.2649,18.8838,1.84126,-0.375422,1.28606,1.29494,1.28606,1.28606
8,531.874,1,19.5559,17.4027,20.4457,1.79464,-0.383259,1.2535,1.26215,1.2535,1.2535
9,520.859,1,19.5977,17.6551,19.177,1.78453,-0.388776,1.22176,1.23019,1.22176,1.22176
10,523.792,1,20.3802,17.4606,17.5604,1.83803,-0.410907,1.19082,1.19904,1.19082,1.19082
11,521.994,1,19.8304,17.5904,18.5057,1.84853,-0.396397,1.16067,1.16868,1.16067,1.16067
12,515.694,1,20.3476,17.6178,19.5722,1.80173,-0.419336,1.13128,1.20926,1.13128,1.13128
13,514.427,1,19.9149,17.7384,18.5886,1.80386,-0.393408,1.10264,1.17864,1.10264,1.10264
14,505.929,1,19.4688,18.0552,17.8426,1.75818,-0.376256,1.07472,1.1488,1.07472,1.07472
15,512.409,1,19.1839,18.0535,16.4331,1.78479,-0.372136,1.04751,1.17994,1.04751,1.04751
16,510.879,1,19.5801,18.0687,18.501,1.77333,-0.379425,1.02098,1.21508,1.02098,1.02098
17,517.224,1,19.6387,18.0791,19.3217,1.83732,-0.387627,0.995131,1.21826,0.995131,0.995131
18,509.296,1,19.7852,17.9731,18.5139,1.7908,-0.38965,0.969933,1.37748,0.969933,0.969933
19,507.736,1,19.2477,18.2143,17.9822,1.7566,-0.363857,0.945374,1.34261,0.945374,0.945374
20,508.496,1,19.2661,18.0697,17.4444,1.74692,-0.372208,0.921437,1.40883,0.921437,0.921437
21,504.204,1,19.6062,18.1237,18.9721,1.71345,-0.387174,0.898105,1.43669,0.898105,0.898105
22,509.585,1,19.5417,18.2941,19.8835,1.81066,-0.389521,0.875365,1.44605,0.875365,0.875365
23,503.587,1,19.2848,18.4155,17.2507,1.77193,-0.371047,0.8532,1.4923,0.8532,0.8532
24,503.39,1,20.026,18.1891,18.9212,1.76774,-0.40637,0.831597,1.45451,0.831597,0.831597
25,502.303,1,19.1767,17.6929,17.9706,1.72476,-0.364782,0.81054,1.41769,0.830609,0.883852
26,495.927,1,18.9338,18.1076,17.2807,1.73725,-0.346413,0.790017,1.38179,0.809577,0.861472
27,499.082,1,18.9575,17.706,16.3509,1.75132,-0.350852,0.770013,1.39288,0.834559,0.839659
28,495.498,1,19.949,18.0031,15.9643,1.73847,-0.403938,0.750516,1.35761,0.820938,0.818399
29,496.518,1,19.7193,18.9454,16.4797,1.76007,-0.397697,0.731512,1.36658,0.800151,0.797676
30,494.777,1,20.069,19.2549,16.9191,1.79329,-0.406722,0.71299,1.33198,0.779891,0.777479
31,492.552,1,20.1111,19.451,17.8382,1.78141,-0.409874,0.694937,1.29825,0.771697,0.757792
32,493.353,1,19.9161,19.6103,18.9139,1.78807,-0.392226,0.677341,1.28502,0.770518,0.738605
33,486.762,1,19.625,19.607,17.8835,1.74279,-0.387146,0.66019,1.29322,0.784445,0.769408
34,501.389,1,18.8947,18.826,18.5887,1.84108,-0.355066,0.643474,1.28582,0.803191,0.787237
35,507.515,1,18.8537,18.3835,17.9301,1.90767,-0.352347,0.627181,1.28711,0.817429,0.789309
36,504.743,1,19.1039,18.7264,17.5321,1.92411,-0.378016,0.6113,1.29405,0.822407,0.769323
37,503.308,1,19.8543,18.5304,16.9596,1.90603,-0.402928,0.595821,1.26128,0.833236,0.749844
38,502.279,1,19.7798,18.6104,17.9837,1.91777,-0.395316,0.580735,1.27205,0.812138,0.730857
39,499.503,1,19.6609,18.0285,18.8274,1.86921,-0.388074,0.56603,1.43683,0.834623,0.712352
40,497.013,1,19.691,18.3667,17.409,1.84172,-0.384178,0.551698,1.40045,0.846289,0.743246
41,493.112,1,19.9593,18.4403,17.4672,1.82201,-0.391212,0.537729,1.36499,0.845194,0.73117
42,492.516,1,19.6294,18.7592,16.0649,1.84774,-0.37877,0.524113,1.33043,0.823794,0.712656
43,494.185,1,19.3627,18.4903,16.5842,1.85347,-0.38104,0.510842,1.29674,0.817416,0.757884
44,486.627,1,19.5605,18.4677,16.5479,1.80654,-0.383452,0.497908,1.26391,0.804687,0.738694
45,483.11,1,19.4215,18.8737,15.2125,1.7654,-0.376546,0.4853,1.32513,0.788543,0.71999
46,485.579,1,19.31,19.4864,15.5759,1.79233,-0.384844,0.473012,1.29158,0.768577,0.758851
47,485.442,1,19.3733,19.6447,16.8011,1.82489,-0.382631,0.461035,1.25887,0.749116,0.766725
48,485.908,1,19.6843,19.6276,15.029,1.83439,-0.386503,0.449362,1.227,0.751614,0.747311
49,478.987,1,19.3951,19.3299,14.7871,1.79066,-0.376437,0.437984,1.19593,0.774109,0.728389
50,473.287,1,19.2249,19.5411,15.4373,1.77672,-0.372826,0.426894,1.16565,0.774552,0.709946
51,473.43,1,20.1955,19.7336,17.4622,1.78261,-0.410099,0.416084,1.15864,0.770178,0.69197
52,474.298,1,19.2236,20.6897,16.7007,1.76531,-0.371073,0.405549,1.25352,0.750677,0.674449
53,480.328,1,19.2544,20.4128,16.5701,1.82243,-0.366874,0.39528,1.41298,0.735803,0.657371
54,484.245,1,18.9684,20.4156,16.4192,1.85482,-0.363688,0.385271,1.45178,0.734864,0.640726
55,482.975,1,19.3412,20.2264,16.0621,1.85883,-0.372282,0.375516,1.46571,0.721389,0.624503
56,486.986,1,19.8986,20.5444,15.9201,1.91554,-0.385027,0.366008,1.4286,0.735321,0.60869
57,473.71,1,20.0837,20.4964,15.4471,1.86704,-0.39617,0.35674,1.42178,0.716702,0.593277
58,484.23,1,20.1126,20.9015,15.4431,1.92855,-0.393832,0.347707,1.38578,0.710812,0.578255
59,487.312,1,20.0134,21.0235,15.5448,1.97024,-0.39269,0.338903,1.35069,0.737669,0.579984
60,480.144,1,20.0109,20.843,14.8756,1.98262,-0.40807,0.330322,1.31649,0.734427,0.565298
61,481.806,1,19.9975,19.9825,15.3386,1.94904,-0.406726,0.321958,1.28316,0.751875,0.577884
62,489.249,1,19.7438,20.0803,14.4743,1.97645,-0.393386,0.313806,1.2801,0.744779,0.628534
63,475.211,1,19.9182,19.8096,14.8555,1.9264,-0.397944,0.30586,1.24769,0.751059,0.612619
64,474.629,1,19.2877,19.9408,13.2918,1.87762,-0.364022,0.298116,1.24195,0.751727,0.620503
65,472.178,1,19.5581,19.9505,13.5238,1.83008,-0.38132,0.290567,1.27349,0.772805,0.604791
66,469.418,1,19.5255,20.0701,14.8058,1.82863,-0.377583,0.28321,1.24125,0.757336,0.589478
67,477.383,1,19.5515,20.5427,15.1946,1.84922,-0.381621,0.276039,1.34101,0.767413,0.626546
68,476.983,1,19.4317,20.4522,15.3368,1.86508,-0.376581,0.269049,1.30705,0.771163,0.615064
69,478.511,1,19.6082,20.9938,14.1873,1.88046,-0.381849,0.262237,1.30935,0.751637,0.616911
70,474.203,1,19.7082,21.1666,15.4503,1.86916,-0.38889,0.255597,1.28744,0.732605,0.601291
71,473.406,1,19.8142,21.1163,15.8166,1.82446,-0.393689,0.249125,1.3746,0.736055,0.608179
72,455.989,1,20.2297,21.4793,15.9859,1.77826,-0.415108,0.242817,1.3398,0.723649,0.59278
73,464.826,1,19.8336,21.0255,16.4926,1.80664,-0.400592,0.236669,1.30587,0.728939,0.57777
