pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.91552,0.0698303,-224.448,0.000754152,-3.99425,0.0813904,All
-2.39044,0.302598,-209.224,0,-3.39358,0.122086,All
-1.86535,0.302598,-194,0,-2.79291,0.162781,All
-1.34027,0.581919,-178.775,0.000754152,-2.19224,0.264519,All
-0.815188,0.372428,-163.551,0,-1.59157,0.386604,All
-0.290106,0.232768,-148.326,0.00113123,-0.990895,0.325562,All
0.234976,0.139661,-133.102,0.00263953,-0.390223,0.183128,All
0.760059,0.0465535,-117.878,0.000754152,0.210448,0.203476,All
1.28514,0.0232768,-102.653,0.00286578,0.81112,0.0610428,All
1.81022,0.0232768,-87.429,0.00165913,1.41179,0.0406952,All
,,-72.2046,0.0015083,,,All
,,-56.9803,0.000754152,,,All
,,-41.7559,0.0015083,,,All
,,-26.5315,0.00452491,,,All
,,-11.3072,0.00460033,,,All
,,3.9172,0.0074661,,,All
,,19.1416,0.00301661,,,All
,,34.3659,0.00686278,,,All
,,49.5903,0.00520365,,,All
,,64.8147,0.00618404,,,All
,,80.039,0.00437408,,,All
,,95.2634,0.00218704,,,All
,,110.488,0.00309202,,,All
,,125.712,0.0015083,,,All
,,140.936,0,,,All
,,156.161,0.00226246,,,All
,,171.385,0,,,All
,,186.61,0,,,All
,,201.834,0,,,All
,,217.058,0.00226246,,,All
