parameter,value
Cl_pop,13.5217668327702
V1_pop,25.1876496551549
beta_V1_ANTU_1,-0.255426983890961
beta_V1_logtCLCRMLMIN,-1.41506311937736
beta_V1_logtPROGDL,-0.611541584385183
Q_pop,23.4
beta_Q_LMP_1,1.02003401890359
beta_Q_logtAGEA,1.40352326847501
beta_Q_logtALBGDL,19.1198930610007
beta_Q_logtPROGDL,-18.9651686762949
V2_pop,2.47977623214661
beta_V2_SEXF_1,4.88198126263621
beta_V2_logtHCM,40.0893545564622
beta_V2_logtRAL,0.226065328660648
omega_Cl,0.260160855864858
omega_V1,0.101955676045304
omega_Q,5.27365094644051e-8
omega_V2,6.1305376992485e-8
a,1.34938898674089
b,0.0418216470702606
