iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,679.241,1,13.5086,13.0769,23.8987,6.55784,1,0.3,1,1,1,1
2,626.826,1,13.8433,13.7144,27.7999,8.25593,1.14131,0.211067,0.274945,1.01651,0.575667,0.752772
3,589.717,1,13.877,14.624,27.5537,9.00063,1.31581,0.171006,0.238525,0.919309,0.502243,0.694234
4,561.487,1,13.4779,12.2661,27.2471,9.78814,1.38792,0.132227,0.237667,0.89721,0.468402,0.702792
5,536.335,1,13.3412,14.283,26.792,9.32539,1.43736,0.113699,0.252482,0.806394,0.368747,0.638755
6,515.364,1,13.4593,14.5633,27.1066,9.54441,1.52487,0.093693,0.255199,0.805402,0.332705,0.617533
7,516.42,1,13.5081,14.0986,26.8767,9.21449,1.55112,0.0871361,0.264182,0.892303,0.319447,0.700335
8,498.177,1,13.4854,16.2124,26.9886,9.80093,1.53997,0.0742041,0.263527,0.737199,0.344792,0.725663
9,497.702,1,13.483,15.9204,27.5394,9.78723,1.66136,0.0685554,0.252296,0.653523,0.353685,0.812865
10,495.634,1,13.2549,14.649,26.95,9.00953,1.62206,0.0687668,0.255187,0.715282,0.336405,0.731573
11,503.232,1,13.1912,16.5408,27.3806,9.03377,1.70085,0.0655487,0.258259,0.780828,0.329423,0.852844
12,496.195,1,13.4866,16.9041,26.8286,9.61712,1.59678,0.0641426,0.269405,0.74762,0.324336,0.924319
13,490.325,1,13.5575,18.2277,26.4579,9.05069,1.63824,0.0576054,0.266895,0.722709,0.344225,0.909196
14,491.547,1,13.5266,17.9556,26.2611,10.26,1.55921,0.0581805,0.268553,0.724401,0.35273,1.05426
15,482.928,1,13.4355,18.3109,26.7935,9.59677,1.50416,0.0576101,0.268666,0.64799,0.328337,1.08964
16,476.316,1,13.58,17.5072,26.9785,9.77516,1.39324,0.0615496,0.272908,0.593511,0.34121,0.993397
17,467.83,1,13.5952,17.2536,26.8515,10.2732,1.44992,0.0539236,0.262121,0.636098,0.3469,0.89348
18,465.816,1,13.6258,17.1564,27.0067,10.0549,1.57386,0.0464137,0.265924,0.672868,0.345948,0.819676
19,462.813,1,13.5347,15.8001,27.0463,10.6648,1.41567,0.050095,0.2546,0.709516,0.346388,0.919521
20,464.181,1,13.5352,17.0612,26.5874,11.1362,1.52021,0.047129,0.263863,0.709706,0.305825,0.916428
21,466.789,1,13.662,20.4481,26.415,11.2399,1.59384,0.0469917,0.271129,0.617698,0.309885,0.932295
22,461.505,1,13.5195,19.3078,26.2447,11.6016,1.43186,0.0495687,0.269153,0.678003,0.295131,0.986044
23,464.163,1,13.4896,21.5744,25.6246,11.8678,1.47299,0.0493648,0.262215,0.681066,0.292877,1.01959
24,461.822,1,13.5162,21.2727,25.508,11.6448,1.36896,0.054837,0.258395,0.681312,0.294395,0.959616
