Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.88716,0.0851776,12.9407,0.0214609,26.5931,0.0170622,4.41069,0.0447753,All
9.89862,0.184551,15.9516,0.0238454,74.5624,0.00404105,10.6641,0.0551081,All
10.9101,0.056785,18.9624,0.0810744,122.532,0.000748342,16.9176,0.0206655,All
11.9215,0.11357,21.9733,0.0929972,170.501,0.000449005,23.171,0.013777,All
12.933,0.056785,24.9841,0.0381527,218.47,0,29.4245,0.0114809,All
13.9445,0.0709813,27.9949,0.0286145,266.439,0,35.6779,0.00918468,All
14.9559,0.0993738,31.0058,0.0286145,314.409,0,41.9314,0.00918468,All
15.9674,0.0638832,34.0166,0.00953817,362.378,0,48.1848,0.00459234,All
16.9788,0.0993738,37.0275,0.00953817,410.347,0,54.4382,0.00114809,All
17.9903,0.11357,40.0383,0.00715363,458.317,0,60.6917,0.00114809,All
19.0018,0.0709813,43.0492,0.00238454,506.286,0,66.9451,0,All
20.0132,0.0425888,46.06,0.00953817,554.255,0,73.1986,0,All
21.0247,0.00709813,49.0709,0.00476908,602.224,0.000149668,79.452,0.00114809,All
