iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0.259513,1.01171,0.263295,0.888378
2,456.466,1,20.4068,24.3443,12.8882,1.57483,0.0416799,-0.403837,-2.8223,0.252942,0.986093,0.256628,0.879902
3,452.674,1,20.658,24.2525,13.5925,1.54202,0.0411001,-0.409434,-2.8223,0.246537,0.993016,0.25076,0.857623
4,456.478,1,20.2549,24.3412,14.0567,1.54202,0.0409086,-0.395685,-3.73813,0.240295,0.967872,0.280882,0.862212
5,450.666,1,20.4399,24.5242,12.7938,1.46231,0.0428743,-0.412475,-3.83598,0.23421,0.963021,0.27377,0.84038
6,443.087,1,20.6775,24.6138,12.2193,1.46223,0.040861,-0.419123,-3.15702,0.22828,0.938637,0.268055,0.819101
7,447.919,1,20.7093,24.7444,11.374,1.46221,0.0404493,-0.418844,-3.24779,0.227724,0.95632,0.270648,0.832292
8,448.669,1,21.0503,24.9876,12.7934,1.46227,0.0434517,-0.429312,-4.09808,0.230724,0.958189,0.263795,0.811218
9,454.623,1,20.5944,25.2663,13.2539,1.43634,0.0485813,-0.41035,-3.97173,0.230056,0.933927,0.284874,0.790678
10,457.075,1,20.5126,24.8907,12.6554,1.43631,0.0474226,-0.404755,-3.82384,0.228966,0.958719,0.277661,0.851937
11,461.243,1,20.4805,25.2672,13.0313,1.53557,0.0426821,-0.411665,-3.47671,0.232768,1.09505,0.270631,0.834813
12,455.166,1,20.4984,24.6896,13.0501,1.3702,0.0513037,-0.411507,-4.35659,0.226874,1.06733,0.263778,0.813675
13,463.891,1,20.0741,24.9581,12.3044,1.39212,0.0550549,-0.391207,-3.73971,0.239325,1.06302,0.267184,0.793072
14,462.499,1,20.7302,23.915,13.1528,1.39216,0.0554064,-0.411348,-3.78915,0.236293,1.04898,0.260418,0.772991
15,459.725,1,20.4946,24.3054,13.1663,1.3285,0.0606816,-0.411599,-3.95794,0.23031,1.02242,0.253824,0.77125
16,457.581,1,20.524,24.8433,12.8801,1.35814,0.0566856,-0.410465,-4.1146,0.224479,1.02085,0.247397,0.751722
17,462.397,1,20.3659,24.9326,12.1076,1.4047,0.0563731,-0.409002,-3.90321,0.22449,0.995002,0.261975,0.753964
18,460.658,1,20.961,25.1692,11.5319,1.48962,0.0502739,-0.426889,-4.04272,0.218806,0.969808,0.262661,0.808646
19,468.35,1,20.8857,26.0196,11.2983,1.43402,0.0563156,-0.419567,-4.5981,0.217314,0.97667,0.275351,0.85228
20,465.728,1,21.0112,25.4732,11.2282,1.46736,0.0509499,-0.425291,-5.36187,0.23325,1.08027,0.268379,0.8307
21,465.385,1,20.6762,25.6237,12.3221,1.54767,0.0458515,-0.41286,-4.87748,0.238718,1.05291,0.279592,0.809666
22,460.125,1,20.2385,25.661,13.0252,1.38354,0.0504367,-0.40003,-4.47522,0.23638,1.02625,0.272512,0.864978
23,464.941,1,20.8614,25.3524,13.3897,1.44339,0.0512564,-0.427685,-3.50333,0.230395,1.00027,0.272513,0.875214
24,460.409,1,21.1309,25.2865,12.7701,1.44335,0.0486112,-0.426028,-3.15899,0.230198,1.10838,0.265612,0.853054
25,449.374,1,20.6078,25.3378,12.9547,1.35792,0.048024,-0.410161,-2.83228,0.224369,1.08031,0.258887,0.855457
26,453.066,1,20.1807,25.116,13.6857,1.38828,0.0460984,-0.391234,-2.96757,0.223999,1.09463,0.252332,0.876174
27,455.867,1,21.0405,24.9577,14.7783,1.49699,0.0435618,-0.424504,-3.45001,0.228946,1.08043,0.245943,0.882003
28,459.015,1,20.9486,25.6505,13.1609,1.43655,0.051916,-0.426838,-3.18233,0.223149,1.05772,0.239715,0.85967
