standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.77686,0.224277,-2.67783,0.0162327,-2.50077,0.0294525,-1.83646,0.110413,All
-1.48875,0.0498393,-2.23555,0,-2.01324,0.103084,-1.51134,0.176661,All
-1.20065,0.473474,-1.79326,0.129862,-1.52571,0.11781,-1.18622,0.154578,All
-0.91254,0.299036,-1.35098,0.146095,-1.03818,0.176715,-0.861097,0.309156,All
-0.624435,0.323956,-0.908695,0.243491,-0.550654,0.338704,-0.535977,0.375404,All
-0.33633,0.323956,-0.466411,0.551913,-0.0631247,0.397609,-0.210857,0.463734,All
-0.0482247,0.149518,-0.0241267,0.454517,0.424404,0.51542,0.114263,0.375404,All
0.239881,0.249197,0.418158,0.292189,0.911934,0.309252,0.439383,0.419569,All
0.527986,0.348875,0.860442,0.275957,1.39946,0.11781,0.764503,0.220826,All
0.816091,0.398715,1.30273,0.0973965,1.88699,0.0589051,1.08962,0.176661,All
1.1042,0.523313,1.74501,0.0486982,2.37452,0.0294525,1.41474,0.264991,All
1.3923,0.323956,2.18729,0.113629,2.86205,0,1.73986,0.198743,All
1.68041,0.0498393,2.62958,0.064931,3.34958,0.0147263,2.06498,0.0662477,All
