trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.59007,2.80102,0.481481,2.59007,2.80102,0.26,3.5811,2.3442,0.481481,3.5811,2.3442,0.26,3.29839,3.29839,0.481481,3.29839,3.29839,0.26,3.47678,3.10769,0.481481,3.47678,3.10769,All
0.267677,2.59948,2.79619,0.495698,2.59948,2.79619,0.267677,3.49442,2.34194,0.495698,3.49442,2.34194,0.267677,3.29839,3.29839,0.495698,3.29839,3.29839,0.267677,3.44923,3.10678,0.495698,3.44923,3.10678,All
0.275354,2.6089,2.79135,0.509914,2.6089,2.79135,0.275354,3.40774,2.33967,0.509914,3.40774,2.33967,0.275354,3.29839,3.29839,0.509914,3.29839,3.29839,0.275354,3.42168,3.10587,0.509914,3.42168,3.10587,All
0.28303,2.61831,2.78651,0.52413,2.61831,2.78651,0.28303,3.32105,2.33741,0.52413,3.32105,2.33741,0.28303,3.29839,3.29839,0.52413,3.29839,3.29839,0.28303,3.39414,3.10496,0.52413,3.39414,3.10496,All
0.290707,2.62772,2.78168,0.538346,2.62772,2.78168,0.290707,3.23437,2.33514,0.538346,3.23437,2.33514,0.290707,3.29839,3.29839,0.538346,3.29839,3.29839,0.290707,3.36659,3.10406,0.538346,3.36659,3.10406,All
0.298384,2.63714,2.77684,0.552563,2.63714,2.77684,0.298384,3.14769,2.33288,0.552563,3.14769,2.33288,0.298384,3.29839,3.29839,0.552563,3.29839,3.29839,0.298384,3.33904,3.10315,0.552563,3.33904,3.10315,All
0.306061,2.64655,2.772,0.566779,2.64655,2.772,0.306061,3.061,2.33061,0.566779,3.061,2.33061,0.306061,3.29839,3.29839,0.566779,3.29839,3.29839,0.306061,3.31149,3.10224,0.566779,3.31149,3.10224,All
0.313737,2.65596,2.76717,0.580995,2.65596,2.76717,0.313737,2.97432,2.32835,0.580995,2.97432,2.32835,0.313737,3.29839,3.29839,0.580995,3.29839,3.29839,0.313737,3.28394,3.10134,0.580995,3.28394,3.10134,All
0.321414,2.66538,2.76233,0.595211,2.66538,2.76233,0.321414,2.88764,2.32608,0.595211,2.88764,2.32608,0.321414,3.29839,3.29839,0.595211,3.29839,3.29839,0.321414,3.25639,3.10043,0.595211,3.25639,3.10043,All
0.329091,2.67479,2.75749,0.609428,2.67479,2.75749,0.329091,2.80095,2.32382,0.609428,2.80095,2.32382,0.329091,3.29839,3.29839,0.609428,3.29839,3.29839,0.329091,3.22884,3.09952,0.609428,3.22884,3.09952,All
0.336768,2.6842,2.75266,0.623644,2.6842,2.75266,0.336768,2.71427,2.32155,0.623644,2.71427,2.32155,0.336768,3.29839,3.29839,0.623644,3.29839,3.29839,0.336768,3.20129,3.09862,0.623644,3.20129,3.09862,All
0.344444,2.69361,2.74782,0.63786,2.69361,2.74782,0.344444,2.62759,2.31929,0.63786,2.62759,2.31929,0.344444,3.29839,3.29839,0.63786,3.29839,3.29839,0.344444,3.17374,3.09771,0.63786,3.17374,3.09771,All
0.352121,2.70266,2.74298,0.652076,2.70266,2.74298,0.352121,2.57506,2.31702,0.652076,2.57506,2.31702,0.352121,3.29839,3.29839,0.652076,3.29839,3.29839,0.352121,3.14992,3.0968,0.652076,3.14992,3.0968,All
0.359798,2.71075,2.73815,0.666293,2.71075,2.73815,0.359798,2.61199,2.31476,0.666293,2.61199,2.31476,0.359798,3.29839,3.29839,0.666293,3.29839,3.29839,0.359798,3.13583,3.0959,0.666293,3.13583,3.0959,All
0.367475,2.71883,2.73331,0.680509,2.71883,2.73331,0.367475,2.64892,2.31249,0.680509,2.64892,2.31249,0.367475,3.29839,3.29839,0.680509,3.29839,3.29839,0.367475,3.12174,3.09499,0.680509,3.12174,3.09499,All
0.375152,2.72692,2.72847,0.694725,2.72692,2.72847,0.375152,2.68585,2.31022,0.694725,2.68585,2.31022,0.375152,3.29839,3.29839,0.694725,3.29839,3.29839,0.375152,3.10766,3.09408,0.694725,3.10766,3.09408,All
0.382828,2.73501,2.72364,0.708941,2.73501,2.72364,0.382828,2.72278,2.30796,0.708941,2.72278,2.30796,0.382828,3.29839,3.29839,0.708941,3.29839,3.29839,0.382828,3.09357,3.09318,0.708941,3.09357,3.09318,All
0.390505,2.7431,2.7188,0.723158,2.7431,2.7188,0.390505,2.75971,2.30569,0.723158,2.75971,2.30569,0.390505,3.29839,3.29839,0.723158,3.29839,3.29839,0.390505,3.07948,3.09227,0.723158,3.07948,3.09227,All
0.398182,2.75118,2.71396,0.737374,2.75118,2.71396,0.398182,2.79664,2.30343,0.737374,2.79664,2.30343,0.398182,3.29839,3.29839,0.737374,3.29839,3.29839,0.398182,3.0654,3.09136,0.737374,3.0654,3.09136,All
0.405859,2.75927,2.70913,0.75159,2.75927,2.70913,0.405859,2.83357,2.30116,0.75159,2.83357,2.30116,0.405859,3.29839,3.29839,0.75159,3.29839,3.29839,0.405859,3.05131,3.09046,0.75159,3.05131,3.09046,All
0.413535,2.76736,2.70429,0.765806,2.76736,2.70429,0.413535,2.8705,2.2989,0.765806,2.8705,2.2989,0.413535,3.29839,3.29839,0.765806,3.29839,3.29839,0.413535,3.03723,3.08955,0.765806,3.03723,3.08955,All
0.421212,2.77544,2.69945,0.780022,2.77544,2.69945,0.421212,2.90743,2.29663,0.780022,2.90743,2.29663,0.421212,3.29839,3.29839,0.780022,3.29839,3.29839,0.421212,3.02314,3.08864,0.780022,3.02314,3.08864,All
0.428889,2.78353,2.69462,0.794239,2.78353,2.69462,0.428889,2.94436,2.29437,0.794239,2.94436,2.29437,0.428889,3.29839,3.29839,0.794239,3.29839,3.29839,0.428889,3.00905,3.08773,0.794239,3.00905,3.08773,All
0.436566,2.79162,2.68978,0.808455,2.79162,2.68978,0.436566,2.98129,2.2921,0.808455,2.98129,2.2921,0.436566,3.29839,3.29839,0.808455,3.29839,3.29839,0.436566,2.99497,3.08683,0.808455,2.99497,3.08683,All
0.444242,2.7997,2.68494,0.822671,2.7997,2.68494,0.444242,3.01822,2.28984,0.822671,3.01822,2.28984,0.444242,3.29839,3.29839,0.822671,3.29839,3.29839,0.444242,2.98088,3.08592,0.822671,2.98088,3.08592,All
0.451919,2.80779,2.68011,0.836887,2.80779,2.68011,0.451919,3.05515,2.28757,0.836887,3.05515,2.28757,0.451919,3.29839,3.29839,0.836887,3.29839,3.29839,0.451919,2.96679,3.08501,0.836887,2.96679,3.08501,All
0.459596,2.81588,2.67527,0.851104,2.81588,2.67527,0.459596,3.09208,2.28531,0.851104,3.09208,2.28531,0.459596,3.29839,3.29839,0.851104,3.29839,3.29839,0.459596,2.95271,3.08411,0.851104,2.95271,3.08411,All
0.467273,2.78401,2.67043,0.86532,2.78401,2.67043,0.467273,2.80888,2.28304,0.86532,2.80888,2.28304,0.467273,3.29839,3.29839,0.86532,3.29839,3.29839,0.467273,2.99378,3.0832,0.86532,2.99378,3.0832,All
0.474949,2.74992,2.6656,0.879536,2.74992,2.6656,0.474949,2.5079,2.28078,0.879536,2.5079,2.28078,0.474949,3.29839,3.29839,0.879536,3.29839,3.29839,0.474949,3.03792,3.08229,0.879536,3.03792,3.08229,All
0.482626,2.71425,2.66076,0.893752,2.71425,2.66076,0.482626,2.3237,2.27851,0.893752,2.3237,2.27851,0.482626,3.29839,3.29839,0.893752,3.29839,3.29839,0.482626,3.04046,3.08139,0.893752,3.04046,3.08139,All
0.490303,2.67554,2.65592,0.907969,2.67554,2.65592,0.490303,2.36407,2.27625,0.907969,2.36407,2.27625,0.490303,3.29839,3.29839,0.907969,3.29839,3.29839,0.490303,2.96299,3.08048,0.907969,2.96299,3.08048,All
0.49798,2.63683,2.65109,0.922185,2.63683,2.65109,0.49798,2.40444,2.27398,0.922185,2.40444,2.27398,0.49798,3.29839,3.29839,0.922185,3.29839,3.29839,0.49798,2.88553,3.07957,0.922185,2.88553,3.07957,All
0.505657,2.61879,2.64625,0.936401,2.61879,2.64625,0.505657,2.35322,2.27171,0.936401,2.35322,2.27171,0.505657,3.29839,3.29839,0.936401,3.29839,3.29839,0.505657,2.82772,3.07867,0.936401,2.82772,3.07867,All
0.513333,2.60813,2.64141,0.950617,2.60813,2.64141,0.513333,2.26929,2.26945,0.950617,2.26929,2.26945,0.513333,3.29839,3.29839,0.950617,3.29839,3.29839,0.513333,2.77694,3.07776,0.950617,2.77694,3.07776,All
0.52101,2.59747,2.63658,0.964834,2.59747,2.63658,0.52101,2.18536,2.26718,0.964834,2.18536,2.26718,0.52101,3.29839,3.29839,0.964834,3.29839,3.29839,0.52101,2.72616,3.07685,0.964834,2.72616,3.07685,All
0.528687,2.58681,2.63174,0.97905,2.58681,2.63174,0.528687,2.10143,2.26492,0.97905,2.10143,2.26492,0.528687,3.29839,3.29839,0.97905,3.29839,3.29839,0.528687,2.67538,3.07595,0.97905,2.67538,3.07595,All
0.536364,2.57615,2.6269,0.993266,2.57615,2.6269,0.536364,2.0175,2.26265,0.993266,2.0175,2.26265,0.536364,3.29839,3.29839,0.993266,3.29839,3.29839,0.536364,2.62459,3.07504,0.993266,2.62459,3.07504,All
0.54404,2.6017,2.62207,1.00748,2.6017,2.62207,0.54404,1.69334,2.26039,1.00748,1.69334,2.26039,0.54404,3.29839,3.29839,1.00748,3.29839,3.29839,0.54404,2.69139,3.07413,1.00748,2.69139,3.07413,All
0.551717,2.65116,2.61723,1.0217,2.65116,2.61723,0.551717,1.30954,2.25812,1.0217,1.30954,2.25812,0.551717,3.29839,3.29839,1.0217,3.29839,3.29839,0.551717,2.86955,3.07323,1.0217,2.86955,3.07323,All
0.559394,2.67048,2.61239,1.03591,2.67048,2.61239,0.559394,1.46916,2.25586,1.03591,1.46916,2.25586,0.559394,3.29839,3.29839,1.03591,3.29839,3.29839,0.559394,3.06697,3.07232,1.03591,3.06697,3.07232,All
0.567071,2.6898,2.60756,1.05013,2.6898,2.60756,0.567071,1.62878,2.25359,1.05013,1.62878,2.25359,0.567071,3.29839,3.29839,1.05013,3.29839,3.29839,0.567071,3.26439,3.07141,1.05013,3.26439,3.07141,All
0.574747,2.68467,2.60272,1.06435,2.68467,2.60272,0.574747,1.71566,2.25133,1.06435,1.71566,2.25133,0.574747,3.29839,3.29839,1.06435,3.29839,3.29839,0.574747,3.37393,3.07051,1.06435,3.37393,3.07051,All
0.582424,2.66445,2.59788,1.07856,2.66445,2.59788,0.582424,1.75765,2.24906,1.07856,1.75765,2.24906,0.582424,3.29839,3.29839,1.07856,3.29839,3.29839,0.582424,3.42926,3.0696,1.07856,3.42926,3.0696,All
0.590101,2.64423,2.59305,1.09278,2.64423,2.59305,0.590101,1.79965,2.2468,1.09278,1.79965,2.2468,0.590101,3.29839,3.29839,1.09278,3.29839,3.29839,0.590101,3.48458,3.06869,1.09278,3.48458,3.06869,All
0.597778,2.62401,2.58821,1.107,2.62401,2.58821,0.597778,1.84164,2.24453,1.107,1.84164,2.24453,0.597778,3.29839,3.29839,1.107,3.29839,3.29839,0.597778,3.5399,3.06778,1.107,3.5399,3.06778,All
0.605455,2.60379,2.58337,1.12121,2.60379,2.58337,0.605455,1.88364,2.24227,1.12121,1.88364,2.24227,0.605455,3.29839,3.29839,1.12121,3.29839,3.29839,0.605455,3.59522,3.06688,1.12121,3.59522,3.06688,All
0.613131,2.58357,2.57854,1.13543,2.58357,2.57854,0.613131,1.92563,2.24,1.13543,1.92563,2.24,0.613131,3.29839,3.29839,1.13543,3.29839,3.29839,0.613131,3.65054,3.06597,1.13543,3.65054,3.06597,All
0.620808,2.56335,2.5737,1.14964,2.56335,2.5737,0.620808,1.96763,2.23774,1.14964,1.96763,2.23774,0.620808,3.29839,3.29839,1.14964,3.29839,3.29839,0.620808,3.70587,3.06506,1.14964,3.70587,3.06506,All
0.628485,2.54313,2.56886,1.16386,2.54313,2.56886,0.628485,2.00962,2.23547,1.16386,2.00962,2.23547,0.628485,3.29839,3.29839,1.16386,3.29839,3.29839,0.628485,3.76119,3.06416,1.16386,3.76119,3.06416,All
0.636162,2.53492,2.56403,1.17808,2.53492,2.56403,0.636162,2.00924,2.2332,1.17808,2.00924,2.2332,0.636162,3.29839,3.29839,1.17808,3.29839,3.29839,0.636162,3.73818,3.06325,1.17808,3.73818,3.06325,All
0.643838,2.52967,2.55919,1.19229,2.52967,2.55919,0.643838,1.99844,2.23094,1.19229,1.99844,2.23094,0.643838,3.29839,3.29839,1.19229,3.29839,3.29839,0.643838,3.6959,3.06234,1.19229,3.6959,3.06234,All
0.651515,2.52442,2.55435,1.20651,2.52442,2.55435,0.651515,1.98765,2.22867,1.20651,1.98765,2.22867,0.651515,3.29839,3.29839,1.20651,3.29839,3.29839,0.651515,3.65363,3.06144,1.20651,3.65363,3.06144,All
0.659192,2.51918,2.54952,1.22073,2.51918,2.54952,0.659192,1.97685,2.22641,1.22073,1.97685,2.22641,0.659192,3.29839,3.29839,1.22073,3.29839,3.29839,0.659192,3.61135,3.06053,1.22073,3.61135,3.06053,All
0.666869,2.51393,2.54468,1.23494,2.51393,2.54468,0.666869,1.96605,2.22414,1.23494,1.96605,2.22414,0.666869,3.29839,3.29839,1.23494,3.29839,3.29839,0.666869,3.56908,3.05962,1.23494,3.56908,3.05962,All
0.674545,2.50868,2.53984,1.24916,2.50868,2.53984,0.674545,1.95525,2.22188,1.24916,1.95525,2.22188,0.674545,3.29839,3.29839,1.24916,3.29839,3.29839,0.674545,3.52681,3.05872,1.24916,3.52681,3.05872,All
0.682222,2.50343,2.53501,1.26337,2.50343,2.53501,0.682222,1.94445,2.21961,1.26337,1.94445,2.21961,0.682222,3.29839,3.29839,1.26337,3.29839,3.29839,0.682222,3.48453,3.05781,1.26337,3.48453,3.05781,All
0.689899,2.49818,2.53017,1.27759,2.49818,2.53017,0.689899,1.93366,2.21735,1.27759,1.93366,2.21735,0.689899,3.29839,3.29839,1.27759,3.29839,3.29839,0.689899,3.44226,3.0569,1.27759,3.44226,3.0569,All
0.697576,2.49293,2.52533,1.29181,2.49293,2.52533,0.697576,1.92286,2.21508,1.29181,1.92286,2.21508,0.697576,3.29839,3.29839,1.29181,3.29839,3.29839,0.697576,3.39998,3.056,1.29181,3.39998,3.056,All
0.705253,2.48768,2.5205,1.30602,2.48768,2.5205,0.705253,1.91206,2.21282,1.30602,1.91206,2.21282,0.705253,3.29839,3.29839,1.30602,3.29839,3.29839,0.705253,3.35771,3.05509,1.30602,3.35771,3.05509,All
0.712929,2.48244,2.51566,1.32024,2.48244,2.51566,0.712929,1.90126,2.21055,1.32024,1.90126,2.21055,0.712929,3.29839,3.29839,1.32024,3.29839,3.29839,0.712929,3.31543,3.05418,1.32024,3.31543,3.05418,All
