parameter,value
Cl_pop,13.4570024937218
V1_pop,23.0933805120556
beta_V1_ANTU_1,2.93312438829306
beta_V1_logtCLCRMLMIN,-3.10608996948789
beta_V1_logtPROGDL,-1.8446175061078
beta_V1_logtRAL,-1.03121399983168
Q_pop,23.4
beta_Q_LMP_1,1.0549484485416
beta_Q_logtAGEA,1.32143346605802
beta_Q_logtALBGDL,18.6699255847662
beta_Q_logtPROGDL,-18.7280702389729
V2_pop,3.51174438606827
beta_V2_SEXF_1,4.02626285565583
beta_V2_logtHCM,31.4354283819019
omega_Cl,0.255902390732605
omega_V1,1.93074032684096
omega_Q,4.21813083463136e-8
omega_V2,3.31918078487943e-8
a,1.44927451304351
b,0.0432129938078762
