iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,1439.16,1,13.5104,23.8532,24.0587,13.6697,0.232476,0.69774,3,0.258437,1.07038,0.25831,0.864854
2,827.74,1,28.9623,18.6252,20.6143,46.3199,17.1963,6.64969e-06,3,0.188548,0.763858,0.252935,0.695925
3,797.301,1,26.1086,17.6938,20.5949,45.4526,17.1963,2.22045e-16,3,0.18352,0.64264,0.261278,0.611089
4,758.804,1,23.5021,17.0723,20.6769,42.5636,13.2856,3.53403e-06,3,0.167849,0.574227,0.211282,0.546047
5,727.47,1,20.9289,14.136,21.6903,40.0726,13.2856,2.22045e-16,3,0.171839,0.500641,0.174748,0.598003
6,719.552,1,19.2185,13.8916,22.5405,35.9859,13.2856,3.10615e-06,3,0.170562,0.49341,0.204931,0.490279
7,705.064,1,17.6689,12.1322,22.9394,34.0066,13.2856,2.22045e-16,3,0.17163,0.47055,0.209665,0.553168
8,684.465,1,16.9943,11.9483,22.3406,30.7397,8.65257,1.03611e-05,3,0.162002,0.476743,0.212009,0.624143
9,661.676,1,15.8358,13.4344,24.1519,28.5833,8.65257,9.70819e-06,3,0.162086,0.510894,0.199209,0.599395
10,643.012,1,14.7597,12.3747,25.9253,22.8219,8.65257,2.22045e-16,3,0.178003,0.575766,0.188851,0.571026
11,627.991,1,14.0931,12.1215,25.7454,19.5085,6.10248,6.674e-06,3,0.208713,0.654365,0.165946,0.555912
12,593.582,1,14.0474,12.8683,25.6549,17.5874,6.10248,2.22045e-16,3,0.210885,0.703054,0.187266,0.482119
13,578.156,1,13.8188,12.3817,25.9336,16.8107,3.73061,7.37557e-06,3,0.238196,0.75237,0.21516,0.46066
14,536.442,1,13.4294,12.8864,27.0368,14.4594,3.73061,5.99231e-06,3,0.244569,0.79105,0.251808,0.413054
15,535.144,1,13.5703,12.2114,27.3823,15.5259,3.73061,2.76538e-06,3,0.260799,0.805967,0.261999,0.398817
16,525.767,1,13.2925,11.1456,27.1983,15.3755,3.73061,2.22045e-16,3,0.24572,0.880512,0.266624,0.347649
17,523.304,1,13.4298,11.9246,27.3229,15.1376,3.73061,1.24699e-06,3,0.241659,0.891701,0.293498,0.390638
18,521.275,1,13.3457,13.3394,26.9379,15.1373,3.73061,2.22045e-16,3,0.245351,0.884936,0.282926,0.406339
19,518.01,1,13.5801,13.2322,26.2888,14.1514,3.08195,2.22045e-16,3,0.262608,0.903405,0.264442,0.428223
20,501.142,1,13.4602,13.1747,26.8917,14.0429,3.08195,1.52381e-07,3,0.260242,0.872715,0.262163,0.416268
21,508.514,1,13.4511,11.596,26.6684,13.5888,3.08195,4.53118e-06,3,0.268333,0.901637,0.25819,0.376216
22,513.97,1,13.5383,14.2602,25.717,13.2823,3.08195,3.46639e-06,3,0.272311,1.11201,0.256793,0.37935
23,504.499,1,13.5367,14.1769,25.9152,13.63,3.08195,1.90337e-06,3,0.263619,1.21615,0.221395,0.41726
24,503.735,1,13.4082,12.3952,26.0252,15.4472,3.08195,1.25321e-06,3,0.251088,1.25481,0.22666,0.44428
25,516.384,1,13.5149,12.588,25.489,16.286,3.08195,2.50785e-06,3,0.256052,1.27903,0.217217,0.522572
26,509.963,1,13.5235,12.6025,25.5062,15.9897,3.08195,1.65688e-06,3,0.25517,1.23467,0.22566,0.523572
27,513.886,1,13.5054,13.0684,26.2396,16.2351,3.08195,1.43758e-06,3,0.247146,1.31899,0.242555,0.541558
28,520.21,1,13.6007,15.5544,25.5008,16.8084,3.08195,2.22045e-16,3,0.269031,1.27461,0.253776,0.539522
29,514.943,1,13.66,15.5811,24.5789,16.2585,3.08195,1.10262e-06,3,0.251362,1.35715,0.224335,0.534612
30,513.138,1,13.6023,14.1018,24.7916,17.1489,3.08195,7.52911e-07,3,0.258471,1.5319,0.18655,0.488449
31,505.476,1,13.4625,13.1894,25.0478,16.8448,3.08195,2.22045e-16,3,0.251727,1.63168,0.187788,0.533277
32,515.564,1,13.7025,13.1643,25.5744,17.3187,3.08195,4.74879e-07,3,0.249713,1.44469,0.178663,0.607076
33,529.707,1,13.7813,13.5887,25.6751,18.2942,3.08195,8.89211e-07,3,0.27414,1.54107,0.188954,0.617637
34,507.892,1,13.583,13.3729,25.1957,18.9395,3.08195,7.86063e-07,3,0.266596,1.40229,0.173822,0.486209
35,494.477,1,13.4646,13.2859,24.304,20.0272,3.08195,2.22045e-16,3,0.252872,1.39795,0.172085,0.463428
